dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.660168,5.235000,0.000124,0.012402,0.620087,31.004346,0.000082
0.020000,1.660311,5.235000,0.000620,0.037205,1.240174,31.004346,6.283152
0.020000,1.661303,5.235000,0.001612,0.062009,1.240174,0.000000,6.282923
0.020000,1.662791,5.234999,0.003100,0.086812,1.240174,-0.000000,6.282582
0.020000,1.664775,5.234998,0.005085,0.111616,1.240174,0.000000,6.282132
0.020000,1.667256,5.234994,0.007565,0.136419,1.240174,-0.000000,6.281578
0.020000,1.670232,5.234989,0.010541,0.161223,1.240174,0.000000,6.280925
0.020000,1.673705,5.234979,0.014014,0.186026,1.240174,-0.000000,6.280181
0.020000,1.677673,5.234966,0.017983,0.210830,1.240174,0.000000,6.279353
0.020000,1.682138,5.234947,0.022447,0.235633,1.240174,0.000000,6.278450
0.020000,1.687098,5.234921,0.027408,0.260437,1.240174,0.000000,6.277482
0.020000,1.692555,5.234887,0.032865,0.285240,1.240174,0.000000,6.276460
0.020000,1.698508,5.234844,0.038817,0.310043,1.240174,0.000000,6.275397
0.020000,1.704956,5.234790,0.045266,0.334847,1.240174,-0.000000,6.274305
0.020000,1.711901,5.234724,0.052211,0.359650,1.240174,0.000000,6.273200
0.020000,1.719342,5.234646,0.059652,0.384454,1.240174,-0.000000,6.272097
0.020000,1.727278,5.234553,0.067589,0.409257,1.240174,-0.000000,6.271013
0.020000,1.735711,5.234446,0.076023,0.434061,1.240174,0.000000,6.269965
0.020000,1.744639,5.234324,0.084952,0.458864,1.240174,-0.000000,6.268974
0.020000,1.754064,5.234185,0.094377,0.483668,1.240174,0.000000,6.268057
0.020000,1.763984,5.234031,0.104299,0.508471,1.240174,0.000000,6.267238
0.020000,1.774400,5.233861,0.114716,0.533275,1.240174,-0.000000,6.266538
0.020000,1.785312,5.233676,0.125630,0.558078,1.240174,0.000000,6.265981
0.020000,1.796720,5.233478,0.137039,0.582882,1.240174,0.000000,6.265591
0.020000,1.808623,5.233267,0.148945,0.607685,1.240174,0.000000,6.265394
0.020000,1.821023,5.233046,0.161347,0.632489,1.240174,0.000000,6.265417
0.020000,1.833919,5.232818,0.174244,0.657292,1.240174,0.000000,6.265687
0.020000,1.847311,5.232587,0.187638,0.682096,1.240174,-0.000000,6.266234
0.020000,1.861199,5.232358,0.201528,0.706899,1.240174,0.000000,6.267088
0.020000,1.875583,5.232134,0.215914,0.731703,1.240174,0.000000,6.268279
0.020000,1.890464,5.231924,0.230796,0.756506,1.240174,0.000000,6.269842
0.020000,1.905841,5.231733,0.246175,0.781310,1.240174,0.000000,6.271808
0.020000,1.921714,5.231571,0.262049,0.806113,1.240174,-0.000000,6.274213
0.020000,1.938084,5.231447,0.278419,0.830916,1.240174,0.000000,6.277093
0.020000,1.954950,5.231372,0.295285,0.855720,1.240174,0.000000,6.280484
0.020000,1.972313,5.231359,0.312648,0.880523,1.240174,0.000000,0.001239
0.020000,1.990171,5.231421,0.330506,0.905327,1.240174,0.000000,0.005769
0.020000,2.008525,5.231573,0.348861,0.930130,1.240174,-0.000000,0.010926
0.020000,2.027374,5.231833,0.367712,0.954934,1.240174,0.000000,0.016753
0.020000,2.046717,5.232220,0.387058,0.979737,1.240174,0.000000,0.023290
0.020000,2.066552,5.232753,0.406901,1.004541,1.240174,0.000000,0.030580
0.020000,2.086879,5.233456,0.427240,1.029344,1.240174,-0.000000,0.038663
0.020000,2.107694,5.234353,0.448075,1.054148,1.240174,0.000000,0.047583
0.020000,2.128996,5.235471,0.469406,1.078951,1.240174,0.000000,0.057381
0.020000,2.147049,5.236595,0.491233,1.103755,1.240174,-0.000000,0.067848
0.020000,2.169309,5.238278,0.513556,1.128558,1.240174,0.000000,0.083201
0.020000,2.192032,5.240358,0.536375,1.153362,1.240174,-0.000000,0.099401
0.020000,2.215212,5.242869,0.559690,1.178165,1.240174,0.000000,0.116491
0.020000,2.238835,5.245848,0.583502,1.202969,1.240174,0.000000,0.134518
0.020000,2.262890,5.249335,0.607809,1.227772,1.240174,-0.000000,0.153526
0.020000,2.287363,5.253372,0.632613,1.252576,1.240174,0.000000,0.173562
0.020000,2.312235,5.258003,0.657912,1.277379,1.240174,0.000000,0.194667
0.020000,2.337486,5.263272,0.683708,1.302183,1.240174,-0.000000,0.216881
0.020000,2.363094,5.269227,0.710000,1.326986,1.240174,0.000000,0.240240
0.020000,2.389032,5.275918,0.736787,1.351789,1.240174,-0.000000,0.264771
0.020000,2.415271,5.283394,0.764071,1.376593,1.240174,0.000000,0.290498
0.020000,2.441777,5.291707,0.791851,1.401396,1.240174,-0.000000,0.317427
0.020000,2.468513,5.300907,0.820127,1.426200,1.240174,0.000000,0.345557
0.020000,2.495437,5.311047,0.848899,1.451003,1.240174,-0.000000,0.374865
0.020000,2.522506,5.322175,0.878167,1.475807,1.240174,0.000000,0.405314
0.020000,2.549670,5.334339,0.907931,1.500610,1.240174,0.000000,0.436844
0.020000,2.576876,5.347584,0.938192,1.525414,1.240174,0.000000,0.469372
0.020000,2.604069,5.361951,0.968948,1.550217,1.240174,-0.000000,0.502789
0.020000,2.631191,5.377475,1.000200,1.575021,1.240174,0.000000,0.536965
0.020000,2.658183,5.394187,1.031949,1.599824,1.240174,-0.000000,0.571745
