dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.660197,4.879400,0.000129,0.012907,0.645333,32.266649,0.000081
0.020000,1.660322,4.879400,0.000254,0.006249,-0.332890,-48.911148,6.283146
0.020000,1.661270,4.879400,0.001202,0.047383,2.056728,119.480877,6.282908
0.020000,1.662693,4.879399,0.002624,0.071129,1.187275,-43.472639,6.282553
0.020000,1.664591,4.879398,0.004523,0.094939,1.190502,0.161376,6.282085
0.020000,1.666968,4.879394,0.006900,0.118835,1.194806,0.215175,6.281510
0.020000,1.669825,4.879388,0.009757,0.142839,1.200186,0.268994,6.280833
0.020000,1.673164,4.879379,0.013096,0.166972,1.206641,0.322789,6.280061
0.020000,1.676989,4.879366,0.016921,0.191255,1.214174,0.376623,6.279203
0.020000,1.681303,4.879347,0.021235,0.215711,1.222782,0.430418,6.278269
0.020000,1.686111,4.879320,0.026042,0.240360,1.232467,0.484220,6.277269
0.020000,1.691415,4.879286,0.031347,0.265225,1.243227,0.538010,6.276216
0.020000,1.697221,4.879243,0.037154,0.290326,1.255062,0.591761,6.275123
0.020000,1.703535,4.879188,0.043467,0.315685,1.267972,0.645486,6.274005
0.020000,1.710361,4.879122,0.050294,0.341324,1.281955,0.699173,6.272876
0.020000,1.717706,4.879042,0.057639,0.367265,1.297012,0.752818,6.271755
0.020000,1.725576,4.878947,0.065510,0.393527,1.313140,0.806407,6.270659
0.020000,1.733978,4.878838,0.073912,0.420134,1.330340,0.859989,6.269608
0.020000,1.742919,4.878712,0.082854,0.447106,1.348610,0.913517,6.268622
0.020000,1.752407,4.878569,0.092344,0.474465,1.367950,0.967020,6.267723
0.020000,1.762451,4.878410,0.102388,0.502233,1.388362,1.020576,6.266933
0.020000,1.773058,4.878234,0.112997,0.530430,1.409844,1.074122,6.266278
0.020000,1.784238,4.878042,0.124178,0.559078,1.432399,1.127761,6.265782
0.020000,1.796000,4.877835,0.135942,0.588198,1.456030,1.181509,6.265472
0.020000,1.808354,4.877615,0.148299,0.617813,1.480737,1.235388,6.265376
0.020000,1.821311,4.877385,0.161258,0.647943,1.506526,1.289450,6.265523
0.020000,1.834881,4.877148,0.174830,0.678611,1.533401,1.343710,6.265943
0.020000,1.849076,4.876908,0.189027,0.709839,1.561364,1.398172,6.266667
0.020000,1.863907,4.876670,0.203859,0.741647,1.590420,1.452811,6.267729
0.020000,1.879386,4.876442,0.219341,0.774059,1.620572,1.507579,6.269162
0.020000,1.895527,4.876230,0.235483,0.807095,1.651818,1.562291,6.271001
0.020000,1.912341,4.876044,0.252298,0.840778,1.684154,1.616827,6.273282
0.020000,1.929843,4.875894,0.269801,0.875129,1.717570,1.670805,6.276044
0.020000,1.948046,4.875793,0.288004,0.910170,1.752047,1.723817,6.279324
0.020000,1.966965,4.875756,0.306923,0.945921,1.787551,1.775224,6.283164
0.020000,1.986613,4.875798,0.326571,0.982402,1.824036,1.824238,0.004418
0.020000,2.007005,4.875939,0.346963,1.019631,1.861431,1.869741,0.009500
0.020000,2.028156,4.876200,0.368116,1.057623,1.899638,1.910370,0.015267
0.020000,2.050080,4.876605,0.390044,1.096394,1.938526,1.944386,0.021762
0.020000,2.072792,4.877181,0.412763,1.135952,1.977917,1.969563,0.029031
0.020000,2.096305,4.877958,0.436289,1.176304,2.017585,1.983376,0.037117
0.020000,2.120633,4.878969,0.460638,1.217449,2.057236,1.982547,0.046066
0.020000,2.145788,4.880252,0.485825,1.259379,2.096503,1.963372,0.055921
0.020000,2.167796,4.881588,0.507874,1.102456,-7.846132,-497.131746,0.066013
0.020000,2.195971,4.883670,0.536125,1.412546,15.504518,1167.532495,0.081580
0.020000,2.224933,4.886277,0.565205,1.453978,2.071572,-671.647314,0.098025
0.020000,2.254686,4.889462,0.595128,1.496164,2.109309,1.886889,0.115392
0.020000,2.285234,4.893286,0.625914,1.539287,2.156161,2.342568,0.133731
0.020000,2.316573,4.897810,0.657578,1.583191,2.195184,1.951175,0.153089
0.020000,2.348700,4.903102,0.690138,1.628003,2.240615,2.271527,0.173515
0.020000,2.381605,4.909234,0.723609,1.673573,2.278477,1.893090,0.195054
0.020000,2.415274,4.916282,0.758008,1.719947,2.318692,2.010773,0.217748
0.020000,2.449684,4.924326,0.793346,1.766919,2.348622,1.496502,0.241633
0.020000,2.484810,4.933450,0.829637,1.814542,2.381153,1.626547,0.266743
0.020000,2.520609,4.943740,0.866886,1.862412,2.393479,0.616270,0.293096
0.020000,2.557034,4.955281,0.905096,1.910500,2.404435,0.547848,0.320702
0.020000,2.594024,4.968162,0.944265,1.958448,2.397358,-0.353863,0.349554
0.020000,2.631508,4.982466,0.984385,2.006041,2.379652,-0.885313,0.379630
0.020000,2.669399,4.998273,1.025441,2.052778,2.336891,-2.138062,0.410883
0.020000,2.707597,5.015654,1.067407,2.098311,2.276606,-3.014218,0.443248
0.020000,2.745990,5.034672,1.110252,2.142263,2.197610,-3.949809,0.476631
0.020000,2.784453,5.055374,1.153933,2.184020,2.087885,-5.486269,0.510912
0.020000,2.822852,5.077791,1.198397,2.223195,1.958731,-6.457694,0.545946
0.020000,2.861047,5.101938,1.243585,2.259392,1.809866,-7.443221,0.581562
0.020000,2.898894,5.127807,1.289427,2.292116,1.636174,-8.684644,0.617568
0.020000,2.936248,5.155369,1.335849,2.321130,1.450700,-9.273701,0.653755
