Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
20, 5.099696, 0.177727, 0.000077, 0.007663, 0.383142, 19.157088, 2.705267, 
20, 5.099443, 0.177845, 0.000356, 0.013946, 0.314182, -3.447982, 2.705344, 
20, 5.098874, 0.178110, 0.000983, 0.031380, 0.871652, 27.873501, 2.705519, 
20, 5.097863, 0.178581, 0.002099, 0.055786, 1.220306, 17.432681, 2.705829, 
20, 5.096282, 0.179316, 0.003842, 0.087165, 1.568948, 17.432117, 2.706314, 
20, 5.094006, 0.180374, 0.006352, 0.125516, 1.917573, 17.431245, 2.707012, 
20, 5.090906, 0.181811, 0.009769, 0.170840, 2.266173, 17.430021, 2.707963, 
20, 5.086855, 0.183684, 0.014232, 0.223134, 2.614742, 17.428430, 2.709204, 
20, 5.081725, 0.186046, 0.019880, 0.282400, 2.963274, 17.426609, 2.710776, 
20, 5.075450, 0.188923, 0.026783, 0.345149, 3.137451, 8.708864, 2.712697, 
20, 5.068027, 0.192307, 0.034941, 0.407895, 3.137297, -0.007731, 2.714969, 
20, 5.059453, 0.196191, 0.044354, 0.470638, 3.137151, -0.007289, 2.717590, 
20, 5.049724, 0.200565, 0.055021, 0.533378, 3.137032, -0.005938, 2.720561, 
20, 5.038834, 0.205420, 0.066944, 0.596118, 3.136963, -0.003477, 2.723882, 
20, 5.026780, 0.210743, 0.080121, 0.658857, 3.136967, 0.000201, 2.727554, 
20, 5.013556, 0.216523, 0.094553, 0.721599, 3.137073, 0.005302, 2.731576, 
20, 4.999156, 0.222745, 0.110240, 0.784345, 3.137311, 0.011932, 2.735947, 
20, 4.983573, 0.229393, 0.127181, 0.847099, 3.137718, 0.020313, 2.740668, 
20, 4.966801, 0.236453, 0.145379, 0.909866, 3.138329, 0.030547, 2.745737, 
20, 4.948832, 0.243905, 0.164832, 0.972649, 3.139186, 0.042854, 2.751154, 
20, 4.929659, 0.251732, 0.185541, 1.035456, 3.140333, 0.057351, 2.756917, 
20, 4.909273, 0.259912, 0.207507, 1.098292, 3.141817, 0.074203, 2.763026, 
20, 4.887667, 0.268426, 0.230730, 1.161166, 3.143688, 0.093580, 2.769476, 
20, 4.864830, 0.277250, 0.255212, 1.224086, 3.146000, 0.115572, 2.776267, 
20, 4.840755, 0.286360, 0.280953, 1.287062, 3.148807, 0.140355, 2.783395, 
20, 4.815432, 0.295732, 0.307955, 1.350106, 3.152167, 0.167989, 2.790855, 
20, 4.788850, 0.305340, 0.336220, 1.413228, 3.156138, 0.198585, 2.798644, 
20, 4.761001, 0.315157, 0.365749, 1.476444, 3.160782, 0.232185, 2.806757, 
20, 4.731873, 0.325154, 0.396544, 1.539767, 3.166158, 0.268808, 2.815187, 
20, 4.701524, 0.335280, 0.428538, 1.599720, 2.997651, -8.425363, 2.823908, 
20, 4.670075, 0.345465, 0.461595, 1.652819, 2.654920, -17.136529, 2.832875, 
20, 4.637654, 0.355641, 0.495576, 1.699065, 2.312315, -17.130257, 2.842043, 
20, 4.604385, 0.365746, 0.530345, 1.738458, 1.969669, -17.132332, 2.851365, 
