dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.711671,0.847415,0.000079,0.007937,0.396825,19.841270,2.724442
0.020000,4.711671,0.847415,0.000397,0.023810,0.793651,19.841270,2.724549
0.020000,4.711671,0.847415,0.001111,0.047619,1.190476,19.841270,2.724789
0.020000,4.711671,0.847415,0.002302,0.071429,1.190476,0.000000,2.725189
0.020000,4.711671,0.847415,0.003968,0.095238,1.190476,0.000000,2.725749
0.020000,4.710667,0.847858,0.006111,0.119048,1.190476,0.000000,2.726469
0.020000,4.708269,0.848913,0.008730,0.142857,1.190476,-0.000000,2.727350
0.020000,4.705435,0.850158,0.011825,0.166667,1.190476,0.000000,2.728391
0.020000,4.702164,0.851590,0.015397,0.190476,1.190476,0.000000,2.729593
0.020000,4.698454,0.853208,0.019444,0.214286,1.190476,0.000000,2.730957
0.020000,4.694305,0.855011,0.023968,0.238095,1.190476,-0.000000,2.732481
0.020000,4.689716,0.856996,0.028968,0.261905,1.190476,0.000000,2.734168
0.020000,4.684686,0.859161,0.034444,0.285714,1.190476,-0.000000,2.736017
0.020000,4.679214,0.861504,0.040397,0.309524,1.190476,0.000000,2.738028
0.020000,4.673299,0.864022,0.046825,0.333333,1.190476,-0.000000,2.740203
0.020000,4.666940,0.866713,0.053730,0.357143,1.190476,0.000000,2.742541
0.020000,4.660135,0.869572,0.061111,0.380952,1.190476,-0.000000,2.745043
0.020000,4.652884,0.872597,0.068968,0.404762,1.190476,0.000000,2.747709
0.020000,4.645184,0.875784,0.077302,0.428571,1.190476,0.000000,2.750540
0.020000,4.637034,0.879130,0.086111,0.452381,1.190476,-0.000000,2.753537
0.020000,4.628434,0.882630,0.095397,0.476190,1.190476,0.000000,2.756699
0.020000,4.619380,0.886280,0.105159,0.500000,1.190476,-0.000000,2.760028
0.020000,4.609871,0.890076,0.115397,0.523810,1.190476,0.000000,2.763524
0.020000,4.599906,0.894012,0.126111,0.547619,1.190476,-0.000000,2.767187
0.020000,4.589483,0.898085,0.137302,0.571429,1.190476,0.000000,2.771017
0.020000,4.578601,0.902288,0.148968,0.595238,1.190476,0.000000,2.775015
0.020000,4.567255,0.906617,0.161111,0.619048,1.190476,0.000000,2.779182
0.020000,4.555446,0.911065,0.173730,0.642857,1.190476,0.000000,2.783516
0.020000,4.543171,0.915627,0.186825,0.666667,1.190476,-0.000000,2.788020
0.020000,4.530428,0.920297,0.200397,0.690476,1.190476,0.000000,2.792693
0.020000,4.517216,0.925067,0.214444,0.714286,1.190476,-0.000000,2.797534
0.020000,4.503531,0.929932,0.228968,0.738095,1.190476,0.000000,2.802545
0.020000,4.489372,0.934884,0.243968,0.761905,1.190476,-0.000000,2.807724
0.020000,4.474737,0.939916,0.259444,0.785714,1.190476,0.000000,2.813071
0.020000,4.459624,0.945022,0.275397,0.809524,1.190476,-0.000000,2.818586
0.020000,4.444030,0.950192,0.291825,0.833333,1.190476,0.000000,2.824269
0.020000,4.427954,0.955420,0.308730,0.857143,1.190476,-0.000000,2.830119
0.020000,4.411393,0.960697,0.326111,0.880952,1.190476,-0.000000,2.836135
0.020000,4.394346,0.966014,0.343968,0.904762,1.190476,0.000000,2.842316
0.020000,4.376811,0.971364,0.362302,0.928571,1.190476,-0.000000,2.848660
0.020000,4.358785,0.976736,0.381111,0.952381,1.190476,0.000000,2.855168
0.020000,4.340267,0.982123,0.400397,0.976190,1.190476,-0.000000,2.861835
0.020000,4.321255,0.987515,0.420159,1.000000,1.190476,0.000000,2.868662
0.020000,4.301747,0.992902,0.440397,1.023810,1.190476,0.000000,2.875646
0.020000,4.281742,0.998275,0.461111,1.047619,1.190476,-0.000000,2.882784
0.020000,4.261237,1.003624,0.482302,1.071429,1.190476,0.000000,2.890074
0.020000,4.240233,1.008938,0.503968,1.095238,1.190476,0.000000,2.897513
0.020000,4.218726,1.014207,0.526111,1.119048,1.190476,0.000000,2.905098
0.020000,4.196716,1.019422,0.548730,1.142857,1.190476,-0.000000,2.912825
0.020000,4.174202,1.024571,0.571825,1.166667,1.190476,0.000000,2.920691
0.020000,4.151183,1.029643,0.595397,1.190476,1.190476,-0.000000,2.928691
0.020000,4.127658,1.034629,0.619444,1.214286,1.190476,0.000000,2.936821
0.020000,4.103626,1.039516,0.643968,1.238095,1.190476,0.000000,2.945077
0.020000,4.079087,1.044295,0.668968,1.261905,1.190476,-0.000000,2.953452
0.020000,4.054041,1.048953,0.694444,1.285714,1.190476,0.000000,2.961941
0.020000,4.028486,1.053481,0.720397,1.309524,1.190476,-0.000000,2.970540
0.020000,4.002424,1.057866,0.746825,1.333333,1.190476,0.000000,2.979240
0.020000,3.975855,1.062098,0.773730,1.357143,1.190476,0.000000,2.988036
0.020000,3.948778,1.066166,0.801111,1.380952,1.190476,0.000000,2.996922
0.020000,3.921194,1.070058,0.828968,1.404762,1.190476,-0.000000,3.005889
0.020000,3.893104,1.073764,0.857302,1.428571,1.190476,0.000000,3.014929
0.020000,3.864509,1.077273,0.886111,1.452381,1.190476,0.000000,3.024036
0.020000,3.835410,1.080574,0.915397,1.476190,1.190476,0.000000,3.033201
0.020000,3.805809,1.083657,0.945159,1.500000,1.190476,-0.000000,3.042414
0.020000,3.775706,1.086512,0.975397,1.523810,1.190476,0.000000,3.051668
0.020000,3.745103,1.089127,1.006111,1.547619,1.190476,0.000000,3.060953
0.020000,3.714003,1.091495,1.037302,1.571429,1.190476,-0.000000,3.070260
0.020000,3.682406,1.093604,1.068968,1.595238,1.190476,0.000000,3.079579
0.020000,3.650316,1.095446,1.101111,1.619048,1.190476,0.000000,3.088899
0.020000,3.617735,1.097012,1.133730,1.642857,1.190476,0.000000,3.098212
0.020000,3.584665,1.098293,1.166825,1.666667,1.190476,-0.000000,3.107507
0.020000,3.551108,1.099282,1.200397,1.690476,1.190476,0.000000,3.116772
0.020000,3.517068,1.099969,1.234444,1.714286,1.190476,0.000000,3.125999
0.020000,3.482546,1.100348,1.268968,1.738095,1.190476,-0.000000,3.135176
0.020000,3.447546,1.100413,1.303968,1.761905,1.190476,0.000000,3.144292
0.020000,3.412071,1.100156,1.339444,1.785714,1.190476,0.000000,3.153336
0.020000,3.376124,1.099572,1.375397,1.809524,1.190476,0.000000,3.162299
0.020000,3.339707,1.098656,1.411825,1.833333,1.190476,-0.000000,3.171168
0.020000,3.302823,1.097402,1.448730,1.857143,1.190476,0.000000,3.179934
0.020000,3.265477,1.095807,1.486111,1.880952,1.190476,0.000000,3.188585
0.020000,3.227669,1.093867,1.523968,1.904762,1.190476,-0.000000,3.197111
0.020000,3.189404,1.091578,1.562302,1.928571,1.190476,0.000000,3.205502
0.020000,3.150685,1.088939,1.601111,1.952381,1.190476,0.000000,3.213746
0.020000,3.111513,1.085948,1.640397,1.976190,1.190476,0.000000,3.221833
0.020000,3.071971,1.082610,1.680079,1.992063,0.793651,-19.841270,3.229738
0.020000,3.032220,1.078942,1.720000,2.000000,0.396825,-19.841270,3.237422
0.020000,2.992418,1.074966,1.760000,2.000000,0.000000,-19.841270,3.244851
0.020000,2.952646,1.070700,1.800000,2.000000,0.000000,0.000000,3.252008
0.020000,2.912905,1.066154,1.840000,2.000000,0.000000,0.000000,3.258896
0.020000,2.873196,1.061341,1.880000,2.000000,0.000000,0.000000,3.265513
0.020000,2.833519,1.056270,1.920000,2.000000,0.000000,0.000000,3.271861
0.020000,2.793874,1.050952,1.960000,2.000000,0.000000,0.000000,3.277939
0.020000,2.754261,1.045399,2.000000,2.000000,0.000000,0.000000,3.283750
0.020000,2.714681,1.039622,2.040000,2.000000,0.000000,0.000000,3.289293
0.020000,2.675132,1.033630,2.080000,2.000000,0.000000,0.000000,3.294570
0.020000,2.635615,1.027435,2.120000,2.000000,0.000000,0.000000,3.299582
0.020000,2.596128,1.021047,2.160000,2.000000,0.000000,0.000000,3.304330
0.020000,2.556672,1.014477,2.200000,2.000000,0.000000,0.000000,3.308815
0.020000,2.517244,1.007735,2.240000,2.000000,0.000000,0.000000,3.313039
0.020000,2.477844,1.000831,2.280000,2.000000,0.000000,0.000000,3.317002
0.020000,2.438471,0.993777,2.320000,2.000000,0.000000,0.000000,3.320706
0.020000,2.399124,0.986582,2.360000,2.000000,0.000000,0.000000,3.324152
0.020000,2.359800,0.979257,2.400000,2.000000,0.000000,0.000000,3.327341
0.020000,2.320499,0.971811,2.440000,2.000000,0.000000,0.000000,3.330274
0.020000,2.281219,0.964255,2.480000,2.000000,0.000000,0.000000,3.332952
0.020000,2.241959,0.956599,2.520000,2.000000,0.000000,0.000000,3.335376
0.020000,2.202716,0.948853,2.560000,2.000000,0.000000,0.000000,3.337547
0.020000,2.163489,0.941026,2.600000,2.000000,0.000000,0.000000,3.339466
0.020000,2.124277,0.933129,2.640000,2.000000,0.000000,0.000000,3.341134
0.020000,2.085076,0.925172,2.680000,2.000000,0.000000,0.000000,3.342550
0.020000,2.045886,0.917164,2.720000,2.000000,0.000000,0.000000,3.343717
0.020000,2.006704,0.909115,2.760000,2.000000,0.000000,0.000000,3.344634
0.020000,1.967529,0.901035,2.800000,2.000000,0.000000,0.000000,3.345301
0.020000,1.928358,0.892934,2.840000,2.000000,0.000000,0.000000,3.345719
0.020000,1.889238,0.884832,2.879950,1.994976,-0.251214,-12.560707,3.345889
0.020000,1.850295,0.876764,2.919720,1.982015,-0.648040,-19.841270,3.345811
0.020000,1.811682,0.868773,2.959151,1.961118,-1.044865,-19.841270,3.345490
0.020000,1.773503,0.860889,2.998135,1.937308,-1.190476,-7.280562,3.344936
0.020000,1.735786,0.853126,3.036643,1.913499,-1.190476,0.000000,3.344156
0.020000,1.698528,0.845493,3.074675,1.889689,-1.190476,0.000000,3.343158
0.020000,1.661728,0.837995,3.112231,1.865880,-1.190476,0.000000,3.341951
0.020000,1.625385,0.830641,3.149310,1.842070,-1.190476,-0.000000,3.340543
0.020000,1.589498,0.823435,3.185914,1.818260,-1.190476,0.000000,3.338941
0.020000,1.554066,0.816382,3.222041,1.794451,-1.190476,0.000000,3.337154
0.020000,1.519088,0.809488,3.257692,1.770641,-1.190476,-0.000000,3.335188
0.020000,1.484563,0.802758,3.292866,1.746832,-1.190476,0.000000,3.333052
0.020000,1.450491,0.796193,3.327565,1.723022,-1.190476,0.000000,3.330752
0.020000,1.416872,0.789799,3.361787,1.699213,-1.190476,0.000000,3.328296
0.020000,1.383704,0.783578,3.395534,1.675403,-1.190476,-0.000000,3.325691
0.020000,1.350988,0.777532,3.428803,1.651594,-1.190476,0.000000,3.322944
0.020000,1.318724,0.771663,3.461597,1.627784,-1.190476,0.000000,3.320062
0.020000,1.286911,0.765974,3.493915,1.603975,-1.190476,-0.000000,3.317052
0.020000,1.255550,0.760464,3.525756,1.580165,-1.190476,0.000000,3.313921
0.020000,1.224641,0.755135,3.557121,1.556356,-1.190476,0.000000,3.310676
0.020000,1.194183,0.749988,3.588010,1.532546,-1.190476,0.000000,3.307323
0.020000,1.164179,0.745022,3.618423,1.508737,-1.190476,-0.000000,3.303869
0.020000,1.134627,0.740238,3.648360,1.484927,-1.190476,0.000000,3.300320
0.020000,1.105529,0.735634,3.677820,1.461118,-1.190476,0.000000,3.296684
0.020000,1.076884,0.731209,3.706805,1.437308,-1.190476,-0.000000,3.292967
0.020000,1.048694,0.726963,3.735313,1.413499,-1.190476,0.000000,3.289174
0.020000,1.020959,0.722895,3.763345,1.389689,-1.190476,0.000000,3.285314
0.020000,0.993680,0.719001,3.790900,1.365880,-1.190476,0.000000,3.281390
0.020000,0.966857,0.715281,3.817980,1.342070,-1.190476,-0.000000,3.277412
0.020000,0.940491,0.711732,3.844583,1.318260,-1.190476,0.000000,3.273383
0.020000,0.914584,0.708351,3.870710,1.294451,-1.190476,0.000000,3.269311
0.020000,0.889135,0.705136,3.896361,1.270641,-1.190476,0.000000,3.265201
0.020000,0.864146,0.702083,3.921536,1.246832,-1.190476,-0.000000,3.261059
0.020000,0.839618,0.699191,3.946234,1.223022,-1.190476,0.000000,3.256893
0.020000,0.815551,0.696454,3.970457,1.199213,-1.190476,-0.000000,3.252706
0.020000,0.791945,0.693870,3.994203,1.175403,-1.190476,0.000000,3.248505
0.020000,0.768803,0.691436,4.017473,1.151594,-1.190476,0.000000,3.244296
0.020000,0.746125,0.689147,4.040267,1.127784,-1.190476,0.000000,3.240084
0.020000,0.723911,0.686999,4.062584,1.103975,-1.190476,-0.000000,3.235875
0.020000,0.702162,0.684988,4.084426,1.080165,-1.190476,0.000000,3.231675
0.020000,0.680880,0.683110,4.105791,1.056356,-1.190476,0.000000,3.227488
0.020000,0.660064,0.681361,4.126680,1.032546,-1.190476,0.000000,3.223319
0.020000,0.639716,0.679737,4.147093,1.008737,-1.190476,0.000000,3.219175
0.020000,0.619836,0.678233,4.167029,0.984927,-1.190476,-0.000000,3.215059
0.020000,0.600425,0.676844,4.186490,0.961118,-1.190476,0.000000,3.210978
0.020000,0.581484,0.675566,4.205474,0.937308,-1.190476,0.000000,3.206935
0.020000,0.563013,0.674394,4.223982,0.913499,-1.190476,-0.000000,3.202935
0.020000,0.545013,0.673324,4.242014,0.889689,-1.190476,0.000000,3.198983
0.020000,0.527484,0.672351,4.259570,0.865880,-1.190476,-0.000000,3.195083
0.020000,0.510428,0.671471,4.276649,0.842070,-1.190476,0.000000,3.191240
0.020000,0.493843,0.670678,4.293252,0.818260,-1.190476,0.000000,3.187458
0.020000,0.477732,0.669969,4.309380,0.794451,-1.190476,-0.000000,3.183741
0.020000,0.462094,0.669338,4.325031,0.770641,-1.190476,0.000000,3.180092
0.020000,0.446929,0.668781,4.340205,0.746832,-1.190476,-0.000000,3.176517
0.020000,0.432239,0.668293,4.354904,0.723022,-1.190476,0.000000,3.173017
0.020000,0.418023,0.667871,4.369126,0.699213,-1.190476,-0.000000,3.169598
0.020000,0.404281,0.667509,4.382872,0.675403,-1.190476,0.000000,3.166262
0.020000,0.391015,0.667203,4.396142,0.651594,-1.190476,0.000000,3.163012
0.020000,0.378223,0.666949,4.408936,0.627784,-1.190476,-0.000000,3.159852
0.020000,0.365908,0.666743,4.421254,0.603975,-1.190476,0.000000,3.156785
0.020000,0.354067,0.666581,4.433095,0.580165,-1.190476,0.000000,3.153814
0.020000,0.342703,0.666458,4.444460,0.556356,-1.190476,0.000000,3.150942
0.020000,0.331814,0.666371,4.455349,0.532546,-1.190476,0.000000,3.148170
0.020000,0.321401,0.666317,4.465762,0.508737,-1.190476,-0.000000,3.145503
0.020000,0.311465,0.666290,4.475699,0.484927,-1.190476,0.000000,3.142941
0.020000,0.302004,0.666289,4.485159,0.461118,-1.190476,-0.000000,3.140488
0.020000,0.293020,0.666310,4.494143,0.437308,-1.190476,0.000000,3.138146
0.020000,0.284512,0.666349,4.502652,0.413499,-1.190476,0.000000,3.135916
0.020000,0.276480,0.666403,4.510683,0.389689,-1.190476,0.000000,3.133801
0.020000,0.268925,0.666469,4.518239,0.365880,-1.190476,0.000000,3.131802
0.020000,0.261846,0.666545,4.525319,0.342070,-1.190476,-0.000000,3.129921
0.020000,0.255243,0.666628,4.531922,0.318260,-1.190476,0.000000,3.128160
0.020000,0.249117,0.666715,4.538049,0.294451,-1.190476,0.000000,3.126520
0.020000,0.243467,0.666805,4.543700,0.270641,-1.190476,0.000000,3.125003
0.020000,0.238293,0.666894,4.548875,0.246832,-1.190476,-0.000000,3.123609
0.020000,0.233595,0.666982,4.553573,0.223022,-1.190476,-0.000000,3.122339
0.020000,0.229373,0.667065,4.557796,0.199213,-1.190476,0.000000,3.121196
0.020000,0.225628,0.667144,4.561542,0.175403,-1.190476,0.000000,3.120179
0.020000,0.222359,0.667215,4.564812,0.151594,-1.190476,0.000000,3.119290
0.020000,0.219566,0.667278,4.567605,0.127784,-1.190476,0.000000,3.118529
0.020000,0.217249,0.667333,4.569923,0.103975,-1.190476,0.000000,3.117897
0.020000,0.215408,0.667377,4.571764,0.080165,-1.190476,-0.000000,3.117394
0.020000,0.214043,0.667410,4.573130,0.056356,-1.190476,0.000000,3.117021
0.020000,0.213154,0.667432,4.574019,0.032546,-1.190476,-0.000000,3.116778
0.020000,0.212691,0.667443,4.574482,0.013761,-0.939262,12.560707,3.116651
0.020000,0.212525,0.667448,4.574648,0.002912,-0.542437,19.841270,3.116606
0.020000,0.212496,0.667448,4.574678,0.000000,-0.145611,19.841270,3.116598
