dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.332461,1.023048,0.000199,0.019862,0.993098,49.654909,0.000036
0.020000,0.332468,1.023048,0.000206,0.000359,-0.975173,-98.413534,0.000016
0.020000,0.333008,1.023048,0.000746,0.026987,1.331413,115.329283,6.283167
0.020000,0.334415,1.023048,0.002153,0.070349,2.168134,41.836036,6.283121
0.020000,0.336224,1.023048,0.003961,0.090445,1.004789,-58.167239,6.283061
0.020000,0.338434,1.023048,0.006172,0.110538,1.004637,-0.007617,6.282988
0.020000,0.341047,1.023047,0.008785,0.130627,1.004451,-0.009310,6.282902
0.020000,0.344061,1.023046,0.011799,0.150712,1.004230,-0.011002,6.282804
0.020000,0.347477,1.023045,0.015215,0.170791,1.003977,-0.012696,6.282693
0.020000,0.351294,1.023042,0.019032,0.190865,1.003689,-0.014388,6.282571
0.020000,0.355513,1.023040,0.023251,0.210932,1.003367,-0.016081,6.282437
0.020000,0.360133,1.023036,0.027871,0.230992,1.003012,-0.017774,6.282292
0.020000,0.365154,1.023031,0.032891,0.251045,1.002622,-0.019466,6.282136
0.020000,0.370575,1.023025,0.038313,0.271089,1.002199,-0.021159,6.281970
0.020000,0.376398,1.023017,0.044136,0.291124,1.001742,-0.022854,6.281794
0.020000,0.382621,1.023008,0.050359,0.311149,1.001251,-0.024543,6.281609
0.020000,0.389244,1.022997,0.056982,0.331163,1.000727,-0.026239,6.281416
0.020000,0.396267,1.022984,0.064005,0.351167,1.000168,-0.027929,6.281214
0.020000,0.403691,1.022968,0.071428,0.371158,0.999575,-0.029625,6.281005
0.020000,0.411513,1.022950,0.079251,0.391137,0.998949,-0.031315,6.280790
0.020000,0.419735,1.022930,0.087473,0.411103,0.998289,-0.033010,6.280569
0.020000,0.428356,1.022906,0.096094,0.431055,0.997595,-0.034699,6.280343
0.020000,0.437376,1.022880,0.105114,0.450992,0.996867,-0.036396,6.280112
0.020000,0.446794,1.022850,0.114532,0.470914,0.996105,-0.038085,6.279878
0.020000,0.456611,1.022816,0.124349,0.490820,0.995310,-0.039781,6.279642
0.020000,0.466825,1.022779,0.134563,0.510710,0.994480,-0.041469,6.279404
0.020000,0.477437,1.022737,0.145175,0.530582,0.993617,-0.043163,6.279166
0.020000,0.488445,1.022692,0.156183,0.550437,0.992720,-0.044860,6.278928
0.020000,0.499851,1.022642,0.167589,0.570273,0.991789,-0.046543,6.278691
0.020000,0.511652,1.022587,0.179391,0.590089,0.990824,-0.048239,6.278457
0.020000,0.523850,1.022528,0.191588,0.609886,0.989825,-0.049935,6.278227
0.020000,0.536443,1.022464,0.204182,0.629661,0.988793,-0.051618,6.278001
0.020000,0.549431,1.022395,0.217170,0.649416,0.987727,-0.053315,6.277782
0.020000,0.562814,1.022322,0.230553,0.669149,0.986627,-0.055006,6.277569
0.020000,0.576591,1.022243,0.244330,0.688858,0.985493,-0.056697,6.277366
0.020000,0.590761,1.022159,0.258501,0.708545,0.984325,-0.058391,6.277172
0.020000,0.605325,1.022070,0.273065,0.728207,0.983123,-0.060077,6.276989
0.020000,0.620282,1.021976,0.288022,0.747845,0.981888,-0.061775,6.276819
0.020000,0.635631,1.021877,0.303371,0.767457,0.980619,-0.063461,6.276664
0.020000,0.651371,1.021773,0.319112,0.787044,0.979316,-0.065157,6.276523
0.020000,0.667503,1.021665,0.335244,0.806603,0.977979,-0.066846,6.276400
0.020000,0.684025,1.021552,0.351767,0.826136,0.976608,-0.068542,6.276295
0.020000,0.700938,1.021435,0.368680,0.845640,0.975203,-0.070232,6.276210
0.020000,0.718239,1.021313,0.385982,0.865115,0.973765,-0.071925,6.276147
0.020000,0.735930,1.021188,0.403673,0.884561,0.972292,-0.073620,6.276108
0.020000,0.754009,1.021060,0.421753,0.903976,0.970786,-0.075313,6.276093
0.020000,0.772476,1.020929,0.440220,0.923361,0.969246,-0.077007,6.276106
0.020000,0.791330,1.020796,0.459074,0.942715,0.967672,-0.078702,6.276147
0.020000,0.810570,1.020662,0.478315,0.962036,0.966064,-0.080397,6.276218
0.020000,0.830196,1.020526,0.497941,0.981324,0.964422,-0.082094,6.276322
0.020000,0.850207,1.020390,0.517953,1.000579,0.962746,-0.083789,6.276459
0.020000,0.870603,1.020254,0.538349,1.019800,0.961037,-0.085485,6.276633
0.020000,0.891382,1.020120,0.559129,1.038986,0.959293,-0.087185,6.276845
0.020000,0.912544,1.019989,0.580291,1.058136,0.957515,-0.088877,6.277097
0.020000,0.934089,1.019861,0.601836,1.077250,0.955704,-0.090580,6.277391
0.020000,0.956015,1.019737,0.623763,1.096328,0.953858,-0.092269,6.277729
0.020000,0.978322,1.019620,0.646070,1.115367,0.951979,-0.093974,6.278113
0.020000,1.001009,1.019509,0.668758,1.134368,0.950066,-0.095662,6.278546
0.020000,1.024076,1.019408,0.691824,1.153331,0.948118,-0.097361,6.279030
0.020000,1.047521,1.019317,0.715269,1.172254,0.946137,-0.099048,6.279566
0.020000,1.071343,1.019237,0.739092,1.191136,0.944123,-0.100742,6.280157
0.020000,1.095543,1.019172,0.763292,1.209977,0.942074,-0.102425,6.280806
0.020000,1.120118,1.019122,0.787867,1.228777,0.939992,-0.104103,6.281514
0.020000,1.145069,1.019090,0.812818,1.247535,0.937876,-0.105785,6.282285
0.020000,1.170394,1.019077,0.838143,1.266249,0.935727,-0.107450,6.283120
0.020000,1.196092,1.019087,0.863841,1.284920,0.933545,-0.109111,0.000836
0.020000,1.222163,1.019122,0.889912,1.303547,0.931330,-0.110762,0.001808
