dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.332474,0.667448,0.000199,0.019862,0.993098,49.654909,0.000036
0.020000,0.332474,0.667448,0.000794,0.039724,0.993098,0.000000,0.000016
0.020000,0.333001,0.667448,0.001788,0.059586,0.993098,0.000000,6.283167
0.020000,0.334392,0.667448,0.003178,0.079448,0.993098,0.000000,6.283121
0.020000,0.336179,0.667448,0.004965,0.099310,0.993098,0.000000,6.283061
0.020000,0.338364,0.667448,0.007150,0.119172,0.993098,-0.000000,6.282988
0.020000,0.340946,0.667447,0.009732,0.139034,0.993098,0.000000,6.282902
0.020000,0.343925,0.667446,0.012712,0.158896,0.993098,-0.000000,6.282804
0.020000,0.347302,0.667445,0.016088,0.178758,0.993098,0.000000,6.282693
0.020000,0.351076,0.667443,0.019862,0.198620,0.993098,0.000000,6.282571
0.020000,0.355247,0.667440,0.024033,0.218482,0.993098,-0.000000,6.282437
0.020000,0.359815,0.667436,0.028601,0.238344,0.993098,-0.000000,6.282292
0.020000,0.364781,0.667431,0.033567,0.258206,0.993098,0.000000,6.282136
0.020000,0.370143,0.667425,0.038929,0.278067,0.993098,0.000000,6.281970
0.020000,0.375903,0.667418,0.044689,0.297929,0.993098,-0.000000,6.281794
0.020000,0.382060,0.667408,0.050847,0.317791,0.993098,0.000000,6.281609
0.020000,0.388615,0.667397,0.057401,0.337653,0.993098,0.000000,6.281416
0.020000,0.395567,0.667384,0.064353,0.357515,0.993098,-0.000000,6.281214
0.020000,0.402915,0.667369,0.071702,0.377377,0.993098,0.000000,6.281005
0.020000,0.410662,0.667351,0.079448,0.397239,0.993098,0.000000,6.280790
0.020000,0.418805,0.667331,0.087591,0.417101,0.993098,-0.000000,6.280569
0.020000,0.427346,0.667308,0.096132,0.436963,0.993098,0.000000,6.280343
0.020000,0.436283,0.667281,0.105070,0.456825,0.993098,0.000000,6.280112
0.020000,0.445619,0.667252,0.114405,0.476687,0.993098,-0.000000,6.279878
0.020000,0.455351,0.667218,0.124137,0.496549,0.993098,0.000000,6.279642
0.020000,0.465480,0.667181,0.134267,0.516411,0.993098,0.000000,6.279404
0.020000,0.476007,0.667140,0.144794,0.536273,0.993098,-0.000000,6.279166
0.020000,0.486931,0.667095,0.155718,0.556135,0.993098,0.000000,6.278928
0.020000,0.498252,0.667045,0.167039,0.575997,0.993098,-0.000000,6.278691
0.020000,0.509971,0.666991,0.178758,0.595859,0.993098,0.000000,6.278457
0.020000,0.522086,0.666932,0.190873,0.615721,0.993098,-0.000000,6.278227
0.020000,0.534599,0.666869,0.203387,0.635583,0.993098,0.000000,6.278001
0.020000,0.547509,0.666801,0.216297,0.655445,0.993098,0.000000,6.277782
0.020000,0.560817,0.666727,0.229604,0.675307,0.993098,-0.000000,6.277569
0.020000,0.574521,0.666649,0.243309,0.695169,0.993098,0.000000,6.277366
0.020000,0.588623,0.666565,0.257411,0.715031,0.993098,0.000000,6.277172
0.020000,0.603122,0.666477,0.271910,0.734893,0.993098,0.000000,6.276989
0.020000,0.618018,0.666383,0.286807,0.754755,0.993098,0.000000,6.276819
0.020000,0.633311,0.666285,0.302100,0.774617,0.993098,0.000000,6.276664
0.020000,0.649002,0.666181,0.317791,0.794479,0.993098,-0.000000,6.276523
0.020000,0.665090,0.666073,0.333880,0.814340,0.993098,-0.000000,6.276400
0.020000,0.681575,0.665960,0.350365,0.834202,0.993098,0.000000,6.276295
0.020000,0.698457,0.665843,0.367248,0.854064,0.993098,-0.000000,6.276210
0.020000,0.715737,0.665722,0.384528,0.873926,0.993098,0.000000,6.276147
0.020000,0.733413,0.665597,0.402205,0.893788,0.993098,-0.000000,6.276108
0.020000,0.751487,0.665469,0.420279,0.913650,0.993098,0.000000,6.276093
0.020000,0.769959,0.665338,0.438751,0.933512,0.993098,-0.000000,6.276106
0.020000,0.788827,0.665205,0.457620,0.953374,0.993098,0.000000,6.276147
0.020000,0.808093,0.665070,0.476886,0.973236,0.993098,0.000000,6.276218
0.020000,0.827755,0.664934,0.496549,0.993098,0.993098,-0.000000,6.276322
0.020000,0.847816,0.664798,0.516610,1.012960,0.993098,0.000000,6.276459
0.020000,0.868273,0.664662,0.537067,1.032822,0.993098,0.000000,6.276633
0.020000,0.889128,0.664527,0.557923,1.052684,0.993098,-0.000000,6.276845
0.020000,0.910379,0.664395,0.579175,1.072546,0.993098,0.000000,6.277097
0.020000,0.932029,0.664267,0.600824,1.092408,0.993098,0.000000,6.277391
0.020000,0.954075,0.664142,0.622871,1.112270,0.993098,0.000000,6.277729
0.020000,0.976519,0.664024,0.645315,1.132132,0.993098,-0.000000,6.278113
0.020000,0.999360,0.663913,0.668156,1.151994,0.993098,0.000000,6.278546
0.020000,1.022598,0.663811,0.691395,1.171856,0.993098,0.000000,6.279030
0.020000,1.046234,0.663719,0.715031,1.191718,0.993098,0.000000,6.279566
0.020000,1.070266,0.663639,0.739064,1.211580,0.993098,0.000000,6.280157
0.020000,1.094697,0.663573,0.763494,1.231442,0.993098,-0.000000,6.280806
0.020000,1.119524,0.663523,0.788321,1.251304,0.993098,0.000000,6.281514
0.020000,1.144749,0.663490,0.813546,1.271166,0.993098,0.000000,6.282285
0.020000,1.170371,0.663477,0.839168,1.291028,0.993098,0.000000,6.283120
0.020000,1.196390,0.663487,0.865187,1.310890,0.993098,0.000000,0.000836
0.020000,1.222806,0.663522,0.891604,1.330752,0.993098,0.000000,0.001808
0.020000,1.249620,0.663585,0.918417,1.350614,0.993098,-0.000000,0.002851
0.020000,1.276830,0.663677,0.945628,1.370475,0.993098,0.000000,0.003970
0.020000,1.304438,0.663803,0.973236,1.390337,0.993098,0.000000,0.005165
0.020000,1.332443,0.663965,1.001242,1.410199,0.993098,-0.000000,0.006440
0.020000,1.360845,0.664168,1.029644,1.430061,0.993098,0.000000,0.007797
0.020000,1.389644,0.664413,1.058444,1.449923,0.993098,0.000000,0.009240
0.020000,1.418839,0.664705,1.087641,1.469785,0.993098,-0.000000,0.010771
0.020000,1.448432,0.665047,1.117235,1.489647,0.993098,0.000000,0.012392
0.020000,1.478421,0.665444,1.147227,1.509509,0.993098,0.000000,0.014107
0.020000,1.508806,0.665900,1.177616,1.529371,0.993098,0.000000,0.015919
0.020000,1.539588,0.666420,1.208402,1.549233,0.993098,0.000000,0.017829
0.020000,1.570765,0.667007,1.239585,1.569095,0.993098,-0.000000,0.019842
0.020000,1.597688,0.667568,1.271166,1.588957,0.993098,0.000000,0.022742
0.020000,1.629654,0.668433,1.303143,1.608819,0.993098,0.000000,0.031320
0.020000,1.662009,0.669586,1.335518,1.628681,0.993098,-0.000000,0.039924
0.020000,1.694749,0.671035,1.368291,1.648543,0.993098,0.000000,0.048546
0.020000,1.727872,0.672788,1.401460,1.668405,0.993098,0.000000,0.057180
0.020000,1.761375,0.674852,1.435027,1.688267,0.993098,-0.000000,0.065819
0.020000,1.795255,0.677232,1.468991,1.708129,0.993098,0.000000,0.074456
0.020000,1.829510,0.679936,1.503352,1.727991,0.993098,0.000000,0.083084
0.020000,1.864135,0.682970,1.538110,1.747853,0.993098,0.000000,0.091694
0.020000,1.899129,0.686340,1.573266,1.767715,0.993098,-0.000000,0.100279
0.020000,1.934488,0.690051,1.608819,1.787577,0.993098,0.000000,0.108832
0.020000,1.970208,0.694108,1.644769,1.807439,0.993098,0.000000,0.117344
0.020000,2.006287,0.698516,1.681117,1.827301,0.993098,0.000000,0.125808
0.020000,2.042721,0.703281,1.717861,1.847163,0.993098,-0.000000,0.134216
0.020000,2.079508,0.708405,1.755003,1.867025,0.993098,0.000000,0.142560
0.020000,2.116644,0.713892,1.792542,1.886887,0.993098,0.000000,0.150831
0.020000,2.154125,0.719747,1.830479,1.906748,0.993098,-0.000000,0.159023
0.020000,2.191950,0.725971,1.868812,1.926610,0.993098,0.000000,0.167126
0.020000,2.230115,0.732567,1.907543,1.946472,0.993098,0.000000,0.175133
0.020000,2.268617,0.739537,1.946671,1.966334,0.993098,0.000000,0.183036
0.020000,2.307454,0.746884,1.986196,1.986196,0.993098,-0.000000,0.190826
0.020000,2.346622,0.754607,2.026119,2.006058,0.993098,0.000000,0.198497
0.020000,2.386120,0.762707,2.066439,2.025920,0.993098,-0.000000,0.206040
0.020000,2.425944,0.771186,2.107156,2.045782,0.993098,0.000000,0.213447
0.020000,2.466093,0.780041,2.148270,2.065644,0.993098,0.000000,0.220711
0.020000,2.506565,0.789274,2.189781,2.085506,0.993098,-0.000000,0.227825
0.020000,2.547357,0.798882,2.231690,2.105368,0.993098,0.000000,0.234780
0.020000,2.588469,0.808864,2.273996,2.125230,0.993098,0.000000,0.241569
0.020000,2.629898,0.819218,2.316699,2.145092,0.993098,0.000000,0.248185
0.020000,2.671643,0.829940,2.359800,2.164954,0.993098,0.000000,0.254621
0.020000,2.713703,0.841029,2.403298,2.184816,0.993098,0.000000,0.260870
0.020000,2.756079,0.852479,2.447193,2.204678,0.993098,0.000000,0.266924
0.020000,2.798767,0.864288,2.491485,2.224540,0.993098,0.000000,0.272777
0.020000,2.841770,0.876450,2.536174,2.244402,0.993098,-0.000000,0.278422
0.020000,2.885086,0.888960,2.581261,2.264264,0.993098,0.000000,0.283851
0.020000,2.928716,0.901813,2.626745,2.284126,0.993098,0.000000,0.289059
0.020000,2.972661,0.915002,2.672626,2.303988,0.993098,-0.000000,0.294039
0.020000,3.016921,0.928520,2.718904,2.323850,0.993098,0.000000,0.298784
0.020000,3.061497,0.942361,2.765580,2.343712,0.993098,0.000000,0.303287
0.020000,3.106391,0.956516,2.812653,2.363574,0.993098,0.000000,0.307542
0.020000,3.151605,0.970978,2.860123,2.383436,0.993098,0.000000,0.311542
0.020000,3.197140,0.985737,2.907990,2.403298,0.993098,0.000000,0.315281
0.020000,3.242999,1.000783,2.956255,2.423160,0.993098,0.000000,0.318752
0.020000,3.289185,1.016108,3.004916,2.443021,0.993098,0.000000,0.321949
0.020000,3.335700,1.031700,3.053975,2.462883,0.993098,-0.000000,0.324865
0.020000,3.382548,1.047549,3.103432,2.482745,0.993098,0.000000,0.327493
0.020000,3.429733,1.063641,3.153285,2.502607,0.993098,-0.000000,0.329827
0.020000,3.477258,1.079966,3.203536,2.522469,0.993098,0.000000,0.331860
0.020000,3.525128,1.096510,3.254184,2.542331,0.993098,0.000000,0.333584
0.020000,3.573347,1.113259,3.305229,2.562193,0.993098,0.000000,0.334994
0.020000,3.621921,1.130199,3.356672,2.582055,0.993098,0.000000,0.336081
0.020000,3.670853,1.147315,3.408512,2.601917,0.993098,0.000000,0.336837
0.020000,3.720151,1.164592,3.460749,2.621779,0.993098,0.000000,0.337257
0.020000,3.769818,1.182012,3.513383,2.641641,0.993098,0.000000,0.337332
0.020000,3.819863,1.199558,3.566414,2.661503,0.993098,0.000000,0.337053
0.020000,3.870291,1.217213,3.619843,2.681365,0.993098,-0.000000,0.336414
0.020000,3.921108,1.234957,3.673669,2.701227,0.993098,0.000000,0.335406
0.020000,3.972321,1.252770,3.727892,2.721089,0.993098,-0.000000,0.334019
0.020000,4.023938,1.270633,3.782512,2.740951,0.993098,0.000000,0.332246
0.020000,4.075966,1.288523,3.837530,2.760813,0.993098,0.000000,0.330078
0.020000,4.128412,1.306419,3.892945,2.780675,0.993098,0.000000,0.327505
0.020000,4.181069,1.324223,3.948531,2.777898,-0.138860,-56.597890,0.324531
0.020000,4.233567,1.341789,4.003890,2.758036,-0.993098,-42.711927,0.321176
0.020000,4.285751,1.359044,4.058852,2.738174,-0.993098,0.000000,0.317457
0.020000,4.337623,1.375972,4.113417,2.718312,-0.993098,-0.000000,0.313380
0.020000,4.389189,1.392559,4.167584,2.698450,-0.993098,0.000000,0.308954
0.020000,4.440451,1.408787,4.221355,2.678588,-0.993098,0.000000,0.304184
0.020000,4.491414,1.424645,4.274728,2.658726,-0.993098,0.000000,0.299079
0.020000,4.542080,1.440118,4.327704,2.638864,-0.993098,-0.000000,0.293645
0.020000,4.592451,1.455193,4.380283,2.619002,-0.993098,0.000000,0.287890
0.020000,4.642530,1.469858,4.432464,2.599140,-0.993098,0.000000,0.281821
0.020000,4.692316,1.484103,4.484248,2.579278,-0.993098,0.000000,0.275446
0.020000,4.741812,1.497915,4.535635,2.559416,-0.993098,0.000000,0.268772
0.020000,4.791017,1.511285,4.586625,2.539554,-0.993098,0.000000,0.261808
0.020000,4.839932,1.524204,4.637217,2.519692,-0.993098,0.000000,0.254561
0.020000,4.888557,1.536663,4.687412,2.499830,-0.993098,-0.000000,0.247039
0.020000,4.936889,1.548653,4.737210,2.479968,-0.993098,0.000000,0.239252
0.020000,4.984929,1.560168,4.786611,2.460106,-0.993098,0.000000,0.231207
0.020000,5.032674,1.571201,4.835615,2.440244,-0.993098,0.000000,0.222915
0.020000,5.080123,1.581745,4.884221,2.420382,-0.993098,-0.000000,0.214383
0.020000,5.127273,1.591796,4.932430,2.400520,-0.993098,0.000000,0.205622
0.020000,5.174120,1.601349,4.980242,2.380658,-0.993098,0.000000,0.196641
0.020000,5.220663,1.610400,5.027656,2.360796,-0.993098,0.000000,0.187451
0.020000,5.266897,1.618946,5.074674,2.340934,-0.993098,0.000000,0.178061
0.020000,5.312818,1.626984,5.121294,2.321073,-0.993098,0.000000,0.168482
0.020000,5.358423,1.634514,5.167517,2.301211,-0.993098,0.000000,0.158726
0.020000,5.403708,1.641533,5.213342,2.281349,-0.993098,-0.000000,0.148802
0.020000,5.448667,1.648043,5.258770,2.261487,-0.993098,0.000000,0.138723
0.020000,5.493297,1.654042,5.303802,2.241625,-0.993098,0.000000,0.128499
0.020000,5.537592,1.659533,5.348435,2.221763,-0.993098,0.000000,0.118142
0.020000,5.581546,1.664518,5.392672,2.201901,-0.993098,-0.000000,0.107664
0.020000,5.625156,1.668999,5.436511,2.182039,-0.993098,0.000000,0.097077
0.020000,5.668415,1.672979,5.479954,2.162177,-0.993098,0.000000,0.086392
0.020000,5.711319,1.676463,5.522999,2.142315,-0.993098,0.000000,0.075622
0.020000,5.753861,1.679455,5.565646,2.122453,-0.993098,0.000000,0.064778
0.020000,5.796037,1.681960,5.607897,2.102591,-0.993098,0.000000,0.053872
0.020000,5.837841,1.683985,5.649750,2.082729,-0.993098,-0.000000,0.042916
0.020000,5.879267,1.685537,5.691206,2.062867,-0.993098,0.000000,0.031922
0.020000,5.920312,1.686622,5.732265,2.043005,-0.993098,0.000000,0.020902
0.020000,5.960968,1.687247,5.772926,2.023143,-0.993098,0.000000,0.009865
0.020000,6.001232,1.687423,5.813190,2.003281,-0.993098,0.000000,6.282010
0.020000,6.038329,1.687207,5.853057,1.983419,-0.993098,-0.000000,6.276861
0.020000,6.077797,1.687327,5.892527,1.963557,-0.993098,0.000000,0.012596
0.020000,6.116860,1.688203,5.931600,1.943695,-0.993098,-0.000000,0.032422
0.020000,6.155499,1.689854,5.970275,1.923833,-0.993098,0.000000,0.053198
