dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.332486,0.311848,0.000199,0.019862,0.993098,49.654909,0.000036
0.020000,0.332479,0.311848,0.000206,0.000359,-0.975173,-98.413534,0.000016
0.020000,0.332995,0.311848,0.000722,0.025794,1.271774,112.347316,6.283167
0.020000,0.334369,0.311848,0.002095,0.068684,2.144515,43.637064,6.283121
0.020000,0.336135,0.311848,0.003862,0.088312,0.981407,-58.155391,6.283061
0.020000,0.338294,0.311848,0.006020,0.107944,0.981560,0.007617,6.282988
0.020000,0.340845,0.311847,0.008572,0.127579,0.981746,0.009310,6.282902
0.020000,0.343790,0.311846,0.011516,0.147218,0.981966,0.011002,6.282804
0.020000,0.347127,0.311845,0.014854,0.166862,0.982220,0.012695,6.282693
0.020000,0.350857,0.311843,0.018584,0.186512,0.982508,0.014388,6.282571
0.020000,0.354981,0.311840,0.022707,0.206169,0.982829,0.016081,6.282437
0.020000,0.359497,0.311836,0.027224,0.225833,0.983185,0.017773,6.282292
0.020000,0.364407,0.311831,0.032134,0.245504,0.983574,0.019467,6.282136
0.020000,0.369711,0.311825,0.037438,0.265184,0.983997,0.021160,6.281970
0.020000,0.375409,0.311818,0.043135,0.284873,0.984454,0.022850,6.281794
0.020000,0.381500,0.311809,0.049227,0.304572,0.984945,0.024547,6.281609
0.020000,0.387986,0.311798,0.055712,0.324281,0.985470,0.026237,6.281416
0.020000,0.394866,0.311785,0.062592,0.344002,0.986028,0.027932,6.281214
0.020000,0.402140,0.311770,0.069867,0.363734,0.986621,0.029622,6.281005
0.020000,0.409810,0.311752,0.077537,0.383479,0.987247,0.031317,6.280790
0.020000,0.417875,0.311732,0.085601,0.403238,0.987907,0.033007,6.280569
0.020000,0.426335,0.311709,0.094061,0.423010,0.988601,0.034704,6.280343
0.020000,0.435191,0.311683,0.102917,0.442796,0.989329,0.036392,6.280112
0.020000,0.444443,0.311653,0.112169,0.462598,0.990091,0.038088,6.279878
0.020000,0.454091,0.311620,0.121818,0.482416,0.990887,0.039777,6.279642
0.020000,0.464136,0.311584,0.131863,0.502250,0.991716,0.041474,6.279404
0.020000,0.474578,0.311543,0.142305,0.522102,0.992579,0.043164,6.279166
