dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.332460,1.023048,0.000125,0.012460,0.623010,31.150482,0.000038
0.020000,0.332466,1.023048,0.000131,0.000300,-0.608011,-61.551048,0.000022
0.020000,0.332838,1.023048,0.000503,0.018602,0.915085,76.154821,6.283173
0.020000,0.334351,1.023048,0.002016,0.075657,2.852756,96.883559,6.283123
0.020000,0.336369,1.023048,0.004033,0.100871,1.260698,-79.602920,6.283056
0.020000,0.338890,1.023048,0.006555,0.126080,1.260485,-0.010659,6.282973
0.020000,0.341916,1.023047,0.009580,0.151285,1.260218,-0.013323,6.282874
0.020000,0.345445,1.023046,0.013110,0.176483,1.259898,-0.015987,6.282759
0.020000,0.349479,1.023044,0.017144,0.201673,1.259525,-0.018653,6.282629
0.020000,0.354016,1.023041,0.021681,0.226855,1.259099,-0.021317,6.282484
0.020000,0.359057,1.023037,0.026721,0.252028,1.258619,-0.023983,6.282325
0.020000,0.364600,1.023032,0.032265,0.277189,1.258086,-0.026647,6.282153
0.020000,0.370647,1.023025,0.038312,0.302339,1.257500,-0.029312,6.281968
0.020000,0.377197,1.023016,0.044861,0.327477,1.256861,-0.031978,6.281770
0.020000,0.384249,1.023005,0.051913,0.352600,1.256168,-0.034642,6.281561
0.020000,0.391803,1.022992,0.059468,0.377708,1.255422,-0.037306,6.281342
0.020000,0.399859,1.022976,0.067524,0.402801,1.254622,-0.039971,6.281113
0.020000,0.408416,1.022958,0.076081,0.427876,1.253769,-0.042639,6.280875
0.020000,0.417475,1.022936,0.085140,0.452934,1.252864,-0.045298,6.280629
0.020000,0.427034,1.022910,0.094699,0.477972,1.251904,-0.047968,6.280377
0.020000,0.437094,1.022880,0.104759,0.502989,1.250892,-0.050630,6.280119
0.020000,0.447654,1.022847,0.115319,0.527986,1.249826,-0.053296,6.279857
0.020000,0.458713,1.022808,0.126378,0.552960,1.248707,-0.055956,6.279592
0.020000,0.470271,1.022765,0.137936,0.577911,1.247534,-0.058626,6.279326
0.020000,0.482328,1.022717,0.149993,0.602837,1.246308,-0.061285,6.279059
0.020000,0.494882,1.022664,0.162548,0.627737,1.245029,-0.063952,6.278793
0.020000,0.507934,1.022605,0.175600,0.652611,1.243697,-0.066611,6.278529
0.020000,0.521483,1.022540,0.189149,0.677458,1.242311,-0.069283,6.278270
0.020000,0.535529,1.022469,0.203194,0.702275,1.240873,-0.071935,6.278017
0.020000,0.550070,1.022392,0.217736,0.727063,1.239381,-0.074605,6.277771
0.020000,0.565106,1.022309,0.232772,0.751819,1.237835,-0.077266,6.277534
0.020000,0.580637,1.022219,0.248303,0.776544,1.236237,-0.079931,6.277309
0.020000,0.596661,1.022123,0.264328,0.801236,1.234585,-0.082586,6.277096
0.020000,0.613179,1.022021,0.280846,0.825893,1.232880,-0.085260,6.276898
0.020000,0.630189,1.021913,0.297856,0.850516,1.231121,-0.087917,6.276717
0.020000,0.647690,1.021798,0.315358,0.875102,1.229310,-0.090578,6.276554
0.020000,0.665683,1.021677,0.333351,0.899651,1.227445,-0.093246,6.276413
0.020000,0.684166,1.021551,0.351834,0.924162,1.225527,-0.095908,6.276294
0.020000,0.703138,1.021419,0.370807,0.948633,1.223555,-0.098574,6.276201
0.020000,0.722599,1.021283,0.390268,0.973063,1.221531,-0.101238,6.276135
0.020000,0.742547,1.021142,0.410217,0.997452,1.219452,-0.103904,6.276099
0.020000,0.762983,1.020997,0.430653,1.021799,1.217321,-0.106571,6.276096
0.020000,0.783904,1.020849,0.451575,1.046101,1.215136,-0.109238,6.276127
0.020000,0.805311,1.020698,0.472982,1.070359,1.212898,-0.111906,6.276196
0.020000,0.827202,1.020546,0.494874,1.094572,1.210607,-0.114576,6.276304
0.020000,0.849576,1.020394,0.517249,1.118737,1.208262,-0.117245,6.276455
0.020000,0.872432,1.020242,0.540106,1.142854,1.205863,-0.119918,6.276650
0.020000,0.895770,1.020093,0.563444,1.166922,1.203412,-0.122586,6.276894
0.020000,0.919589,1.019946,0.587263,1.190940,1.200906,-0.125260,6.277189
0.020000,0.943887,1.019805,0.611561,1.214907,1.198348,-0.127931,6.277537
0.020000,0.968663,1.019670,0.636337,1.238822,1.195736,-0.130600,6.277942
0.020000,0.993916,1.019543,0.661591,1.262683,1.193070,-0.133273,6.278406
0.020000,1.019646,1.019427,0.687321,1.286491,1.190352,-0.135937,6.278933
0.020000,1.045850,1.019323,0.713526,1.310242,1.187580,-0.138603,6.279526
0.020000,1.072529,1.019234,0.740205,1.333937,1.184754,-0.141262,6.280188
0.020000,1.099680,1.019162,0.767356,1.357575,1.181876,-0.143918,6.280921
0.020000,1.127303,1.019111,0.794979,1.381154,1.178945,-0.146562,6.281731
0.020000,1.155397,1.019082,0.823073,1.404673,1.175961,-0.149200,6.282619
0.020000,1.183959,1.019080,0.851635,1.428131,1.172924,-0.151821,0.000404
0.020000,1.212990,1.019107,0.880666,1.451528,1.169836,-0.154432,0.001460
0.020000,1.242487,1.019166,0.910163,1.474862,1.166695,-0.157017,0.002605
