dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.332474,0.667448,0.000125,0.012476,0.623799,31.189952,0.000038
0.020000,0.332474,0.667448,0.000624,0.037428,1.247598,31.189952,0.000021
0.020000,0.332836,0.667448,0.001622,0.062380,1.247598,0.000000,6.283173
0.020000,0.334333,0.667448,0.003119,0.087332,1.247598,0.000000,6.283123
0.020000,0.336329,0.667448,0.005115,0.112284,1.247598,0.000000,6.283056
0.020000,0.338824,0.667448,0.007610,0.137236,1.247598,-0.000000,6.282972
0.020000,0.341818,0.667447,0.010605,0.162188,1.247598,0.000000,6.282873
0.020000,0.345312,0.667446,0.014098,0.187140,1.247598,-0.000000,6.282758
0.020000,0.349304,0.667444,0.018090,0.212092,1.247598,0.000000,6.282628
0.020000,0.353795,0.667441,0.022582,0.237044,1.247598,0.000000,6.282483
0.020000,0.358786,0.667437,0.027572,0.261996,1.247598,-0.000000,6.282324
0.020000,0.364275,0.667432,0.033061,0.286948,1.247598,0.000000,6.282152
0.020000,0.370264,0.667425,0.039050,0.311900,1.247598,0.000000,6.281966
0.020000,0.376751,0.667416,0.045537,0.336851,1.247598,0.000000,6.281769
0.020000,0.383738,0.667406,0.052524,0.361803,1.247598,-0.000000,6.281559
0.020000,0.391223,0.667393,0.060009,0.386755,1.247598,0.000000,6.281340
0.020000,0.399208,0.667377,0.067994,0.411707,1.247598,0.000000,6.281110
0.020000,0.407692,0.667358,0.076478,0.436659,1.247598,-0.000000,6.280872
0.020000,0.416674,0.667337,0.085460,0.461611,1.247598,0.000000,6.280626
0.020000,0.426156,0.667311,0.094942,0.486563,1.247598,0.000000,6.280374
0.020000,0.436137,0.667282,0.104923,0.511515,1.247598,-0.000000,6.280116
0.020000,0.446616,0.667248,0.115403,0.536467,1.247598,0.000000,6.279854
0.020000,0.457595,0.667210,0.126382,0.561419,1.247598,0.000000,6.279589
0.020000,0.469073,0.667167,0.137860,0.586371,1.247598,0.000000,6.279322
0.020000,0.481050,0.667119,0.149837,0.611323,1.247598,0.000000,6.279054
0.020000,0.493526,0.667066,0.162313,0.636275,1.247598,0.000000,6.278788
0.020000,0.506501,0.667007,0.175288,0.661227,1.247598,0.000000,6.278525
0.020000,0.519975,0.666943,0.188762,0.686179,1.247598,-0.000000,6.278266
0.020000,0.533947,0.666872,0.202735,0.711131,1.247598,0.000000,6.278012
0.020000,0.548419,0.666796,0.217207,0.736083,1.247598,0.000000,6.277767
0.020000,0.563390,0.666713,0.232178,0.761035,1.247598,0.000000,6.277530
0.020000,0.578860,0.666624,0.247648,0.785987,1.247598,0.000000,6.277304
0.020000,0.594829,0.666528,0.263617,0.810939,1.247598,0.000000,6.277092
0.020000,0.611297,0.666426,0.280086,0.835891,1.247598,-0.000000,6.276894
0.020000,0.628264,0.666318,0.297053,0.860843,1.247598,0.000000,6.276713
0.020000,0.645730,0.666203,0.314519,0.885795,1.247598,-0.000000,6.276551
0.020000,0.663695,0.666083,0.332485,0.910747,1.247598,0.000000,6.276410
0.020000,0.682159,0.665956,0.350949,0.935699,1.247598,-0.000000,6.276292
0.020000,0.701122,0.665825,0.369913,0.960651,1.247598,0.000000,6.276199
0.020000,0.720584,0.665688,0.389375,0.985602,1.247598,0.000000,6.276134
0.020000,0.740545,0.665547,0.409337,1.010554,1.247598,0.000000,6.276099
0.020000,0.761006,0.665402,0.429798,1.035506,1.247598,-0.000000,6.276096
0.020000,0.781965,0.665254,0.450757,1.060458,1.247598,0.000000,6.276128
0.020000,0.803423,0.665103,0.472216,1.085410,1.247598,-0.000000,6.276198
0.020000,0.825380,0.664950,0.494174,1.110362,1.247598,0.000000,6.276307
0.020000,0.847836,0.664798,0.516630,1.135314,1.247598,-0.000000,6.276460
0.020000,0.870792,0.664645,0.539586,1.160266,1.247598,0.000000,6.276657
0.020000,0.894246,0.664495,0.563041,1.185218,1.247598,-0.000000,6.276902
0.020000,0.918199,0.664348,0.586995,1.210170,1.247598,0.000000,6.277199
0.020000,0.942652,0.664206,0.611448,1.235122,1.247598,-0.000000,6.277549
0.020000,0.967603,0.664070,0.636400,1.260074,1.247598,0.000000,6.277956
0.020000,0.993054,0.663943,0.661851,1.285026,1.247598,-0.000000,6.278423
0.020000,1.019004,0.663826,0.687801,1.309978,1.247598,0.000000,6.278952
0.020000,1.045453,0.663722,0.714250,1.334930,1.247598,0.000000,6.279547
0.020000,1.072401,0.663633,0.741198,1.359882,1.247598,0.000000,6.280212
0.020000,1.099848,0.663561,0.768645,1.384834,1.247598,-0.000000,6.280949
0.020000,1.127794,0.663510,0.796591,1.409786,1.247598,0.000000,6.281761
0.020000,1.156239,0.663482,0.825037,1.434738,1.247598,-0.000000,6.282653
0.020000,1.185183,0.663480,0.853981,1.459690,1.247598,0.000000,0.000441
0.020000,1.214627,0.663509,0.883424,1.484642,1.247598,-0.000000,0.001501
0.020000,1.244569,0.663571,0.913367,1.509594,1.247598,0.000000,0.002650
0.020000,1.275010,0.663670,0.943808,1.534546,1.247598,-0.000000,0.003893
0.020000,1.305950,0.663811,0.974748,1.559498,1.247598,0.000000,0.005232
0.020000,1.337389,0.663998,1.006188,1.584450,1.247598,-0.000000,0.006672
0.020000,1.369327,0.664235,1.038126,1.609402,1.247598,0.000000,0.008215
0.020000,1.401763,0.664528,1.070564,1.634353,1.247598,0.000000,0.009867
0.020000,1.434698,0.664882,1.103500,1.659305,1.247598,-0.000000,0.011631
0.020000,1.468131,0.665302,1.136936,1.684257,1.247598,0.000000,0.013511
0.020000,1.502062,0.665794,1.170871,1.709209,1.247598,0.000000,0.015510
0.020000,1.536491,0.666365,1.205304,1.734161,1.247598,0.000000,0.017633
0.020000,1.571417,0.667020,1.240237,1.759113,1.247598,-0.000000,0.019885
0.020000,1.602191,0.667673,1.275669,1.784065,1.247598,0.000000,0.023955
0.020000,1.638106,0.668707,1.311600,1.809017,1.247598,0.000000,0.033575
0.020000,1.674509,0.670106,1.348030,1.833969,1.247598,0.000000,0.043226
0.020000,1.711395,0.671880,1.384959,1.858921,1.247598,0.000000,0.052897
0.020000,1.748761,0.674041,1.422387,1.883873,1.247598,-0.000000,0.062578
0.020000,1.786601,0.676596,1.460314,1.908825,1.247598,0.000000,0.072260
0.020000,1.824913,0.679556,1.498740,1.933777,1.247598,0.000000,0.081932
0.020000,1.863691,0.682929,1.537665,1.958729,1.247598,-0.000000,0.091584
0.020000,1.902932,0.686724,1.577089,1.983681,1.247598,0.000000,0.101205
0.020000,1.942631,0.690948,1.617012,2.008633,1.247598,0.000000,0.110784
0.020000,1.982784,0.695609,1.657434,2.033585,1.247598,0.000000,0.120310
0.020000,2.023385,0.700713,1.698355,2.058537,1.247598,-0.000000,0.129771
0.020000,2.064431,0.706267,1.739776,2.083489,1.247598,0.000000,0.139158
0.020000,2.105918,0.712275,1.781695,2.108441,1.247598,0.000000,0.148458
0.020000,2.147840,0.718743,1.824113,2.133393,1.247598,0.000000,0.157660
0.020000,2.190193,0.725675,1.867031,2.158345,1.247598,-0.000000,0.166753
0.020000,2.232975,0.733074,1.910447,2.183297,1.247598,0.000000,0.175726
0.020000,2.276179,0.740943,1.954362,2.208249,1.247598,0.000000,0.184567
0.020000,2.319803,0.749285,1.998777,2.233201,1.247598,0.000000,0.193265
0.020000,2.363843,0.758100,2.043690,2.258153,1.247598,-0.000000,0.201810
0.020000,2.408295,0.767390,2.089103,2.283104,1.247598,0.000000,0.210189
0.020000,2.453156,0.777154,2.135015,2.308056,1.247598,0.000000,0.218393
0.020000,2.498423,0.787392,2.181425,2.333008,1.247598,0.000000,0.226411
0.020000,2.544094,0.798102,2.228335,2.357960,1.247598,-0.000000,0.234231
0.020000,2.590165,0.809282,2.275744,2.382912,1.247598,0.000000,0.241844
0.020000,2.636636,0.820929,2.323651,2.407864,1.247598,0.000000,0.249240
0.020000,2.683503,0.833039,2.372058,2.432816,1.247598,-0.000000,0.256407
0.020000,2.730767,0.845606,2.420964,2.457768,1.247598,0.000000,0.263337
0.020000,2.778425,0.858627,2.470369,2.482720,1.247598,0.000000,0.270019
0.020000,2.826477,0.872095,2.520273,2.507672,1.247598,0.000000,0.276443
0.020000,2.874923,0.886002,2.570676,2.532624,1.247598,-0.000000,0.282601
0.020000,2.923764,0.900341,2.621578,2.557576,1.247598,0.000000,0.288481
0.020000,2.972999,0.915104,2.672979,2.582528,1.247598,0.000000,0.294076
0.020000,3.022630,0.930281,2.724879,2.607480,1.247598,-0.000000,0.299376
0.020000,3.072660,0.945861,2.777278,2.632432,1.247598,0.000000,0.304371
0.020000,3.123089,0.961834,2.830176,2.657384,1.247598,0.000000,0.309052
0.020000,3.173920,0.978187,2.883573,2.682336,1.247598,-0.000000,0.313411
0.020000,3.225157,0.994908,2.937470,2.707288,1.247598,0.000000,0.317437
0.020000,3.276802,1.011984,2.991865,2.732240,1.247598,0.000000,0.321121
0.020000,3.328861,1.029398,3.046759,2.757192,1.247598,-0.000000,0.324455
0.020000,3.381337,1.047137,3.102153,2.782144,1.247598,0.000000,0.327429
