dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.332487,0.311848,0.000125,0.012476,0.623799,31.189952,0.000038
0.020000,0.332481,0.311848,0.000131,0.000300,-0.608782,-61.629037,0.000021
0.020000,0.332831,0.311848,0.000481,0.017506,0.860273,73.452713,6.283173
0.020000,0.334311,0.311848,0.001960,0.073959,2.822666,98.119677,6.283123
0.020000,0.336283,0.311848,0.003932,0.098617,1.232901,-79.488239,6.283056
0.020000,0.338748,0.311848,0.006398,0.123279,1.233115,0.010685,6.282972
0.020000,0.341707,0.311847,0.009357,0.147947,1.233382,0.013357,6.282873
0.020000,0.345160,0.311846,0.012809,0.172621,1.233703,0.016029,6.282758
0.020000,0.349106,0.311844,0.016755,0.197303,1.234077,0.018700,6.282628
0.020000,0.353546,0.311841,0.021195,0.221993,1.234504,0.021372,6.282483
0.020000,0.358480,0.311837,0.026129,0.246692,1.234985,0.024042,6.282324
0.020000,0.363908,0.311832,0.031557,0.271403,1.235519,0.026715,6.282152
0.020000,0.369830,0.311825,0.037480,0.296125,1.236107,0.029388,6.281966
0.020000,0.376247,0.311817,0.043897,0.320860,1.236748,0.032056,6.281769
0.020000,0.383160,0.311806,0.050809,0.345609,1.237443,0.034731,6.281559
0.020000,0.390567,0.311793,0.058217,0.370373,1.238191,0.037402,6.281340
0.020000,0.398470,0.311778,0.066120,0.395152,1.238992,0.040074,6.281110
0.020000,0.406869,0.311759,0.074519,0.419949,1.239847,0.042741,6.280872
0.020000,0.415764,0.311738,0.083414,0.444765,1.240756,0.045420,6.280626
0.020000,0.425156,0.311713,0.092806,0.469599,1.241717,0.048085,6.280374
0.020000,0.435045,0.311683,0.102695,0.494454,1.242732,0.050761,6.280116
0.020000,0.445432,0.311650,0.113081,0.519330,1.243801,0.053429,6.279854
0.020000,0.456316,0.311612,0.123966,0.544228,1.244923,0.056102,6.279589
0.020000,0.467699,0.311570,0.135349,0.569150,1.246098,0.058771,6.279322
0.020000,0.479581,0.311522,0.147231,0.594097,1.247327,0.061445,6.279054
0.020000,0.491962,0.311470,0.159612,0.619069,1.248610,0.064108,6.278788
0.020000,0.504843,0.311411,0.172494,0.644068,1.249945,0.066786,6.278525
0.020000,0.518225,0.311347,0.185876,0.669094,1.251334,0.069452,6.278266
0.020000,0.532108,0.311277,0.199759,0.694150,1.252777,0.072124,6.278012
0.020000,0.546493,0.311201,0.214143,0.719235,1.254273,0.074790,6.277767
0.020000,0.561379,0.311118,0.229030,0.744352,1.255822,0.077466,6.277530
0.020000,0.576769,0.311030,0.244420,0.769500,1.257424,0.080129,6.277304
0.020000,0.592662,0.310935,0.260314,0.794682,1.259081,0.082802,6.277092
0.020000,0.609060,0.310833,0.276712,0.819898,1.260790,0.085469,6.276894
0.020000,0.625963,0.310725,0.293615,0.845149,1.262553,0.088142,6.276713
0.020000,0.643371,0.310611,0.311024,0.870436,1.264369,0.090809,6.276551
0.020000,0.661286,0.310491,0.328939,0.895761,1.266239,0.093483,6.276410
0.020000,0.679708,0.310365,0.347361,0.921124,1.268162,0.096149,6.276292
0.020000,0.698638,0.310233,0.366292,0.946527,1.270138,0.098825,6.276199
0.020000,0.718077,0.310097,0.385731,0.971970,1.272168,0.101494,6.276134
0.020000,0.738026,0.309956,0.405680,0.997455,1.274251,0.104167,6.276099
0.020000,0.758485,0.309811,0.426140,1.022983,1.276388,0.106841,6.276096
0.020000,0.779455,0.309662,0.447111,1.048555,1.278578,0.109515,6.276128
0.020000,0.800938,0.309511,0.468595,1.074171,1.280822,0.112190,6.276198
0.020000,0.822934,0.309359,0.490591,1.099833,1.283120,0.114866,6.276307
