dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.003449,1.002468,0.000125,0.012451,0.622532,31.126607,6.282274
0.020000,0.003416,1.002468,0.000157,0.001644,-0.540353,-58.144282,6.282367
0.020000,0.003350,1.002468,0.000223,0.003286,0.082107,31.123005,6.282552
0.020000,0.003252,1.002468,0.000322,0.004925,0.081963,-0.007205,6.282829
0.020000,0.003186,1.002468,0.000387,0.003270,-0.082765,-8.236381,0.000012
0.020000,0.005513,1.002468,0.002713,0.116317,5.652391,286.757787,0.000473
0.020000,0.008305,1.002470,0.005505,0.139597,1.163958,-224.421649,0.001025
0.020000,0.011562,1.002475,0.008763,0.162885,1.164403,0.022273,0.001667
0.020000,0.015286,1.002482,0.012487,0.186183,1.164903,0.024988,0.002400
0.020000,0.019476,1.002494,0.016676,0.209492,1.165481,0.028897,0.003222
0.020000,0.024132,1.002511,0.021333,0.232815,1.166133,0.032607,0.004133
0.020000,0.029255,1.002535,0.026456,0.256152,1.166857,0.036223,0.005132
0.020000,0.034845,1.002567,0.032046,0.279505,1.167656,0.039925,0.006218
0.020000,0.040902,1.002608,0.038103,0.302876,1.168530,0.043685,0.007390
0.020000,0.047428,1.002660,0.044629,0.326265,1.169466,0.046804,0.008647
0.020000,0.054421,1.002725,0.051622,0.349675,1.170502,0.051802,0.009988
0.020000,0.061882,1.002805,0.059084,0.373107,1.171579,0.053852,0.011412
0.020000,0.069813,1.002902,0.067016,0.396562,1.172769,0.059487,0.012917
0.020000,0.078213,1.003017,0.075416,0.420042,1.174002,0.061668,0.014502
0.020000,0.087083,1.003153,0.084287,0.443549,1.175316,0.065685,0.016166
0.020000,0.096423,1.003312,0.093629,0.467083,1.176724,0.070429,0.017906
0.020000,0.106235,1.003497,0.103442,0.490647,1.178197,0.073660,0.019721
0.020000,0.116517,1.003709,0.113727,0.514242,1.179746,0.077439,0.021610
0.020000,0.127272,1.003952,0.124484,0.537869,1.181340,0.079701,0.023571
0.020000,0.138499,1.004228,0.135715,0.561530,1.183083,0.087122,0.025602
0.020000,0.150200,1.004540,0.147419,0.585227,1.184856,0.088688,0.027700
0.020000,0.162374,1.004891,0.159599,0.608961,1.186678,0.091075,0.029863
0.020000,0.175022,1.005283,0.172253,0.632734,1.188634,0.097794,0.032091
0.020000,0.188146,1.005719,0.185384,0.656547,1.190656,0.101107,0.034379
0.020000,0.201745,1.006203,0.198992,0.680401,1.192721,0.103257,0.036727
0.020000,0.215821,1.006737,0.213078,0.704298,1.194858,0.106834,0.039130
0.020000,0.230374,1.007325,0.227643,0.728241,1.197111,0.112676,0.041588
0.020000,0.245405,1.007969,0.242688,0.752229,1.199399,0.114406,0.044097
0.020000,0.260914,1.008673,0.258213,0.776265,1.201809,0.120496,0.046655
0.020000,0.276903,1.009441,0.274220,0.800351,1.204301,0.124565,0.049259
0.020000,0.293371,1.010275,0.290710,0.824486,1.206767,0.123327,0.051905
0.020000,0.310321,1.011178,0.307683,0.848675,1.209422,0.132769,0.054592
0.020000,0.327752,1.012154,0.325141,0.872915,1.212044,0.131065,0.057316
0.020000,0.345665,1.013207,0.343086,0.897213,1.214871,0.141341,0.060074
0.020000,0.364062,1.014339,0.361517,0.921566,1.217658,0.139380,0.062863
0.020000,0.382942,1.015555,0.380437,0.945977,1.220525,0.143358,0.065679
0.020000,0.402307,1.016856,0.399845,0.970446,1.223474,0.147434,0.068520
0.020000,0.422158,1.018247,0.419745,0.994976,1.226506,0.151585,0.071381
0.020000,0.442496,1.019731,0.440136,1.019569,1.229621,0.155787,0.074260
0.020000,0.463320,1.021310,0.461021,1.044225,1.232822,0.160016,0.077153
0.020000,0.484633,1.022989,0.482400,1.068945,1.235977,0.157765,0.080056
0.020000,0.506435,1.024770,0.504274,1.093730,1.239281,0.165206,0.082965
0.020000,0.528727,1.026657,0.526646,1.118583,1.242624,0.167149,0.085877
0.020000,0.551510,1.028652,0.549516,1.143505,1.246102,0.173907,0.088788
0.020000,0.574785,1.030758,0.572886,1.168494,1.249482,0.168962,0.091694
0.020000,0.598552,1.032978,0.596757,1.193555,1.253010,0.176420,0.094591
0.020000,0.622814,1.035316,0.621131,1.218688,1.256650,0.181994,0.097475
0.020000,0.647570,1.037772,0.646009,1.243893,1.260295,0.182273,0.100342
0.020000,0.672822,1.040351,0.671392,1.269171,1.263880,0.179248,0.103188
0.020000,0.698571,1.043054,0.697283,1.294526,1.267736,0.192794,0.106008
0.020000,0.724818,1.045885,0.723682,1.319958,1.271604,0.193414,0.108798
