dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.003125,0.646868,0.000125,0.012451,0.622532,31.126607,6.282274
0.020000,0.003125,0.646868,0.000623,0.037352,1.245064,31.126607,6.282367
0.020000,0.003125,0.646868,0.001619,0.062253,1.245064,0.000000,6.282552
0.020000,0.003125,0.646868,0.003113,0.087155,1.245064,0.000000,6.282829
0.020000,0.003191,0.646868,0.005105,0.112056,1.245064,-0.000000,0.000012
0.020000,0.005681,0.646868,0.007595,0.136957,1.245064,0.000000,0.000473
0.020000,0.008669,0.646871,0.010583,0.161858,1.245064,-0.000000,0.001025
0.020000,0.012155,0.646875,0.014069,0.186760,1.245064,-0.000000,0.001667
0.020000,0.016139,0.646883,0.018053,0.211661,1.245064,0.000000,0.002400
0.020000,0.020622,0.646896,0.022536,0.236562,1.245064,-0.000000,0.003222
0.020000,0.025602,0.646914,0.027516,0.261464,1.245064,0.000000,0.004133
0.020000,0.031080,0.646940,0.032994,0.286365,1.245064,-0.000000,0.005132
0.020000,0.037056,0.646974,0.038971,0.311266,1.245064,0.000000,0.006218
0.020000,0.043530,0.647018,0.045445,0.336167,1.245064,0.000000,0.007390
0.020000,0.050503,0.647074,0.052417,0.361069,1.245064,-0.000000,0.008647
0.020000,0.057973,0.647143,0.059888,0.385970,1.245064,0.000000,0.009988
0.020000,0.065941,0.647228,0.067856,0.410871,1.245064,0.000000,0.011412
0.020000,0.074406,0.647331,0.076322,0.435773,1.245064,-0.000000,0.012917
0.020000,0.083370,0.647454,0.085287,0.460674,1.245064,0.000000,0.014502
0.020000,0.092831,0.647599,0.094749,0.485575,1.245064,0.000000,0.016166
0.020000,0.102790,0.647769,0.104710,0.510476,1.245064,0.000000,0.017906
0.020000,0.113247,0.647966,0.115168,0.535378,1.245064,-0.000000,0.019721
0.020000,0.124201,0.648192,0.126125,0.560279,1.245064,0.000000,0.021610
0.020000,0.135653,0.648451,0.137580,0.585180,1.245064,0.000000,0.023571
0.020000,0.147602,0.648745,0.149532,0.610082,1.245064,-0.000000,0.025602
0.020000,0.160048,0.649077,0.161983,0.634983,1.245064,0.000000,0.027700
0.020000,0.172992,0.649449,0.174932,0.659884,1.245064,0.000000,0.029863
0.020000,0.186432,0.649866,0.188378,0.684785,1.245064,0.000000,0.032091
0.020000,0.200369,0.650329,0.202323,0.709687,1.245064,-0.000000,0.034379
0.020000,0.214802,0.650843,0.216766,0.734588,1.245064,0.000000,0.036727
0.020000,0.229732,0.651409,0.231706,0.759489,1.245064,0.000000,0.039130
0.020000,0.245159,0.652032,0.247145,0.784391,1.245064,0.000000,0.041588
0.020000,0.261081,0.652715,0.263082,0.809292,1.245064,0.000000,0.044097
0.020000,0.277499,0.653460,0.279517,0.834193,1.245064,0.000000,0.046655
0.020000,0.294412,0.654272,0.296450,0.859094,1.245064,0.000000,0.049259
0.020000,0.311821,0.655153,0.313881,0.883996,1.245064,-0.000000,0.051905
0.020000,0.329724,0.656108,0.331810,0.908897,1.245064,0.000000,0.054592
0.020000,0.348122,0.657138,0.350237,0.933798,1.245064,0.000000,0.057316
0.020000,0.367015,0.658249,0.369162,0.958700,1.245064,0.000000,0.060074
0.020000,0.386401,0.659442,0.388585,0.983601,1.245064,0.000000,0.062863
0.020000,0.406281,0.660721,0.408506,1.008502,1.245064,-0.000000,0.065679
0.020000,0.426654,0.662090,0.428925,1.033403,1.245064,0.000000,0.068520
0.020000,0.447520,0.663553,0.449842,1.058305,1.245064,0.000000,0.071381
0.020000,0.468878,0.665111,0.471257,1.083206,1.245064,-0.000000,0.074260
0.020000,0.490729,0.666768,0.493170,1.108107,1.245064,0.000000,0.077153
0.020000,0.513071,0.668528,0.515581,1.133009,1.245064,-0.000000,0.080056
0.020000,0.535904,0.670393,0.538490,1.157910,1.245064,0.000000,0.082965
0.020000,0.559227,0.672367,0.561898,1.182811,1.245064,-0.000000,0.085877
0.020000,0.583042,0.674452,0.585803,1.207712,1.245064,0.000000,0.088788
0.020000,0.607346,0.676652,0.610206,1.232614,1.245064,0.000000,0.091694
0.020000,0.632139,0.678968,0.635107,1.257515,1.245064,-0.000000,0.094591
0.020000,0.657421,0.681404,0.660507,1.282416,1.245064,0.000000,0.097475
0.020000,0.683192,0.683961,0.686404,1.307318,1.245064,0.000000,0.100342
0.020000,0.709451,0.686643,0.712799,1.332219,1.245064,-0.000000,0.103188
0.020000,0.736197,0.689451,0.739693,1.357120,1.245064,0.000000,0.106008
0.020000,0.763431,0.692387,0.767084,1.382021,1.245064,-0.000000,0.108798
0.020000,0.791151,0.695454,0.794974,1.406923,1.245064,0.000000,0.111555
0.020000,0.819358,0.698653,0.823361,1.431824,1.245064,-0.000000,0.114272
0.020000,0.848050,0.701985,0.852247,1.456725,1.245064,0.000000,0.116947
0.020000,0.877228,0.705452,0.881630,1.481627,1.245064,-0.000000,0.119575
0.020000,0.906892,0.709055,0.911512,1.506528,1.245064,0.000000,0.122150
0.020000,0.937040,0.712795,0.941891,1.531429,1.245064,-0.000000,0.124669
0.020000,0.967674,0.716672,0.972769,1.556330,1.245064,0.000000,0.127126
0.020000,0.998791,0.720688,1.004144,1.581232,1.245064,0.000000,0.129518
0.020000,1.030393,0.724841,1.036018,1.606133,1.245064,-0.000000,0.131838
