dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.002802,0.291268,0.000130,0.012954,0.647719,32.385972,6.282278
0.020000,0.002837,0.291268,0.000164,0.001740,-0.560733,-60.422615,6.282376
0.020000,0.002907,0.291268,0.000234,0.003478,0.086906,32.381924,6.282571
0.020000,0.003011,0.291268,0.000338,0.005213,0.086744,-0.008098,6.282864
0.020000,0.003519,0.291268,0.000846,0.025414,1.010056,46.165595,0.000070
0.020000,0.006283,0.291269,0.003611,0.138210,5.639819,231.488187,0.000557
0.020000,0.009600,0.291271,0.006927,0.165834,1.381205,-212.930698,0.001141
0.020000,0.013469,0.291277,0.010796,0.193449,1.380724,-0.024048,0.001821
0.020000,0.017890,0.291287,0.015217,0.221052,1.380159,-0.028260,0.002596
0.020000,0.022863,0.291302,0.020190,0.248642,1.379505,-0.032729,0.003466
0.020000,0.028387,0.291324,0.025715,0.276218,1.378774,-0.036539,0.004429
0.020000,0.034463,0.291354,0.031790,0.303777,1.377960,-0.040669,0.005485
0.020000,0.041089,0.291394,0.038416,0.331318,1.377059,-0.045051,0.006633
0.020000,0.048265,0.291446,0.045593,0.358840,1.376081,-0.048917,0.007872
0.020000,0.055992,0.291512,0.053320,0.386340,1.375025,-0.052783,0.009200
0.020000,0.064268,0.291594,0.061596,0.413817,1.373857,-0.058428,0.010617
0.020000,0.073093,0.291694,0.070422,0.441270,1.372646,-0.060537,0.012120
0.020000,0.082466,0.291815,0.079796,0.468697,1.371329,-0.065841,0.013709
0.020000,0.092387,0.291960,0.089718,0.496095,1.369916,-0.070654,0.015381
0.020000,0.102855,0.292130,0.100187,0.523464,1.368434,-0.074119,0.017136
0.020000,0.113869,0.292329,0.111203,0.550801,1.366866,-0.078404,0.018971
0.020000,0.125429,0.292559,0.122765,0.578105,1.365194,-0.083579,0.020884
0.020000,0.137533,0.292824,0.134872,0.605374,1.363473,-0.086080,0.022874
0.020000,0.150182,0.293127,0.147525,0.632608,1.361670,-0.090142,0.024939
0.020000,0.163373,0.293470,0.160721,0.659801,1.359674,-0.099768,0.027076
0.020000,0.177107,0.293857,0.174460,0.686957,1.357773,-0.095044,0.029282
0.020000,0.191382,0.294291,0.188741,0.714069,1.355612,-0.108064,0.031557
0.020000,0.206197,0.294776,0.203564,0.741138,1.353463,-0.107441,0.033897
0.020000,0.221550,0.295316,0.218927,0.768163,1.351223,-0.112040,0.036299
0.020000,0.237442,0.295912,0.234830,0.795140,1.348875,-0.117358,0.038762
0.020000,0.253870,0.296570,0.251271,0.822069,1.346454,-0.121060,0.041282
0.020000,0.270834,0.297293,0.268250,0.848948,1.343954,-0.125001,0.043857
0.020000,0.288331,0.298084,0.285766,0.875774,1.341261,-0.134657,0.046483
0.020000,0.306362,0.298947,0.303817,0.902548,1.338724,-0.126838,0.049158
0.020000,0.324923,0.299885,0.322402,0.929265,1.335853,-0.143548,0.051878
0.020000,0.344015,0.300903,0.341521,0.955928,1.333122,-0.136589,0.054641
0.020000,0.363634,0.302004,0.361171,0.982529,1.330061,-0.153013,0.057442
0.020000,0.383781,0.303191,0.381353,1.009071,1.327127,-0.146696,0.060280
0.020000,0.404453,0.304468,0.402064,1.035552,1.324053,-0.153703,0.063149
0.020000,0.425648,0.305840,0.423303,1.061970,1.320888,-0.158262,0.066047
0.020000,0.447365,0.307308,0.445070,1.088323,1.317664,-0.161199,0.068970
0.020000,0.469601,0.308877,0.467362,1.114608,1.314243,-0.171031,0.071914
0.020000,0.492357,0.310550,0.490178,1.140827,1.310950,-0.164656,0.074876
0.020000,0.515628,0.312331,0.513518,1.166978,1.307520,-0.171497,0.077851
0.020000,0.539414,0.314222,0.537379,1.193055,1.303862,-0.182914,0.080836
0.020000,0.563713,0.316228,0.561760,1.219062,1.300336,-0.176320,0.083827
0.020000,0.588522,0.318350,0.586660,1.244995,1.296683,-0.182647,0.086818
0.020000,0.613840,0.320591,0.612077,1.270853,1.292900,-0.189126,0.089807
0.020000,0.639665,0.322956,0.638010,1.296635,1.289071,-0.191471,0.092789
0.020000,0.665994,0.325446,0.664457,1.322339,1.285198,-0.193664,0.095759
0.020000,0.692826,0.328063,0.691416,1.347964,1.281283,-0.195746,0.098713
0.020000,0.720158,0.330811,0.718886,1.373511,1.277327,-0.197757,0.101647
0.020000,0.747989,0.333690,0.746866,1.398974,1.273163,-0.208212,0.104556
