dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.003444,1.002468,0.000199,0.019936,0.996818,49.840914,6.282288
0.020000,0.003404,1.002468,0.000239,0.001974,-0.898135,-94.747675,6.282399
0.020000,0.003339,1.002468,0.000305,0.003288,0.065712,48.192348,6.282584
0.020000,0.003247,1.002468,0.000397,0.004600,0.065596,-0.005773,6.282843
0.020000,0.003129,1.002468,0.000515,0.005909,0.065435,-0.008084,6.283175
0.020000,0.005122,1.002468,0.002509,0.099694,4.689257,231.191139,0.000396
0.020000,0.007544,1.002470,0.004930,0.121074,1.069006,-181.012586,0.000874
0.020000,0.010338,1.002473,0.007724,0.139717,0.932152,-6.842694,0.001426
0.020000,0.013506,1.002478,0.010892,0.158367,0.932488,0.016802,0.002050
0.020000,0.017046,1.002487,0.014432,0.177024,0.932887,0.019940,0.002745
0.020000,0.020960,1.002499,0.018346,0.195691,0.933328,0.022057,0.003513
0.020000,0.025247,1.002516,0.022633,0.214367,0.933812,0.024220,0.004351
0.020000,0.029908,1.002538,0.027295,0.233054,0.934347,0.026756,0.005259
0.020000,0.034943,1.002567,0.032330,0.251753,0.934929,0.029094,0.006237
0.020000,0.040352,1.002604,0.037739,0.270464,0.935559,0.031487,0.007284
0.020000,0.046136,1.002649,0.043523,0.289188,0.936232,0.033648,0.008399
0.020000,0.052294,1.002705,0.049681,0.307928,0.936954,0.036129,0.009581
0.020000,0.058827,1.002771,0.056215,0.326682,0.937736,0.039078,0.010830
0.020000,0.065736,1.002851,0.063124,0.345453,0.938543,0.040371,0.012145
0.020000,0.073020,1.002944,0.070409,0.364242,0.939422,0.043948,0.013523
0.020000,0.080680,1.003053,0.078070,0.383048,0.940324,0.045096,0.014966
0.020000,0.088717,1.003180,0.086107,0.401874,0.941311,0.049325,0.016471
0.020000,0.097130,1.003325,0.094522,0.420720,0.942309,0.049906,0.018037
0.020000,0.105920,1.003491,0.103313,0.439588,0.943361,0.052595,0.019663
0.020000,0.115088,1.003679,0.112483,0.458477,0.944488,0.056368,0.021349
0.020000,0.124633,1.003891,0.122031,0.477390,0.945647,0.057928,0.023092
0.020000,0.134557,1.004129,0.131957,0.496327,0.946857,0.060521,0.024891
0.020000,0.144859,1.004395,0.142263,0.515290,0.948117,0.063006,0.026744
0.020000,0.155541,1.004691,0.152949,0.534277,0.949381,0.063210,0.028651
0.020000,0.166602,1.005019,0.164014,0.553293,0.950787,0.070279,0.030610
0.020000,0.178043,1.005381,0.175461,0.572337,0.952212,0.071251,0.032619
0.020000,0.189864,1.005778,0.187289,0.591409,0.953565,0.067671,0.034677
0.020000,0.202067,1.006215,0.199500,0.610513,0.955192,0.081336,0.036782
0.020000,0.214651,1.006691,0.212092,0.629645,0.956635,0.072148,0.038931
0.020000,0.227617,1.007211,0.225069,0.648811,0.958292,0.082849,0.041125
0.020000,0.240965,1.007775,0.238429,0.668010,0.959947,0.082766,0.043359
0.020000,0.254696,1.008386,0.252174,0.687243,0.961628,0.084029,0.045633
0.020000,0.268811,1.009047,0.266304,0.706510,0.963361,0.086627,0.047945
0.020000,0.283310,1.009760,0.280820,0.725813,0.965147,0.089299,0.050293
0.020000,0.298193,1.010527,0.295723,0.745153,0.966987,0.092038,0.052673
0.020000,0.313461,1.011350,0.311014,0.764530,0.968884,0.094833,0.055086
0.020000,0.329115,1.012233,0.326693,0.783947,0.970837,0.097675,0.057527
0.020000,0.345156,1.013176,0.342761,0.803403,0.972791,0.097675,0.059996
0.020000,0.361583,1.014184,0.359219,0.822898,0.974755,0.098177,0.062490
0.020000,0.378397,1.015257,0.376068,0.842437,0.976958,0.110160,0.065005
0.020000,0.395600,1.016399,0.393308,0.862015,0.978898,0.096996,0.067541
0.020000,0.413191,1.017612,0.410941,0.881639,0.981182,0.114200,0.070095
0.020000,0.431171,1.018897,0.428967,0.901306,0.983378,0.109823,0.072664
0.020000,0.449541,1.020258,0.447387,0.921017,0.985537,0.107940,0.075245
0.020000,0.468301,1.021697,0.466203,0.940774,0.987839,0.115093,0.077836
0.020000,0.487453,1.023216,0.485414,0.960578,0.990198,0.117940,0.080435
0.020000,0.506996,1.024817,0.505023,0.980429,0.992559,0.118078,0.083039
0.020000,0.526931,1.026502,0.525029,1.000328,0.994966,0.120350,0.085645
0.020000,0.547260,1.028275,0.545435,1.020274,0.997303,0.116833,0.088250
0.020000,0.567982,1.030135,0.566240,1.040272,0.999895,0.129631,0.090852
0.020000,0.589098,1.032087,0.587447,1.060321,1.002458,0.128134,0.093447
0.020000,0.610610,1.034131,0.609055,1.080418,1.004845,0.119329,0.096034
0.020000,0.632517,1.036270,0.631066,1.100570,1.007613,0.138426,0.098608
0.020000,0.654821,1.038505,0.653482,1.120772,1.010069,0.122780,0.101167
