dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.003125,0.646868,0.000199,0.019936,0.996818,49.840914,6.282288
0.020000,0.003125,0.646868,0.000797,0.039873,0.996818,0.000000,6.282399
0.020000,0.003125,0.646868,0.001794,0.059809,0.996818,0.000000,6.282584
0.020000,0.003125,0.646868,0.003190,0.079745,0.996818,0.000000,6.282843
0.020000,0.003125,0.646868,0.004984,0.099682,0.996818,0.000000,6.283175
0.020000,0.005263,0.646868,0.007177,0.119618,0.996818,-0.000000,0.000396
0.020000,0.007855,0.646870,0.009769,0.139555,0.996818,0.000000,0.000874
0.020000,0.010845,0.646873,0.012759,0.159491,0.996818,-0.000000,0.001426
0.020000,0.014234,0.646879,0.016148,0.179427,0.996818,0.000000,0.002050
0.020000,0.018022,0.646888,0.019936,0.199364,0.996818,0.000000,0.002745
0.020000,0.022209,0.646901,0.024123,0.219300,0.996818,-0.000000,0.003513
0.020000,0.026794,0.646919,0.028708,0.239236,0.996818,0.000000,0.004351
0.020000,0.031778,0.646943,0.033692,0.259173,0.996818,0.000000,0.005259
0.020000,0.037161,0.646974,0.039075,0.279109,0.996818,0.000000,0.006237
0.020000,0.042942,0.647013,0.044857,0.299045,0.996818,0.000000,0.007284
0.020000,0.049123,0.647062,0.051037,0.318982,0.996818,-0.000000,0.008399
0.020000,0.055701,0.647121,0.057616,0.338918,0.996818,0.000000,0.009581
0.020000,0.062679,0.647192,0.064594,0.358855,0.996818,-0.000000,0.010830
0.020000,0.070055,0.647277,0.071970,0.378791,0.996818,0.000000,0.012145
0.020000,0.077829,0.647377,0.079745,0.398727,0.996818,-0.000000,0.013523
0.020000,0.086002,0.647493,0.087919,0.418664,0.996818,0.000000,0.014966
0.020000,0.094574,0.647628,0.096492,0.438600,0.996818,-0.000000,0.016471
0.020000,0.103544,0.647783,0.105463,0.458536,0.996818,0.000000,0.018037
0.020000,0.112912,0.647959,0.114833,0.478473,0.996818,-0.000000,0.019663
0.020000,0.122679,0.648160,0.124602,0.498409,0.996818,0.000000,0.021349
0.020000,0.132844,0.648385,0.134770,0.518346,0.996818,-0.000000,0.023092
0.020000,0.143407,0.648639,0.145336,0.538282,0.996818,0.000000,0.024891
0.020000,0.154369,0.648922,0.156301,0.558218,0.996818,-0.000000,0.026744
0.020000,0.165728,0.649237,0.167665,0.578155,0.996818,0.000000,0.028651
0.020000,0.177485,0.649585,0.179427,0.598091,0.996818,0.000000,0.030610
0.020000,0.189640,0.649970,0.191588,0.618027,0.996818,-0.000000,0.032619
0.020000,0.202193,0.650392,0.204148,0.637964,0.996818,0.000000,0.034677
0.020000,0.215144,0.650855,0.217107,0.657900,0.996818,0.000000,0.036782
0.020000,0.228491,0.651361,0.230464,0.677836,0.996818,-0.000000,0.038931
0.020000,0.242236,0.651911,0.244220,0.697773,0.996818,0.000000,0.041125
0.020000,0.256379,0.652509,0.258375,0.717709,0.996818,0.000000,0.043359
0.020000,0.270918,0.653156,0.272929,0.737646,0.996818,0.000000,0.045633
0.020000,0.285854,0.653856,0.287881,0.757582,0.996818,0.000000,0.047945
0.020000,0.301186,0.654610,0.303232,0.777518,0.996818,-0.000000,0.050293
0.020000,0.316915,0.655420,0.318982,0.797455,0.996818,0.000000,0.052673
0.020000,0.333040,0.656290,0.335130,0.817391,0.996818,-0.000000,0.055086
0.020000,0.349561,0.657221,0.351677,0.837327,0.996818,0.000000,0.057527
0.020000,0.366478,0.658216,0.368623,0.857264,0.996818,-0.000000,0.059996
0.020000,0.383790,0.659278,0.385968,0.877200,0.996818,0.000000,0.062490
