dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.002806,0.291268,0.000199,0.019936,0.996818,49.840914,6.282288
0.020000,0.002845,0.291268,0.000239,0.001974,-0.898135,-94.747675,6.282399
0.020000,0.002911,0.291268,0.000305,0.003288,0.065712,48.192348,6.282584
0.020000,0.003003,0.291268,0.000397,0.004600,0.065596,-0.005773,6.282843
0.020000,0.003121,0.291268,0.000515,0.005909,0.065435,-0.008084,6.283175
0.020000,0.005404,0.291268,0.002797,0.114120,5.410563,267.256437,0.000396
0.020000,0.008166,0.291270,0.005559,0.138099,1.198951,-210.580631,0.000874
0.020000,0.011352,0.291274,0.008746,0.159329,1.061498,-6.872630,0.001426
0.020000,0.014963,0.291280,0.012357,0.180552,1.061139,-0.017966,0.002050
0.020000,0.018999,0.291290,0.016392,0.201767,1.060751,-0.019376,0.002745
0.020000,0.023458,0.291303,0.020852,0.222973,1.060312,-0.021965,0.003513
0.020000,0.028341,0.291323,0.025735,0.244169,1.059822,-0.024515,0.004351
0.020000,0.033648,0.291348,0.031042,0.265355,1.059289,-0.026656,0.005259
0.020000,0.039379,0.291381,0.036773,0.286529,1.058708,-0.029039,0.006237
0.020000,0.045533,0.291423,0.042926,0.307691,1.058080,-0.031378,0.007284
0.020000,0.052109,0.291474,0.049503,0.328839,1.057400,-0.033997,0.008399
0.020000,0.059108,0.291537,0.056503,0.349972,1.056675,-0.036270,0.009581
0.020000,0.066530,0.291613,0.063924,0.371091,1.055914,-0.038030,0.010830
0.020000,0.074373,0.291703,0.071768,0.392192,1.055081,-0.041687,0.012145
0.020000,0.082638,0.291809,0.080034,0.413277,1.054225,-0.042767,0.013523
0.020000,0.091324,0.291933,0.088721,0.434343,1.053293,-0.046621,0.014966
0.020000,0.100431,0.292076,0.097828,0.455390,1.052353,-0.046996,0.016471
0.020000,0.109957,0.292240,0.107357,0.476416,1.051322,-0.051521,0.018037
0.020000,0.119904,0.292428,0.117305,0.497421,1.050249,-0.053666,0.019663
0.020000,0.130270,0.292641,0.127673,0.518404,1.049157,-0.054598,0.021349
0.020000,0.141055,0.292880,0.138461,0.539364,1.047996,-0.058044,0.023092
0.020000,0.152257,0.293149,0.149667,0.560300,1.046790,-0.060325,0.024891
0.020000,0.163878,0.293449,0.161291,0.581211,1.045535,-0.062735,0.026744
0.020000,0.175915,0.293783,0.173333,0.602094,1.044181,-0.067715,0.028651
0.020000,0.188369,0.294152,0.185792,0.622952,1.042882,-0.064957,0.030610
0.020000,0.201238,0.294559,0.198667,0.643782,1.041500,-0.069073,0.032619
0.020000,0.214522,0.295006,0.211959,0.664581,1.039934,-0.078287,0.034677
0.020000,0.228220,0.295496,0.225666,0.685352,1.038572,-0.068107,0.036782
0.020000,0.242332,0.296030,0.239788,0.706090,1.036900,-0.083590,0.038931
0.020000,0.256856,0.296612,0.254324,0.726797,1.035366,-0.076720,0.041125
0.020000,0.271792,0.297243,0.269273,0.747472,1.033727,-0.081938,0.043359
0.020000,0.287139,0.297927,0.284635,0.768112,1.032015,-0.085610,0.045633
0.020000,0.302896,0.298664,0.300410,0.788717,1.030260,-0.087757,0.047945
0.020000,0.319063,0.299459,0.316595,0.809287,1.028464,-0.089788,0.050293
0.020000,0.335637,0.300313,0.333192,0.829819,1.026630,-0.091711,0.052673
0.020000,0.352619,0.301229,0.350198,0.850314,1.024759,-0.093531,0.055086
0.020000,0.370006,0.302209,0.367614,0.870771,1.022854,-0.095258,0.057527
0.020000,0.387799,0.303256,0.385437,0.891189,1.020852,-0.100091,0.059996
0.020000,0.405996,0.304372,0.403669,0.911564,1.018766,-0.104299,0.062490
0.020000,0.424597,0.305559,0.422307,0.931901,1.016852,-0.095746,0.065005
0.020000,0.443599,0.306821,0.441350,0.952192,1.014552,-0.114969,0.067541
0.020000,0.463001,0.308158,0.460799,0.972443,1.012541,-0.100536,0.070095
0.020000,0.482804,0.309574,0.480652,0.992650,1.010343,-0.109912,0.072664
0.020000,0.503005,0.311071,0.500909,1.012810,1.008015,-0.116427,0.075245
0.020000,0.523603,0.312650,0.521567,1.032925,1.005756,-0.112925,0.077836
0.020000,0.544597,0.314315,0.542627,1.052995,1.003474,-0.114115,0.080435
0.020000,0.565985,0.316068,0.564087,1.073017,1.001110,-0.118203,0.083039
0.020000,0.587768,0.317909,0.585947,1.092991,0.998712,-0.119872,0.085645
0.020000,0.609942,0.319842,0.608205,1.112914,0.996157,-0.127782,0.088250
0.020000,0.632507,0.321868,0.630861,1.132790,0.993800,-0.117819,0.090852
0.020000,0.655461,0.323990,0.653914,1.152617,0.991332,-0.123412,0.093447
0.020000,0.678804,0.326208,0.677361,1.172389,0.988596,-0.136827,0.096034
0.020000,0.702533,0.328525,0.701204,1.192113,0.986198,-0.119877,0.098608
0.020000,0.726648,0.330942,0.725439,1.211780,0.983387,-0.140560,0.101167
0.020000,0.751147,0.333460,0.750067,1.231399,0.980908,-0.123950,0.103708
0.020000,0.776028,0.336082,0.775086,1.250961,0.978117,-0.139552,0.106229
0.020000,0.801291,0.338808,0.800496,1.270467,0.975323,-0.139665,0.108725
0.020000,0.826934,0.341639,0.826294,1.289920,0.972657,-0.133330,0.111194
0.020000,0.852955,0.344576,0.852480,1.309317,0.969847,-0.140508,0.113632
0.020000,0.879353,0.347621,0.879054,1.328658,0.967016,-0.141523,0.116038
0.020000,0.906127,0.350774,0.906012,1.347941,0.964165,-0.142545,0.118406
0.020000,0.933275,0.354036,0.933356,1.367165,0.961199,-0.148325,0.120734
0.020000,0.960796,0.357407,0.961082,1.386331,0.958294,-0.145232,0.123019
0.020000,0.988688,0.360888,0.989191,1.405440,0.955439,-0.142766,0.125258
0.020000,1.016951,0.364478,1.017681,1.424486,0.952319,-0.156000,0.127446
0.020000,1.045582,0.368178,1.046550,1.443474,0.949386,-0.146638,0.129581
0.020000,1.074581,0.371988,1.075798,1.462399,0.946246,-0.157010,0.131659
0.020000,1.103946,0.375907,1.105424,1.481264,0.943276,-0.148496,0.133677
0.020000,1.133675,0.379935,1.135425,1.500065,0.940043,-0.161629,0.135631
0.020000,1.163769,0.384071,1.165801,1.518803,0.936898,-0.157290,0.137518
0.020000,1.194224,0.388314,1.196550,1.537478,0.933756,-0.157091,0.139333
0.020000,1.225040,0.392663,1.227672,1.556089,0.930518,-0.161883,0.141074
0.020000,1.256216,0.397118,1.259165,1.574634,0.927254,-0.163206,0.142737
0.020000,1.287751,0.401675,1.291027,1.593113,0.923960,-0.164685,0.144318
0.020000,1.319643,0.406335,1.323258,1.611525,0.920589,-0.168575,0.145813
0.020000,1.351891,0.411094,1.355855,1.629868,0.917195,-0.169710,0.147219
0.020000,1.384494,0.415951,1.388818,1.648146,0.913852,-0.167110,0.148531
0.020000,1.417451,0.420903,1.422145,1.666352,0.910323,-0.176495,0.149746
0.020000,1.450761,0.425948,1.455835,1.684489,0.906839,-0.174160,0.150860
0.020000,1.484423,0.431083,1.489886,1.702554,0.903261,-0.178910,0.151868
0.020000,1.518435,0.436304,1.524297,1.720548,0.899698,-0.178134,0.152767
0.020000,1.552798,0.441609,1.559066,1.738468,0.895986,-0.185633,0.153553
0.020000,1.587509,0.446994,1.594192,1.756314,0.892296,-0.184500,0.154221
0.020000,1.622568,0.452454,1.629674,1.774084,0.888539,-0.187841,0.154768
