dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.002801,8.002600,0.000125,0.012451,0.622534,31.126685,0.000912
0.020000,0.002834,8.002600,0.000157,0.001645,-0.540308,-58.142082,0.000819
0.020000,0.002899,8.002600,0.000223,0.003288,0.082154,31.123082,0.000634
0.020000,0.002998,8.002600,0.000322,0.004928,0.082010,-0.007207,0.000357
0.020000,0.003195,8.002600,0.000519,0.009854,0.246328,8.215920,6.283173
0.020000,0.005849,8.002599,0.003173,0.132701,6.142312,294.799227,6.282712
0.020000,0.009034,8.002597,0.006357,0.159225,1.326203,-240.805490,6.282160
0.020000,0.012748,8.002592,0.010072,0.185740,1.325785,-0.020897,6.281517
0.020000,0.016993,8.002583,0.014317,0.212246,1.325273,-0.025594,6.280784
0.020000,0.021768,8.002570,0.019092,0.238740,1.324694,-0.028924,6.279961
0.020000,0.027072,8.002550,0.024396,0.265221,1.324044,-0.032508,6.279050
0.020000,0.032906,8.002523,0.030230,0.291687,1.323320,-0.036230,6.278050
0.020000,0.039269,8.002487,0.036593,0.318137,1.322522,-0.039882,6.276964
0.020000,0.046160,8.002440,0.043484,0.344570,1.321652,-0.043497,6.275791
0.020000,0.053579,8.002381,0.050904,0.370984,1.320695,-0.047857,6.274533
0.020000,0.061527,8.002307,0.058851,0.397378,1.319692,-0.050155,6.273191
0.020000,0.070001,8.002216,0.067326,0.423750,1.318576,-0.055774,6.271767
0.020000,0.079002,8.002106,0.076328,0.450098,1.317428,-0.057407,6.270261
0.020000,0.088530,8.001976,0.085857,0.476422,1.316169,-0.062946,6.268675
0.020000,0.098583,8.001821,0.095911,0.502718,1.314840,-0.066453,6.267010
0.020000,0.109161,8.001641,0.106491,0.528988,1.313457,-0.069161,6.265269
0.020000,0.120264,8.001432,0.117595,0.555227,1.311985,-0.073598,6.263452
0.020000,0.131890,8.001192,0.129224,0.581436,1.310436,-0.077438,6.261562
0.020000,0.144039,8.000917,0.141376,0.607612,1.308776,-0.082997,6.259600
0.020000,0.156711,8.000605,0.154051,0.633754,1.307121,-0.082761,6.257569
0.020000,0.169903,8.000253,0.167249,0.659861,1.305339,-0.089127,6.255469
0.020000,0.183616,7.999858,0.180967,0.685930,1.303447,-0.094559,6.253304
0.020000,0.197848,7.999417,0.195206,0.711961,1.301545,-0.095126,6.251076
0.020000,0.212599,7.998926,0.209966,0.737952,1.299555,-0.099505,6.248786
0.020000,0.227868,7.998383,0.225244,0.763901,1.297451,-0.105174,6.246437
0.020000,0.243652,7.997783,0.241040,0.789806,1.295267,-0.109209,6.244032
0.020000,0.259952,7.997125,0.257353,0.815667,1.293053,-0.110691,6.241573
0.020000,0.276767,7.996403,0.274183,0.841481,1.290719,-0.116713,6.239062
0.020000,0.294094,7.995616,0.291528,0.867249,1.288362,-0.117840,6.236503
0.020000,0.311932,7.994759,0.309387,0.892968,1.285939,-0.121167,6.233897
0.020000,0.330282,7.993830,0.327760,0.918634,1.283332,-0.130350,6.231249
0.020000,0.349140,7.992824,0.346645,0.944250,1.280781,-0.127538,6.228561
0.020000,0.368506,7.991739,0.366041,0.969811,1.278039,-0.137101,6.225835
0.020000,0.388378,7.990570,0.385947,0.995318,1.275375,-0.133224,6.223075
0.020000,0.408754,7.989315,0.406363,1.020768,1.272517,-0.142874,6.220285
0.020000,0.429634,7.987971,0.427286,1.046160,1.269601,-0.145816,6.217467
0.020000,0.451016,7.986533,0.448716,1.071493,1.266630,-0.148550,6.214624
0.020000,0.472898,7.984999,0.470651,1.096765,1.263608,-0.151099,6.211761
0.020000,0.495277,7.983365,0.493090,1.121976,1.260538,-0.153485,6.208880
0.020000,0.518154,7.981628,0.516033,1.147124,1.257424,-0.155732,6.205986
0.020000,0.541526,7.979786,0.539477,1.172207,1.254124,-0.164982,6.203081
0.020000,0.565391,7.977835,0.563422,1.197224,1.250856,-0.163402,6.200170
0.020000,0.589747,7.975773,0.587865,1.222174,1.247499,-0.167835,6.197256
0.020000,0.614593,7.973596,0.612806,1.247057,1.244163,-0.166787,6.194343
0.020000,0.639927,7.971302,0.638244,1.271869,1.240595,-0.178422,6.191435
0.020000,0.665746,7.968889,0.664176,1.296610,1.237066,-0.176439,6.188536
0.020000,0.692050,7.966353,0.690601,1.321281,1.233540,-0.176324,6.185650
0.020000,0.718836,7.963693,0.717519,1.345879,1.229901,-0.181915,6.182781
0.020000,0.746102,7.960907,0.744927,1.370401,1.226083,-0.190938,6.179933
0.020000,0.773846,7.957992,0.772824,1.394850,1.222445,-0.181865,6.177111
0.020000,0.802067,7.954948,0.801208,1.419224,1.218709,-0.186832,6.174319
0.020000,0.830762,7.951771,0.830079,1.443517,1.214634,-0.203717,6.171560
0.020000,0.859930,7.948461,0.859434,1.467736,1.210985,-0.182474,6.168840
0.020000,0.889568,7.945017,0.889271,1.491871,1.206752,-0.211645,6.166163
0.020000,0.919674,7.941437,0.919590,1.515930,1.202920,-0.191605,6.163534
0.020000,0.950247,7.937721,0.950388,1.539907,1.198835,-0.204246,6.160957
0.020000,0.981285,7.933869,0.981664,1.563801,1.194701,-0.206674,6.158436
0.020000,1.012786,7.929879,1.013416,1.587611,1.190537,-0.208216,6.155977
0.020000,1.044747,7.925752,1.045643,1.611338,1.186340,-0.209854,6.153583
0.020000,1.077167,7.921488,1.078342,1.634980,1.182107,-0.211631,6.151261
0.020000,1.110045,7.917087,1.111513,1.658533,1.177660,-0.222381,6.149014
0.020000,1.143378,7.912551,1.145153,1.682002,1.173438,-0.211104,6.146848
0.020000,1.177164,7.907880,1.179261,1.705381,1.168945,-0.224638,6.144767
0.020000,1.211402,7.903075,1.213834,1.728672,1.164558,-0.219365,6.142778
0.020000,1.246090,7.898138,1.248871,1.751869,1.159859,-0.234909,6.140883
0.020000,1.281226,7.893072,1.284371,1.774978,1.155407,-0.222624,6.139090
0.020000,1.316809,7.887878,1.320331,1.797992,1.150735,-0.233613,6.137403
0.020000,1.352836,7.882559,1.356749,1.820913,1.146016,-0.235935,6.135827
0.020000,1.389307,7.877117,1.393624,1.843738,1.141244,-0.238584,6.134369
0.020000,1.426220,7.871558,1.430953,1.866466,1.136412,-0.241601,6.133032
0.020000,1.463574,7.865883,1.468735,1.889094,1.131423,-0.249477,6.131823
