dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.003125,7.647000,0.000129,0.012950,0.647486,32.374284,0.000911
0.020000,0.003125,7.647000,0.000647,0.038849,1.294971,32.374284,0.000814
0.020000,0.003125,7.647000,0.001683,0.064749,1.294971,0.000000,0.000622
0.020000,0.003125,7.647000,0.003237,0.090648,1.294971,-0.000000,0.000334
0.020000,0.003395,7.647000,0.005309,0.116547,1.294971,0.000000,6.283135
0.020000,0.005985,7.646999,0.007899,0.142447,1.294971,-0.000000,6.282656
0.020000,0.009093,7.646997,0.011007,0.168346,1.294971,0.000000,6.282082
0.020000,0.012719,7.646991,0.014633,0.194246,1.294971,0.000000,6.281413
0.020000,0.016863,7.646983,0.018777,0.220145,1.294971,-0.000000,6.280651
0.020000,0.021525,7.646969,0.023439,0.246045,1.294971,0.000000,6.279796
0.020000,0.026705,7.646949,0.028619,0.271944,1.294971,0.000000,6.278848
0.020000,0.032403,7.646921,0.034317,0.297843,1.294971,-0.000000,6.277810
0.020000,0.038618,7.646884,0.040533,0.323743,1.294971,0.000000,6.276680
0.020000,0.045352,7.646836,0.047266,0.349642,1.294971,-0.000000,6.275462
0.020000,0.052604,7.646775,0.054518,0.375542,1.294971,0.000000,6.274155
0.020000,0.060373,7.646700,0.062288,0.401441,1.294971,0.000000,6.272761
0.020000,0.068660,7.646607,0.070576,0.427341,1.294971,-0.000000,6.271282
0.020000,0.077465,7.646496,0.079382,0.453240,1.294971,0.000000,6.269718
0.020000,0.086788,7.646362,0.088706,0.479139,1.294971,0.000000,6.268072
0.020000,0.096629,7.646205,0.098547,0.505039,1.294971,-0.000000,6.266345
0.020000,0.106987,7.646021,0.108907,0.530938,1.294971,0.000000,6.264539
0.020000,0.117863,7.645808,0.119785,0.556838,1.294971,0.000000,6.262654
0.020000,0.129256,7.645563,0.131181,0.582737,1.294971,-0.000000,6.260695
0.020000,0.141166,7.645283,0.143094,0.608637,1.294971,0.000000,6.258661
0.020000,0.153594,7.644965,0.155526,0.634536,1.294971,0.000000,6.256556
0.020000,0.166539,7.644606,0.168476,0.660435,1.294971,-0.000000,6.254382
0.020000,0.180000,7.644203,0.181943,0.686335,1.294971,0.000000,6.252140
0.020000,0.193979,7.643753,0.195929,0.712234,1.294971,0.000000,6.249833
0.020000,0.208474,7.643252,0.210433,0.738134,1.294971,0.000000,6.247464
0.020000,0.223485,7.642697,0.225455,0.764033,1.294971,-0.000000,6.245035
0.020000,0.239013,7.642085,0.240994,0.789933,1.294971,0.000000,6.242549
0.020000,0.255056,7.641413,0.257052,0.815832,1.294971,0.000000,6.240009
0.020000,0.271615,7.640676,0.273627,0.841731,1.294971,-0.000000,6.237416
0.020000,0.288690,7.639871,0.290721,0.867631,1.294971,0.000000,6.234775
0.020000,0.306280,7.638995,0.308333,0.893530,1.294971,0.000000,6.232088
0.020000,0.324385,7.638044,0.326462,0.919430,1.294971,-0.000000,6.229359
0.020000,0.343004,7.637015,0.345110,0.945329,1.294971,0.000000,6.226590
0.020000,0.362137,7.635904,0.364275,0.971229,1.294971,0.000000,6.223784
0.020000,0.381784,7.634708,0.383959,0.997128,1.294971,0.000000,6.220946
0.020000,0.401945,7.633422,0.404161,1.023027,1.294971,0.000000,6.218078
0.020000,0.422618,7.632044,0.424880,1.048927,1.294971,-0.000000,6.215184
0.020000,0.443805,7.630570,0.446118,1.074826,1.294971,0.000000,6.212267
0.020000,0.465503,7.628997,0.467873,1.100726,1.294971,0.000000,6.209332
0.020000,0.487714,7.627320,0.490147,1.126625,1.294971,0.000000,6.206382
0.020000,0.510435,7.625538,0.512938,1.152525,1.294971,-0.000000,6.203421
0.020000,0.533668,7.623646,0.536248,1.178424,1.294971,0.000000,6.200452
0.020000,0.557411,7.621641,0.560075,1.204323,1.294971,-0.000000,6.197480
0.020000,0.581664,7.619521,0.584421,1.230223,1.294971,0.000000,6.194509
0.020000,0.606426,7.617282,0.609284,1.256122,1.294971,0.000000,6.191543
0.020000,0.631698,7.614922,0.634665,1.282022,1.294971,-0.000000,6.188587
0.020000,0.657478,7.612438,0.660565,1.307921,1.294971,0.000000,6.185643
0.020000,0.683766,7.609826,0.686982,1.333821,1.294971,0.000000,6.182718
0.020000,0.710561,7.607086,0.713918,1.359720,1.294971,-0.000000,6.179814
0.020000,0.737864,7.604213,0.741371,1.385619,1.294971,0.000000,6.176938
0.020000,0.765673,7.601207,0.769342,1.411519,1.294971,-0.000000,6.174092
0.020000,0.793989,7.598066,0.797832,1.437418,1.294971,-0.000000,6.171283
0.020000,0.822810,7.594786,0.826839,1.463318,1.294971,0.000000,6.168513
0.020000,0.852137,7.591368,0.856365,1.489217,1.294971,-0.000000,6.165790
0.020000,0.881969,7.587809,0.886408,1.515117,1.294971,0.000000,6.163116
0.020000,0.912305,7.584108,0.916969,1.541016,1.294971,-0.000000,6.160497
0.020000,0.943146,7.580265,0.948049,1.566915,1.294971,0.000000,6.157937
0.020000,0.974491,7.576278,0.979646,1.592815,1.294971,-0.000000,6.155443
0.020000,1.006340,7.572148,1.011761,1.618714,1.294971,0.000000,6.153018
0.020000,1.038692,7.567874,1.044394,1.644614,1.294971,0.000000,6.150669
0.020000,1.071547,7.563456,1.077546,1.670513,1.294971,-0.000000,6.148399
0.020000,1.104906,7.558895,1.111215,1.696412,1.294971,0.000000,6.146215
0.020000,1.138768,7.554191,1.145402,1.722312,1.294971,-0.000000,6.144121
0.020000,1.173134,7.549346,1.180107,1.748211,1.294971,0.000000,6.142123
0.020000,1.208002,7.544360,1.215331,1.774111,1.294971,0.000000,6.140227
0.020000,1.243374,7.539236,1.251072,1.800010,1.294971,-0.000000,6.138438
0.020000,1.279250,7.533975,1.287331,1.825910,1.294971,0.000000,6.136761
0.020000,1.315629,7.528581,1.324108,1.851809,1.294971,-0.000000,6.135202
0.020000,1.352513,7.523055,1.361403,1.877708,1.294971,0.000000,6.133767
0.020000,1.389901,7.517401,1.399217,1.903608,1.294971,-0.000000,6.132461
0.020000,1.427794,7.511623,1.437548,1.929507,1.294971,0.000000,6.131291
0.020000,1.466193,7.505724,1.476397,1.955407,1.294971,0.000000,6.130263
0.020000,1.505098,7.499710,1.515764,1.981306,1.294971,-0.000000,6.129383
0.020000,1.544510,7.493585,1.555649,2.007206,1.294971,0.000000,6.128656
0.020000,1.584429,7.487354,1.596052,2.033105,1.294971,-0.000000,6.128089
0.020000,1.624858,7.481024,1.636973,2.059004,1.294971,0.000000,6.127689
0.020000,1.665796,7.474601,1.678412,2.084904,1.294971,0.000000,6.127462
0.020000,1.707245,7.468092,1.720369,2.110803,1.294971,-0.000000,6.127415
0.020000,1.749206,7.461505,1.762845,2.136703,1.294971,0.000000,6.127554
0.020000,1.791681,7.454847,1.805838,2.162602,1.294971,0.000000,6.127887
0.020000,1.834670,7.448128,1.849349,2.188502,1.294971,0.000000,6.128420
0.020000,1.878175,7.441356,1.893378,2.214401,1.294971,0.000000,6.129161
0.020000,1.922198,7.434542,1.937925,2.240300,1.294971,-0.000000,6.130118
0.020000,1.966740,7.427697,1.982990,2.266200,1.294971,0.000000,6.131297
0.020000,2.011803,7.420831,2.028573,2.292099,1.294971,0.000000,6.132706
0.020000,2.057388,7.413956,2.074674,2.317999,1.294971,0.000000,6.134354
0.020000,2.103498,7.407086,2.121293,2.343898,1.294971,-0.000000,6.136248
0.020000,2.150135,7.400234,2.168430,2.369798,1.294971,-0.000000,6.138397
0.020000,2.197299,7.393414,2.216085,2.395697,1.294971,0.000000,6.140808
0.020000,2.244994,7.386642,2.264257,2.421596,1.294971,-0.000000,6.143492
0.020000,2.293220,7.379932,2.312948,2.447496,1.294971,0.000000,6.146456
0.020000,2.341980,7.373303,2.362157,2.473395,1.294971,0.000000,6.149709
0.020000,2.391276,7.366772,2.411884,2.499295,1.294971,0.000000,6.153262
0.020000,2.441110,7.360358,2.462129,2.525194,1.294971,0.000000,6.157122
0.020000,2.491483,7.354079,2.512892,2.551094,1.294971,-0.000000,6.161300
0.020000,2.542230,7.347978,2.564005,2.560163,0.453489,-42.074135,6.165791
0.020000,2.592928,7.342120,2.615039,2.543334,-0.841483,-64.748569,6.170559
0.020000,2.643229,7.336557,2.665647,2.517434,-1.294971,-22.674434,6.175570
0.020000,2.693043,7.331306,2.715737,2.491535,-1.294971,0.000000,6.180808
0.020000,2.742368,7.326373,2.765309,2.465635,-1.294971,0.000000,6.186264
0.020000,2.791205,7.321764,2.814362,2.439736,-1.294971,0.000000,6.191932
0.020000,2.839551,7.317482,2.862898,2.413837,-1.294971,-0.000000,6.197804
0.020000,2.887406,7.313531,2.910916,2.387937,-1.294971,0.000000,6.203872
0.020000,2.934768,7.309915,2.958415,2.362038,-1.294971,-0.000000,6.210127
0.020000,2.981635,7.306635,3.005397,2.336138,-1.294971,0.000000,6.216564
0.020000,3.028005,7.303694,3.051861,2.310239,-1.294971,0.000000,6.223172
0.020000,3.073877,7.301093,3.097807,2.284339,-1.294971,0.000000,6.229945
0.020000,3.119249,7.298832,3.143235,2.258440,-1.294971,0.000000,6.236874
0.020000,3.164117,7.296911,3.188144,2.232541,-1.294971,-0.000000,6.243951
0.020000,3.208481,7.295329,3.232536,2.206641,-1.294971,0.000000,6.251168
0.020000,3.252337,7.294085,3.276410,2.180742,-1.294971,0.000000,6.258517
0.020000,3.295683,7.293177,3.319766,2.154842,-1.294971,0.000000,6.265988
0.020000,3.338517,7.292602,3.362604,2.128943,-1.294971,0.000000,6.273574
0.020000,3.380836,7.292357,3.404924,2.103043,-1.294971,-0.000000,6.281267
0.020000,3.422638,7.292439,3.446725,2.077144,-1.294971,0.000000,0.005871
0.020000,3.463920,7.292843,3.488009,2.051245,-1.294971,-0.000000,0.013750
0.020000,3.504679,7.293565,3.528775,2.025345,-1.294971,0.000000,0.021709
0.020000,3.544914,7.294600,3.569023,1.999446,-1.294971,0.000000,0.029740
0.020000,3.584621,7.295942,3.608753,1.973546,-1.294971,-0.000000,0.037835
0.020000,3.623798,7.297584,3.647965,1.947647,-1.294971,0.000000,0.045984
0.020000,3.662443,7.299521,3.686659,1.921747,-1.294971,-0.000000,0.054179
0.020000,3.700554,7.301744,3.724835,1.895848,-1.294971,0.000000,0.062412
0.020000,3.738129,7.304248,3.762493,1.869949,-1.294971,0.000000,0.070675
0.020000,3.775165,7.307024,3.799633,1.844049,-1.294971,-0.000000,0.078959
0.020000,3.811660,7.310063,3.836255,1.818150,-1.294971,0.000000,0.087255
0.020000,3.847614,7.313358,3.872359,1.792250,-1.294971,-0.000000,0.095557
0.020000,3.883023,7.316900,3.907945,1.766351,-1.294971,0.000000,0.103856
0.020000,3.917887,7.320680,3.943013,1.740451,-1.294971,-0.000000,0.112144
0.020000,3.952203,7.324688,3.977563,1.714552,-1.294971,0.000000,0.120413
0.020000,3.985972,7.328915,4.011595,1.688653,-1.294971,0.000000,0.128657
0.020000,4.019191,7.333351,4.045109,1.662753,-1.294971,-0.000000,0.136868
0.020000,4.051859,7.337986,4.078105,1.636854,-1.294971,0.000000,0.145039
0.020000,4.083977,7.342811,4.110583,1.610954,-1.294971,-0.000000,0.153163
0.020000,4.115543,7.347814,4.142543,1.585055,-1.294971,0.000000,0.161233
0.020000,4.146557,7.352986,4.173985,1.559155,-1.294971,0.000000,0.169244
0.020000,4.177018,7.358315,4.204910,1.533256,-1.294971,-0.000000,0.177188
0.020000,4.206927,7.363792,4.235316,1.507357,-1.294971,0.000000,0.185061
0.020000,4.236283,7.369406,4.265204,1.481457,-1.294971,-0.000000,0.192857
0.020000,4.265087,7.375146,4.294574,1.455558,-1.294971,0.000000,0.200569
0.020000,4.293338,7.381002,4.323426,1.429658,-1.294971,-0.000000,0.208194
0.020000,4.321038,7.386963,4.351760,1.403759,-1.294971,0.000000,0.215726
0.020000,4.348187,7.393018,4.379576,1.377859,-1.294971,0.000000,0.223160
0.020000,4.374786,7.399157,4.406875,1.351960,-1.294971,-0.000000,0.230492
0.020000,4.400836,7.405369,4.433655,1.326061,-1.294971,0.000000,0.237719
0.020000,4.426337,7.411644,4.459917,1.300161,-1.294971,-0.000000,0.244836
0.020000,4.451292,7.417972,4.485661,1.274262,-1.294971,0.000000,0.251839
0.020000,4.475700,7.424342,4.510888,1.248362,-1.294971,0.000000,0.258725
0.020000,4.499564,7.430744,4.535596,1.222463,-1.294971,-0.000000,0.265492
0.020000,4.522886,7.437169,4.559786,1.196563,-1.294971,0.000000,0.272135
0.020000,4.545666,7.443606,4.583458,1.170664,-1.294971,0.000000,0.278653
0.020000,4.567907,7.450046,4.606613,1.144765,-1.294971,0.000000,0.285042
0.020000,4.589610,7.456479,4.629249,1.118865,-1.294971,-0.000000,0.291302
0.020000,4.610777,7.462896,4.651367,1.092966,-1.294971,0.000000,0.297428
0.020000,4.631409,7.469288,4.672968,1.067066,-1.294971,-0.000000,0.303420
0.020000,4.651510,7.475646,4.694050,1.041167,-1.294971,0.000000,0.309276
0.020000,4.671081,7.481961,4.714614,1.015268,-1.294971,0.000000,0.314995
0.020000,4.690123,7.488225,4.734661,0.989368,-1.294971,-0.000000,0.320574
0.020000,4.708640,7.494429,4.754189,0.963469,-1.294971,0.000000,0.326013
0.020000,4.726633,7.500565,4.773199,0.937569,-1.294971,0.000000,0.331310
0.020000,4.744104,7.506625,4.791692,0.911670,-1.294971,0.000000,0.336465
0.020000,4.761056,7.512602,4.809666,0.885770,-1.294971,0.000000,0.341477
0.020000,4.777490,7.518488,4.827123,0.859871,-1.294971,-0.000000,0.346345
0.020000,4.793409,7.524275,4.844061,0.833972,-1.294971,0.000000,0.351069
0.020000,4.808815,7.529958,4.860481,0.808072,-1.294971,0.000000,0.355647
0.020000,4.823710,7.535528,4.876384,0.782173,-1.294971,0.000000,0.360080
0.020000,4.838096,7.540979,4.891768,0.756273,-1.294971,0.000000,0.364367
0.020000,4.851975,7.546306,4.906635,0.730374,-1.294971,0.000000,0.368508
0.020000,4.865350,7.551501,4.920983,0.704474,-1.294971,-0.000000,0.372504
0.020000,4.878222,7.556560,4.934814,0.678575,-1.294971,0.000000,0.376353
0.020000,4.890594,7.561475,4.948126,0.652676,-1.294971,-0.000000,0.380055
0.020000,4.902467,7.566243,4.960921,0.626776,-1.294971,0.000000,0.383612
0.020000,4.913843,7.570857,4.973197,0.600877,-1.294971,0.000000,0.387022
0.020000,4.924725,7.575313,4.984956,0.574977,-1.294971,0.000000,0.390286
0.020000,4.935114,7.579606,4.996196,0.549078,-1.294971,-0.000000,0.393404
0.020000,4.945011,7.583731,5.006919,0.523178,-1.294971,0.000000,0.396377
0.020000,4.954419,7.587684,5.017124,0.497279,-1.294971,0.000000,0.399204
0.020000,4.963339,7.591461,5.026810,0.471380,-1.294971,0.000000,0.401885
0.020000,4.971772,7.595058,5.035979,0.445480,-1.294971,0.000000,0.404421
0.020000,4.979721,7.598471,5.044629,0.419581,-1.294971,-0.000000,0.406812
0.020000,4.987186,7.601697,5.052762,0.393681,-1.294971,0.000000,0.409059
0.020000,4.994169,7.604733,5.060377,0.367782,-1.294971,-0.000000,0.411161
0.020000,5.000672,7.607576,5.067473,0.341882,-1.294971,0.000000,0.413119
0.020000,5.006695,7.610223,5.074052,0.315983,-1.294971,-0.000000,0.414932
0.020000,5.012239,7.612671,5.080113,0.290084,-1.294971,0.000000,0.416602
0.020000,5.017306,7.614917,5.085655,0.264184,-1.294971,0.000000,0.418129
0.020000,5.021896,7.616961,5.090680,0.238285,-1.294971,-0.000000,0.419512
0.020000,5.026011,7.618799,5.095187,0.212385,-1.294971,0.000000,0.420752
0.020000,5.029651,7.620430,5.099175,0.186486,-1.294971,0.000000,0.421849
0.020000,5.032817,7.621853,5.102646,0.160586,-1.294971,-0.000000,0.422803
0.020000,5.035509,7.623065,5.105599,0.134687,-1.294971,0.000000,0.423614
0.020000,5.037728,7.624067,5.108033,0.108788,-1.294971,-0.000000,0.424283
0.020000,5.039475,7.624856,5.109950,0.082888,-1.294971,-0.000000,0.424809
0.020000,5.040749,7.625433,5.111349,0.056989,-1.294971,0.000000,0.425194
0.020000,5.041551,7.625797,5.112230,0.031089,-1.294971,-0.000000,0.425436
0.020000,5.041917,7.625963,5.112631,0.009070,-1.100974,9.699851,0.425546
0.020000,5.042000,7.626000,5.112722,0.000000,-0.453489,32.374284,0.425571
0.020000,5.042000,7.626000,5.112722,0.000000,0.000000,22.674434,0.425571
