dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.325232,1.091601,0.000050,0.005000,0.250000,12.500000,6.283051
0.020000,0.325230,1.091601,0.000052,0.000083,-0.245857,-24.792871,6.283056
0.020000,0.325226,1.091601,0.000055,0.000187,0.005188,12.552268,6.283066
0.020000,0.325220,1.091601,0.000062,0.000332,0.007290,0.105116,6.283085
0.020000,0.325210,1.091601,0.000072,0.000500,0.008390,0.054990,6.283113
0.020000,0.325196,1.091601,0.000085,0.000670,0.008486,0.004782,6.283151
0.020000,0.325719,1.091601,0.000608,0.026138,1.273415,63.246446,0.000013
0.020000,0.328099,1.091602,0.002988,0.118985,4.642325,168.445521,0.000070
0.020000,0.330875,1.091602,0.005764,0.138799,0.990736,-182.579464,0.000137
0.020000,0.334047,1.091602,0.008936,0.158623,0.991165,0.021472,0.000215
0.020000,0.337616,1.091603,0.012505,0.178429,0.990299,-0.043326,0.000303
0.020000,0.341581,1.091605,0.016470,0.198235,0.990309,0.000532,0.000403
0.020000,0.345941,1.091607,0.020830,0.218036,0.990056,-0.012650,0.000513
0.020000,0.350698,1.091609,0.025587,0.237826,0.989508,-0.027413,0.000635
0.020000,0.355850,1.091613,0.030739,0.257610,0.989171,-0.016845,0.000770
0.020000,0.361398,1.091618,0.036287,0.277385,0.988781,-0.019485,0.000917
0.020000,0.367341,1.091624,0.042230,0.297152,0.988337,-0.022219,0.001077
0.020000,0.373679,1.091631,0.048568,0.316909,0.987836,-0.025052,0.001251
0.020000,0.380412,1.091640,0.055301,0.336654,0.987276,-0.027992,0.001439
0.020000,0.387540,1.091651,0.062429,0.356387,0.986655,-0.031047,0.001642
0.020000,0.395062,1.091664,0.069951,0.376116,0.986410,-0.012253,0.001861
0.020000,0.402979,1.091680,0.077868,0.395825,0.985474,-0.046825,0.002096
0.020000,0.411289,1.091698,0.086178,0.415520,0.984734,-0.036977,0.002348
0.020000,0.419993,1.091720,0.094882,0.435209,0.984443,-0.014578,0.002617
0.020000,0.429090,1.091745,0.103980,0.454874,0.983297,-0.057290,0.002905
0.020000,0.438581,1.091774,0.113470,0.474528,0.982659,-0.031900,0.003213
0.020000,0.448464,1.091808,0.123354,0.494170,0.982136,-0.026151,0.003541
0.020000,0.458740,1.091846,0.133629,0.513789,0.980948,-0.059372,0.003890
