dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.472543,3.121301,0.000130,0.012960,0.647982,32.399100,0.002041
0.020000,1.472543,3.121301,0.000648,0.038879,1.295964,32.399100,0.001764
0.020000,1.472543,3.121301,0.001685,0.064798,1.295964,0.000000,0.001211
0.020000,1.472543,3.121301,0.003240,0.090717,1.295964,-0.000000,0.000381
0.020000,1.473904,3.121301,0.005313,0.116637,1.295964,0.000000,6.282459
0.020000,1.476495,3.121297,0.007905,0.142556,1.295964,-0.000000,6.281075
0.020000,1.479606,3.121288,0.011016,0.168475,1.295964,0.000000,6.279413
0.020000,1.483234,3.121271,0.014644,0.194395,1.295964,0.000000,6.277473
0.020000,1.487381,3.121242,0.018791,0.220314,1.295964,-0.000000,6.275254
0.020000,1.492046,3.121200,0.023457,0.246233,1.295964,0.000000,6.272756
0.020000,1.497230,3.121138,0.028641,0.272152,1.295964,-0.000000,6.269977
0.020000,1.502932,3.121054,0.034343,0.298072,1.295964,0.000000,6.266918
0.020000,1.509151,3.120943,0.040564,0.323991,1.295964,0.000000,6.263578
0.020000,1.515889,3.120798,0.047303,0.349910,1.295964,0.000000,6.259955
0.020000,1.523144,3.120616,0.054560,0.375830,1.295964,-0.000000,6.256050
0.020000,1.530916,3.120388,0.062336,0.401749,1.295964,0.000000,6.251861
0.020000,1.539206,3.120110,0.070630,0.427668,1.295964,0.000000,6.247389
0.020000,1.548012,3.119774,0.079443,0.453587,1.295964,-0.000000,6.242632
0.020000,1.557334,3.119372,0.088774,0.479507,1.295964,0.000000,6.237590
0.020000,1.567172,3.118897,0.098623,0.505426,1.295964,0.000000,6.232264
0.020000,1.577525,3.118340,0.108991,0.531345,1.295964,-0.000000,6.226652
0.020000,1.588392,3.117693,0.119877,0.557265,1.295964,0.000000,6.220756
0.020000,1.599772,3.116946,0.131281,0.583184,1.295964,0.000000,6.214575
0.020000,1.611664,3.116090,0.143204,0.609103,1.295964,-0.000000,6.208111
0.020000,1.624066,3.115115,0.155645,0.635022,1.295964,0.000000,6.201364
0.020000,1.636979,3.114011,0.168605,0.660942,1.295964,0.000000,6.194336
0.020000,1.650399,3.112766,0.182083,0.686861,1.295964,0.000000,6.187028
0.020000,1.664326,3.111369,0.196079,0.712780,1.295964,0.000000,6.179442
0.020000,1.678757,3.109809,0.210594,0.738699,1.295964,0.000000,6.171582
0.020000,1.693689,3.108074,0.225627,0.764619,1.295964,0.000000,6.163450
