dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.133789,0.311493,0.000129,0.012937,0.646833,32.341644,0.000848
0.020000,0.133759,0.311493,0.000159,0.001493,-0.572160,-60.949628,0.000764
0.020000,0.133700,0.311493,0.000219,0.002984,0.074523,32.334116,0.000596
0.020000,0.133610,0.311493,0.000308,0.004468,0.074222,-0.015048,0.000344
0.020000,0.133491,0.311493,0.000427,0.005944,0.073771,-0.022548,0.000010
0.020000,0.135867,0.311492,0.002803,0.118794,5.642520,278.437473,6.282779
0.020000,0.138795,0.311490,0.005731,0.146400,1.380316,-213.110226,6.282281
0.020000,0.142212,0.311486,0.009148,0.170825,1.221203,-7.955630,6.281703
0.020000,0.146118,0.311479,0.013054,0.195300,1.223771,0.128405,6.281046
0.020000,0.150514,0.311468,0.017450,0.219798,1.224923,0.057568,6.280311
0.020000,0.155400,0.311452,0.022336,0.244320,1.226097,0.058715,6.279500
0.020000,0.160778,0.311430,0.027713,0.268872,1.227593,0.074809,6.278616
0.020000,0.166647,0.311400,0.033583,0.293460,1.229404,0.090536,6.277658
0.020000,0.173008,0.311362,0.039944,0.318091,1.231521,0.105868,6.276631
0.020000,0.179863,0.311313,0.046799,0.342754,1.233163,0.082081,6.275536
0.020000,0.187212,0.311253,0.054148,0.367449,1.234757,0.079697,6.274375
0.020000,0.195056,0.311179,0.061993,0.392218,1.238470,0.185659,6.273151
0.020000,0.203396,0.311090,0.070333,0.417002,1.239184,0.035704,6.271866
0.020000,0.212232,0.310984,0.079170,0.441855,1.242642,0.172908,6.270524
0.020000,0.221567,0.310859,0.088505,0.466763,1.245383,0.137056,6.269127
0.020000,0.231400,0.310714,0.098340,0.491719,1.247806,0.121153,6.267679
0.020000,0.241733,0.310546,0.108674,0.516729,1.250503,0.134834,6.266182
0.020000,0.252567,0.310353,0.119510,0.541798,1.253460,0.147862,6.264641
0.020000,0.263904,0.310134,0.130849,0.566931,1.256664,0.160214,6.263057
0.020000,0.275744,0.309886,0.142691,0.592133,1.260102,0.171867,6.261436
0.020000,0.288089,0.309607,0.155039,0.617393,1.262977,0.143775,6.259780
0.020000,0.300939,0.309295,0.167893,0.642710,1.265863,0.144278,6.258093
0.020000,0.314297,0.308949,0.181256,0.668116,1.270290,0.221371,6.256379
0.020000,0.328163,0.308565,0.195127,0.693576,1.272985,0.134729,6.254643
0.020000,0.342539,0.308142,0.209509,0.719105,1.276490,0.175242,6.252887
0.020000,0.357426,0.307677,0.224404,0.744719,1.280673,0.209152,6.251116
0.020000,0.372826,0.307169,0.239812,0.770402,1.284136,0.173177,6.249335
0.020000,0.388739,0.306616,0.255735,0.796158,1.287804,0.183378,6.247547
0.020000,0.405168,0.306016,0.272175,0.821991,1.291659,0.192766,6.245757
0.020000,0.422114,0.305366,0.289133,0.847905,1.295686,0.201324,6.243969
0.020000,0.439578,0.304665,0.306611,0.873902,1.299866,0.209038,6.242188
0.020000,0.457561,0.303911,0.324610,0.899954,1.302593,0.136329,6.240417
0.020000,0.476066,0.303103,0.343132,0.926118,1.308233,0.282013,6.238663
0.020000,0.495093,0.302239,0.362179,0.952343,1.311239,0.150290,6.236928
0.020000,0.514645,0.301317,0.381753,0.978671,1.316410,0.258547,6.235219
0.020000,0.534722,0.300336,0.401854,1.005060,1.319439,0.151462,6.233539
