dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000079,0.007920,0.395998,19.799911,0.000000
0.020000,0.000000,0.000000,0.000396,0.023760,0.791996,19.799911,0.000000
0.020000,0.000000,0.000000,0.001109,0.047520,1.187995,19.799911,0.000000
0.020000,0.000797,0.000000,0.002297,0.071280,1.187995,-0.000000,0.000000
0.020000,0.002460,0.000000,0.003960,0.095040,1.187995,0.000000,0.000000
0.020000,0.004598,0.000000,0.006098,0.118799,1.187995,-0.000000,0.000000
0.020000,0.007212,0.000000,0.008712,0.142559,1.187995,0.000000,0.000000
0.020000,0.010301,0.000000,0.011801,0.166319,1.187995,0.000000,0.000000
0.020000,0.013865,0.000000,0.015365,0.190079,1.187995,-0.000000,0.000000
0.020000,0.017904,0.000000,0.019404,0.213839,1.187995,0.000000,0.000000
0.020000,0.022418,0.000000,0.023918,0.237599,1.187995,-0.000000,0.000000
0.020000,0.027408,0.000000,0.028908,0.261359,1.187995,0.000000,0.000000
0.020000,0.032873,0.000000,0.034373,0.285119,1.187995,-0.000000,0.000000
0.020000,0.038813,0.000000,0.040313,0.308879,1.187995,0.000000,0.000000
0.020000,0.045228,0.000000,0.046728,0.332638,1.187995,-0.000000,0.000000
0.020000,0.052118,0.000000,0.053618,0.356398,1.187995,0.000000,0.000000
0.020000,0.059484,0.000000,0.060984,0.380158,1.187995,-0.000000,0.000000
0.020000,0.067324,0.000000,0.068824,0.403918,1.187995,0.000000,0.000000
0.020000,0.075640,0.000000,0.077140,0.427678,1.187995,0.000000,0.000000
0.020000,0.084432,0.000000,0.085932,0.451438,1.187995,0.000000,0.000000
0.020000,0.093698,0.000000,0.095198,0.475198,1.187995,-0.000000,0.000000
0.020000,0.103440,0.000000,0.104940,0.498958,1.187995,0.000000,0.000000
0.020000,0.113656,0.000000,0.115156,0.522718,1.187995,-0.000000,0.000000
0.020000,0.124348,0.000000,0.125848,0.546478,1.187995,0.000000,0.000000
0.020000,0.135515,0.000000,0.137015,0.570237,1.187995,-0.000000,0.000000
0.020000,0.147158,0.000000,0.148658,0.593997,1.187995,0.000000,0.000000
0.020000,0.159275,0.000000,0.160775,0.617757,1.187995,0.000000,0.000000
0.020000,0.171868,0.000000,0.173368,0.641517,1.187995,-0.000000,0.000000
0.020000,0.184936,0.000000,0.186436,0.665277,1.187995,0.000000,0.000000
0.020000,0.198479,0.000000,0.199979,0.689037,1.187995,-0.000000,0.000000
0.020000,0.212497,0.000000,0.213997,0.712797,1.187995,0.000000,0.000000
0.020000,0.226991,0.000000,0.228491,0.736557,1.187995,-0.000000,0.000000
0.020000,0.241960,0.000000,0.243460,0.760317,1.187995,0.000000,0.000000
0.020000,0.257404,0.000000,0.258904,0.784076,1.187995,-0.000000,0.000000
0.020000,0.273323,0.000000,0.274823,0.807836,1.187995,0.000000,0.000000
0.020000,0.289717,0.000000,0.291217,0.831596,1.187995,0.000000,0.000000
0.020000,0.306587,0.000000,0.308087,0.855356,1.187995,-0.000000,0.000000
0.020000,0.323931,0.000000,0.325431,0.879116,1.187995,0.000000,0.000000
0.020000,0.341751,0.000000,0.343251,0.902876,1.187995,0.000000,0.000000
0.020000,0.360046,0.000000,0.361546,0.926636,1.187995,-0.000000,0.000000
0.020000,0.378817,0.000000,0.380317,0.950396,1.187995,-0.000000,0.000000
0.020000,0.398062,0.000000,0.399562,0.974156,1.187995,0.000000,0.000000
0.020000,0.417783,0.000000,0.419283,0.997915,1.187995,-0.000000,0.000000
0.020000,0.437979,0.000000,0.439479,1.021675,1.187995,-0.000000,0.000000
0.020000,0.458650,0.000000,0.460150,1.045435,1.187995,0.000000,0.000000
0.020000,0.479796,0.000000,0.481296,1.069195,1.187995,0.000000,0.000000
0.020000,0.501418,0.000000,0.502918,1.092955,1.187995,0.000000,0.000000
0.020000,0.523514,0.000000,0.525014,1.116715,1.187995,-0.000000,0.000000
0.020000,0.546086,0.000000,0.547586,1.140475,1.187995,0.000000,0.000000
0.020000,0.569133,0.000000,0.570633,1.164235,1.187995,0.000000,0.000000
0.020000,0.592656,0.000000,0.594156,1.187995,1.187995,-0.000000,0.000000
0.020000,0.616653,0.000000,0.618153,1.211755,1.187995,0.000000,0.000000
0.020000,0.641126,0.000000,0.642626,1.235514,1.187995,0.000000,0.000000
0.020000,0.666074,0.000000,0.667574,1.259274,1.187995,0.000000,0.000000
0.020000,0.691497,0.000000,0.692997,1.283034,1.187995,-0.000000,0.000000
0.020000,0.717316,0.000000,0.718816,1.298874,0.791996,-19.799911,0.000000
0.020000,0.743373,0.000000,0.744873,1.306794,0.395998,-19.799911,0.000000
0.020000,0.769465,0.000000,0.770965,1.302436,-0.217896,-30.694727,0.000000
0.020000,0.795391,0.000000,0.796891,1.290158,-0.613895,-19.799911,0.000000
0.020000,0.820992,0.000000,0.822492,1.269960,-1.009893,-19.799911,0.000000
0.020000,0.846154,0.000000,0.847654,1.246201,-1.187995,-8.905094,0.000000
0.020000,0.870840,0.000000,0.872340,1.222441,-1.187995,0.000000,0.000000
0.020000,0.895051,0.000000,0.896551,1.198681,-1.187995,0.000000,0.000000
0.020000,0.918787,0.000000,0.920287,1.174921,-1.187995,-0.000000,0.000000
0.020000,0.942048,0.000000,0.943548,1.151161,-1.187995,0.000000,0.000000
0.020000,0.964834,0.000000,0.966334,1.127401,-1.187995,0.000000,0.000000
0.020000,0.987144,0.000000,0.988644,1.103641,-1.187995,-0.000000,0.000000
0.020000,1.008979,0.000000,1.010479,1.079881,-1.187995,0.000000,0.000000
0.020000,1.030339,0.000000,1.031839,1.056121,-1.187995,0.000000,0.000000
0.020000,1.051224,0.000000,1.052724,1.032362,-1.187995,0.000000,0.000000
0.020000,1.071634,0.000000,1.073134,1.008602,-1.187995,0.000000,0.000000
0.020000,1.091568,0.000000,1.093068,0.984842,-1.187995,0.000000,0.000000
0.020000,1.111028,0.000000,1.112528,0.961082,-1.187995,-0.000000,0.000000
0.020000,1.130012,0.000000,1.131512,0.937322,-1.187995,0.000000,0.000000
0.020000,1.148520,0.000000,1.150020,0.913562,-1.187995,0.000000,0.000000
0.020000,1.166554,0.000000,1.168054,0.889802,-1.187995,-0.000000,0.000000
0.020000,1.184113,0.000000,1.185613,0.866042,-1.187995,-0.000000,0.000000
0.020000,1.201196,0.000000,1.202696,0.842282,-1.187995,0.000000,0.000000
0.020000,1.217804,0.000000,1.219304,0.818522,-1.187995,-0.000000,0.000000
0.020000,1.233937,0.000000,1.235437,0.794763,-1.187995,0.000000,0.000000
0.020000,1.249594,0.000000,1.251094,0.771003,-1.187995,-0.000000,0.000000
0.020000,1.264777,0.000000,1.266277,0.747243,-1.187995,0.000000,0.000000
0.020000,1.279484,0.000000,1.280984,0.723483,-1.187995,0.000000,0.000000
0.020000,1.293716,0.000000,1.295216,0.699723,-1.187995,-0.000000,0.000000
0.020000,1.307473,0.000000,1.308973,0.675963,-1.187995,0.000000,0.000000
0.020000,1.320755,0.000000,1.322255,0.652203,-1.187995,0.000000,0.000000
0.020000,1.333561,0.000000,1.335061,0.628443,-1.187995,-0.000000,0.000000
0.020000,1.345892,0.000000,1.347392,0.604683,-1.187995,0.000000,0.000000
0.020000,1.357748,0.000000,1.359248,0.580924,-1.187995,-0.000000,0.000000
0.020000,1.369129,0.000000,1.370629,0.557164,-1.187995,0.000000,0.000000
0.020000,1.380035,0.000000,1.381535,0.533404,-1.187995,-0.000000,0.000000
0.020000,1.390465,0.000000,1.391965,0.509644,-1.187995,0.000000,0.000000
0.020000,1.400421,0.000000,1.401921,0.485884,-1.187995,-0.000000,0.000000
0.020000,1.409901,0.000000,1.411401,0.462124,-1.187995,0.000000,0.000000
0.020000,1.418906,0.000000,1.420406,0.438364,-1.187995,0.000000,0.000000
0.020000,1.427435,0.000000,1.428935,0.414604,-1.187995,-0.000000,0.000000
0.020000,1.435490,0.000000,1.436990,0.390844,-1.187995,0.000000,0.000000
0.020000,1.443069,0.000000,1.444569,0.367085,-1.187995,0.000000,0.000000
0.020000,1.450173,0.000000,1.451673,0.343325,-1.187995,-0.000000,0.000000
0.020000,1.456802,0.000000,1.458302,0.319565,-1.187995,0.000000,0.000000
0.020000,1.462956,0.000000,1.464456,0.295805,-1.187995,-0.000000,0.000000
0.020000,1.468634,0.000000,1.470134,0.272045,-1.187995,0.000000,0.000000
0.020000,1.473838,0.000000,1.475338,0.248285,-1.187995,-0.000000,0.000000
0.020000,1.478566,0.000000,1.480066,0.224525,-1.187995,0.000000,0.000000
0.020000,1.482819,0.000000,1.484319,0.200765,-1.187995,0.000000,0.000000
0.020000,1.486596,0.000000,1.488096,0.177005,-1.187995,-0.000000,0.000000
0.020000,1.489899,0.000000,1.491399,0.153245,-1.187995,0.000000,0.000000
0.020000,1.492726,0.000000,1.494226,0.129486,-1.187995,0.000000,0.000000
0.020000,1.495078,0.000000,1.496578,0.105726,-1.187995,-0.000000,0.000000
0.020000,1.496955,0.000000,1.498455,0.081966,-1.187995,0.000000,0.000000
0.020000,1.498357,0.000000,1.499857,0.058206,-1.187995,0.000000,0.000000
0.020000,1.499283,0.000000,1.500783,0.034446,-1.187995,0.000000,0.000000
0.020000,1.499778,0.000000,1.501278,0.015044,-0.970098,10.894817,0.000000
0.020000,1.499964,0.000000,1.501464,0.003562,-0.574100,19.799911,0.000000
0.020000,1.500000,0.000000,1.501500,0.000000,-0.178102,19.799911,0.000000
0.020000,1.500000,0.000000,1.501500,0.000000,0.000000,8.905094,0.000000
