dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000129,0.012907,0.645328,32.266378,0.000000
0.020000,0.000000,0.000000,0.000645,0.038720,1.290655,32.266378,0.000000
0.020000,0.000000,0.000000,0.001678,0.064533,1.290655,0.000000,0.000000
0.020000,0.000227,0.000000,0.003227,0.090346,1.290655,-0.000000,0.000000
0.020000,0.002292,0.000000,0.005292,0.116159,1.290655,0.000000,0.000000
0.020000,0.004873,0.000000,0.007873,0.141972,1.290655,0.000000,0.000000
0.020000,0.007971,0.000000,0.010971,0.167785,1.290655,-0.000000,0.000000
0.020000,0.011584,0.000000,0.014584,0.193598,1.290655,0.000000,0.000000
0.020000,0.015714,0.000000,0.018714,0.219411,1.290655,-0.000000,0.000000
0.020000,0.020361,0.000000,0.023361,0.245224,1.290655,0.000000,0.000000
0.020000,0.025523,0.000000,0.028523,0.271038,1.290655,0.000000,0.000000
0.020000,0.031202,0.000000,0.034202,0.296851,1.290655,-0.000000,0.000000
0.020000,0.037398,0.000000,0.040398,0.322664,1.290655,0.000000,0.000000
0.020000,0.044109,0.000000,0.047109,0.348477,1.290655,0.000000,0.000000
0.020000,0.051337,0.000000,0.054337,0.374290,1.290655,0.000000,0.000000
0.020000,0.059081,0.000000,0.062081,0.400103,1.290655,-0.000000,0.000000
0.020000,0.067341,0.000000,0.070341,0.425916,1.290655,0.000000,0.000000
0.020000,0.076117,0.000000,0.079117,0.451729,1.290655,-0.000000,0.000000
0.020000,0.085410,0.000000,0.088410,0.477542,1.290655,0.000000,0.000000
0.020000,0.095219,0.000000,0.098219,0.503356,1.290655,-0.000000,0.000000
0.020000,0.105544,0.000000,0.108544,0.529169,1.290655,0.000000,0.000000
0.020000,0.116386,0.000000,0.119386,0.554982,1.290655,0.000000,0.000000
0.020000,0.127743,0.000000,0.130743,0.580795,1.290655,0.000000,0.000000
0.020000,0.139617,0.000000,0.142617,0.606608,1.290655,0.000000,0.000000
0.020000,0.152008,0.000000,0.155008,0.632421,1.290655,-0.000000,0.000000
0.020000,0.164914,0.000000,0.167914,0.658234,1.290655,0.000000,0.000000
0.020000,0.178337,0.000000,0.181337,0.684047,1.290655,0.000000,0.000000
0.020000,0.192276,0.000000,0.195276,0.709860,1.290655,0.000000,0.000000
0.020000,0.206731,0.000000,0.209731,0.735673,1.290655,-0.000000,0.000000
0.020000,0.221703,0.000000,0.224703,0.761487,1.290655,0.000000,0.000000
0.020000,0.237191,0.000000,0.240191,0.787300,1.290655,0.000000,0.000000
0.020000,0.253195,0.000000,0.256195,0.813113,1.290655,-0.000000,0.000000
0.020000,0.269715,0.000000,0.272715,0.838926,1.290655,0.000000,0.000000
0.020000,0.286752,0.000000,0.289752,0.864739,1.290655,0.000000,0.000000
0.020000,0.304305,0.000000,0.307305,0.890552,1.290655,0.000000,0.000000
0.020000,0.322374,0.000000,0.325374,0.916365,1.290655,-0.000000,0.000000
0.020000,0.340960,0.000000,0.343960,0.942178,1.290655,0.000000,0.000000
0.020000,0.360061,0.000000,0.363061,0.967991,1.290655,0.000000,0.000000
0.020000,0.379679,0.000000,0.382679,0.993804,1.290655,-0.000000,0.000000
0.020000,0.399813,0.000000,0.402813,1.019618,1.290655,0.000000,0.000000
0.020000,0.420464,0.000000,0.423464,1.045431,1.290655,0.000000,0.000000
0.020000,0.441631,0.000000,0.444631,1.071244,1.290655,-0.000000,0.000000
0.020000,0.463314,0.000000,0.466314,1.097057,1.290655,0.000000,0.000000
0.020000,0.485513,0.000000,0.488513,1.122870,1.290655,-0.000000,0.000000
0.020000,0.508228,0.000000,0.511228,1.148683,1.290655,0.000000,0.000000
0.020000,0.531460,0.000000,0.534460,1.174496,1.290655,0.000000,0.000000
0.020000,0.555208,0.000000,0.558208,1.200309,1.290655,-0.000000,0.000000
0.020000,0.579473,0.000000,0.582473,1.226122,1.290655,0.000000,0.000000
0.020000,0.604253,0.000000,0.607253,1.251935,1.290655,-0.000000,0.000000
0.020000,0.629550,0.000000,0.632550,1.277749,1.290655,0.000000,0.000000
0.020000,0.655363,0.000000,0.658363,1.303562,1.290655,0.000000,0.000000
0.020000,0.681693,0.000000,0.684693,1.329375,1.290655,0.000000,0.000000
0.020000,0.708538,0.000000,0.711538,1.355188,1.290655,-0.000000,0.000000
0.020000,0.735900,0.000000,0.738900,1.381001,1.290655,0.000000,0.000000
0.020000,0.763778,0.000000,0.766778,1.406814,1.290655,0.000000,0.000000
0.020000,0.792173,0.000000,0.795173,1.432627,1.290655,0.000000,0.000000
0.020000,0.821083,0.000000,0.824083,1.458440,1.290655,0.000000,0.000000
0.020000,0.850510,0.000000,0.853510,1.484253,1.290655,-0.000000,0.000000
0.020000,0.880453,0.000000,0.883453,1.510067,1.290655,0.000000,0.000000
0.020000,0.910913,0.000000,0.913913,1.535880,1.290655,-0.000000,0.000000
0.020000,0.941889,0.000000,0.944889,1.561693,1.290655,0.000000,0.000000
0.020000,0.973381,0.000000,0.976381,1.587506,1.290655,0.000000,0.000000
0.020000,1.005389,0.000000,1.008389,1.613319,1.290655,-0.000000,0.000000
0.020000,1.037913,0.000000,1.040913,1.639132,1.290655,0.000000,0.000000
0.020000,1.070954,0.000000,1.073954,1.664945,1.290655,-0.000000,0.000000
0.020000,1.104511,0.000000,1.107511,1.690758,1.290655,0.000000,0.000000
0.020000,1.138584,0.000000,1.141584,1.716571,1.290655,0.000000,0.000000
0.020000,1.173174,0.000000,1.176174,1.742384,1.290655,0.000000,0.000000
0.020000,1.208280,0.000000,1.211280,1.768198,1.290655,-0.000000,0.000000
0.020000,1.243902,0.000000,1.246902,1.794011,1.290655,0.000000,0.000000
0.020000,1.280040,0.000000,1.283040,1.819824,1.290655,-0.000000,0.000000
0.020000,1.316695,0.000000,1.319695,1.845637,1.290655,-0.000000,0.000000
0.020000,1.353866,0.000000,1.356866,1.871450,1.290655,0.000000,0.000000
0.020000,1.391553,0.000000,1.394553,1.897263,1.290655,-0.000000,0.000000
0.020000,1.429756,0.000000,1.432756,1.923076,1.290655,0.000000,0.000000
0.020000,1.468476,0.000000,1.471476,1.948889,1.290655,-0.000000,0.000000
0.020000,1.507523,0.000000,1.510523,1.955820,0.346552,-47.205135,0.000000
0.020000,1.546451,0.000000,1.549451,1.936938,-0.944103,-64.532757,0.000000
0.020000,1.584931,0.000000,1.587931,1.911125,-1.290655,-17.327621,0.000000
0.020000,1.622896,0.000000,1.625896,1.885312,-1.290655,-0.000000,0.000000
0.020000,1.660344,0.000000,1.663344,1.859499,-1.290655,0.000000,0.000000
0.020000,1.697276,0.000000,1.700276,1.833686,-1.290655,0.000000,0.000000
0.020000,1.733691,0.000000,1.736691,1.807873,-1.290655,0.000000,0.000000
0.020000,1.769590,0.000000,1.772590,1.782060,-1.290655,-0.000000,0.000000
0.020000,1.804974,0.000000,1.807974,1.756247,-1.290655,0.000000,0.000000
0.020000,1.839840,0.000000,1.842840,1.730433,-1.290655,-0.000000,0.000000
0.020000,1.874191,0.000000,1.877191,1.704620,-1.290655,-0.000000,0.000000
0.020000,1.908025,0.000000,1.911025,1.678807,-1.290655,0.000000,0.000000
0.020000,1.941343,0.000000,1.944343,1.652994,-1.290655,-0.000000,0.000000
0.020000,1.974145,0.000000,1.977145,1.627181,-1.290655,0.000000,0.000000
0.020000,2.006430,0.000000,2.009430,1.601368,-1.290655,-0.000000,0.000000
0.020000,2.038200,0.000000,2.041200,1.575555,-1.290655,0.000000,0.000000
0.020000,2.069453,0.000000,2.072453,1.549742,-1.290655,0.000000,0.000000
0.020000,2.100189,0.000000,2.103189,1.523929,-1.290655,0.000000,0.000000
0.020000,2.130410,0.000000,2.133410,1.498115,-1.290655,-0.000000,0.000000
0.020000,2.160114,0.000000,2.163114,1.472302,-1.290655,0.000000,0.000000
0.020000,2.189302,0.000000,2.192302,1.446489,-1.290655,-0.000000,0.000000
0.020000,2.217973,0.000000,2.220973,1.420676,-1.290655,0.000000,0.000000
0.020000,2.246129,0.000000,2.249129,1.394863,-1.290655,0.000000,0.000000
0.020000,2.273768,0.000000,2.276768,1.369050,-1.290655,-0.000000,0.000000
0.020000,2.300891,0.000000,2.303891,1.343237,-1.290655,0.000000,0.000000
0.020000,2.327497,0.000000,2.330497,1.317424,-1.290655,-0.000000,0.000000
0.020000,2.353588,0.000000,2.356588,1.291611,-1.290655,0.000000,0.000000
0.020000,2.379162,0.000000,2.382162,1.265798,-1.290655,0.000000,0.000000
0.020000,2.404220,0.000000,2.407220,1.239984,-1.290655,0.000000,0.000000
0.020000,2.428761,0.000000,2.431761,1.214171,-1.290655,0.000000,0.000000
0.020000,2.452787,0.000000,2.455787,1.188358,-1.290655,0.000000,0.000000
0.020000,2.476296,0.000000,2.479296,1.162545,-1.290655,0.000000,0.000000
0.020000,2.499288,0.000000,2.502288,1.136732,-1.290655,0.000000,0.000000
0.020000,2.521765,0.000000,2.524765,1.110919,-1.290655,0.000000,0.000000
0.020000,2.543725,0.000000,2.546725,1.085106,-1.290655,-0.000000,0.000000
0.020000,2.565169,0.000000,2.568169,1.059293,-1.290655,0.000000,0.000000
0.020000,2.586097,0.000000,2.589097,1.033480,-1.290655,-0.000000,0.000000
0.020000,2.606508,0.000000,2.609508,1.007667,-1.290655,0.000000,0.000000
0.020000,2.626404,0.000000,2.629404,0.981853,-1.290655,0.000000,0.000000
0.020000,2.645782,0.000000,2.648782,0.956040,-1.290655,-0.000000,0.000000
0.020000,2.664645,0.000000,2.667645,0.930227,-1.290655,0.000000,0.000000
0.020000,2.682992,0.000000,2.685992,0.904414,-1.290655,0.000000,0.000000
