dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,-0.355600,0.000129,0.012907,0.645328,32.266378,0.000000
0.020000,0.000000,-0.355600,0.000129,0.000000,-0.645328,-64.532757,0.000000
0.020000,0.000000,-0.355600,0.000129,0.000000,0.000000,32.266378,0.000000
0.020000,0.000227,-0.355600,0.000356,0.011332,0.566595,28.329728,0.000000
0.020000,0.002292,-0.355600,0.002421,0.103252,4.596026,201.471570,0.000000
0.020000,0.004873,-0.355600,0.005002,0.129066,1.290655,-165.268541,0.000000
0.020000,0.007971,-0.355600,0.008100,0.154879,1.290655,0.000000,0.000000
0.020000,0.011584,-0.355600,0.011713,0.180692,1.290655,-0.000000,0.000000
0.020000,0.015714,-0.355600,0.015844,0.206505,1.290655,0.000000,0.000000
0.020000,0.020361,-0.355600,0.020490,0.232318,1.290655,-0.000000,0.000000
0.020000,0.025523,-0.355600,0.025653,0.258131,1.290655,-0.000000,0.000000
0.020000,0.031202,-0.355600,0.031331,0.283944,1.290655,0.000000,0.000000
0.020000,0.037398,-0.355600,0.037527,0.309757,1.290655,0.000000,0.000000
0.020000,0.044109,-0.355600,0.044238,0.335570,1.290655,-0.000000,0.000000
0.020000,0.051337,-0.355600,0.051466,0.361383,1.290655,0.000000,0.000000
0.020000,0.059081,-0.355600,0.059210,0.387197,1.290655,0.000000,0.000000
0.020000,0.067341,-0.355600,0.067470,0.413010,1.290655,-0.000000,0.000000
0.020000,0.076117,-0.355600,0.076246,0.438823,1.290655,-0.000000,0.000000
0.020000,0.085410,-0.355600,0.085539,0.464636,1.290655,0.000000,0.000000
0.020000,0.095219,-0.355600,0.095348,0.490449,1.290655,-0.000000,0.000000
0.020000,0.105544,-0.355600,0.105673,0.516262,1.290655,-0.000000,0.000000
0.020000,0.116386,-0.355600,0.116515,0.542075,1.290655,0.000000,0.000000
0.020000,0.127743,-0.355600,0.127872,0.567888,1.290655,-0.000000,0.000000
0.020000,0.139617,-0.355600,0.139746,0.593701,1.290655,-0.000000,0.000000
0.020000,0.152008,-0.355600,0.152137,0.619514,1.290655,0.000000,0.000000
0.020000,0.164914,-0.355600,0.165043,0.645328,1.290655,0.000000,0.000000
0.020000,0.178337,-0.355600,0.178466,0.671141,1.290655,0.000000,0.000000
0.020000,0.192276,-0.355600,0.192405,0.696954,1.290655,0.000000,0.000000
0.020000,0.206731,-0.355600,0.206861,0.722767,1.290655,-0.000000,0.000000
0.020000,0.221703,-0.355600,0.221832,0.748580,1.290655,0.000000,0.000000
0.020000,0.237191,-0.355600,0.237320,0.774393,1.290655,0.000000,0.000000
0.020000,0.253195,-0.355600,0.253324,0.800206,1.290655,-0.000000,0.000000
0.020000,0.269715,-0.355600,0.269844,0.826019,1.290655,0.000000,0.000000
0.020000,0.286752,-0.355600,0.286881,0.851832,1.290655,0.000000,0.000000
0.020000,0.304305,-0.355600,0.304434,0.877645,1.290655,-0.000000,0.000000
0.020000,0.322374,-0.355600,0.322503,0.903459,1.290655,-0.000000,0.000000
0.020000,0.340960,-0.355600,0.341089,0.929272,1.290655,0.000000,0.000000
0.020000,0.360061,-0.355600,0.360190,0.955085,1.290655,-0.000000,0.000000
0.020000,0.379679,-0.355600,0.379808,0.980898,1.290655,0.000000,0.000000
0.020000,0.399813,-0.355600,0.399943,1.006711,1.290655,-0.000000,0.000000
0.020000,0.420464,-0.355600,0.420593,1.032524,1.290655,-0.000000,0.000000
0.020000,0.441631,-0.355600,0.441760,1.058337,1.290655,0.000000,0.000000
0.020000,0.463314,-0.355600,0.463443,1.084150,1.290655,-0.000000,0.000000
0.020000,0.485513,-0.355600,0.485642,1.109963,1.290655,-0.000000,0.000000
0.020000,0.508228,-0.355600,0.508358,1.135777,1.290655,0.000000,0.000000
0.020000,0.531460,-0.355600,0.531589,1.161590,1.290655,-0.000000,0.000000
0.020000,0.555208,-0.355600,0.555337,1.187403,1.290655,0.000000,0.000000
0.020000,0.579473,-0.355600,0.579602,1.213216,1.290655,-0.000000,0.000000
0.020000,0.604253,-0.355600,0.604382,1.239029,1.290655,0.000000,0.000000
0.020000,0.629550,-0.355600,0.629679,1.264842,1.290655,0.000000,0.000000
0.020000,0.655363,-0.355600,0.655492,1.290655,1.290655,-0.000000,0.000000
0.020000,0.681693,-0.355600,0.681822,1.316468,1.290655,0.000000,0.000000
0.020000,0.708538,-0.355600,0.708667,1.342281,1.290655,0.000000,0.000000
0.020000,0.735900,-0.355600,0.736029,1.368094,1.290655,-0.000000,0.000000
0.020000,0.763778,-0.355600,0.763907,1.393908,1.290655,0.000000,0.000000
0.020000,0.792173,-0.355600,0.792302,1.419721,1.290655,0.000000,0.000000
0.020000,0.821083,-0.355600,0.821212,1.445534,1.290655,-0.000000,0.000000
0.020000,0.850510,-0.355600,0.850639,1.471347,1.290655,0.000000,0.000000
0.020000,0.880453,-0.355600,0.880583,1.497160,1.290655,0.000000,0.000000
0.020000,0.910913,-0.355600,0.911042,1.522973,1.290655,-0.000000,0.000000
0.020000,0.941889,-0.355600,0.942018,1.548786,1.290655,0.000000,0.000000
0.020000,0.973381,-0.355600,0.973510,1.574599,1.290655,-0.000000,0.000000
0.020000,1.005389,-0.355600,1.005518,1.600412,1.290655,0.000000,0.000000
0.020000,1.037913,-0.355600,1.038042,1.626225,1.290655,-0.000000,0.000000
0.020000,1.070954,-0.355600,1.071083,1.652039,1.290655,0.000000,0.000000
0.020000,1.104511,-0.355600,1.104640,1.677852,1.290655,-0.000000,0.000000
0.020000,1.138584,-0.355600,1.138714,1.703665,1.290655,0.000000,0.000000
0.020000,1.173174,-0.355600,1.173303,1.729478,1.290655,-0.000000,0.000000
0.020000,1.208280,-0.355600,1.208409,1.755291,1.290655,0.000000,0.000000
0.020000,1.243902,-0.355600,1.244031,1.781104,1.290655,0.000000,0.000000
0.020000,1.280040,-0.355600,1.280169,1.806917,1.290655,0.000000,0.000000
0.020000,1.316695,-0.355600,1.316824,1.832730,1.290655,-0.000000,0.000000
0.020000,1.353866,-0.355600,1.353995,1.858543,1.290655,0.000000,0.000000
0.020000,1.391553,-0.355600,1.391682,1.884356,1.290655,0.000000,0.000000
0.020000,1.429756,-0.355600,1.429885,1.910170,1.290655,-0.000000,0.000000
0.020000,1.468476,-0.355600,1.468605,1.935983,1.290655,0.000000,0.000000
0.020000,1.507523,-0.355600,1.507652,1.952355,0.818604,-23.602568,0.000000
0.020000,1.546451,-0.355600,1.546580,1.946379,-0.298775,-55.868946,0.000000
0.020000,1.584931,-0.355600,1.585060,1.924032,-1.117379,-40.930189,0.000000
0.020000,1.622896,-0.355600,1.623025,1.898219,-1.290655,-8.663811,0.000000
0.020000,1.660344,-0.355600,1.660473,1.872405,-1.290655,0.000000,0.000000
0.020000,1.697276,-0.355600,1.697405,1.846592,-1.290655,-0.000000,0.000000
0.020000,1.733691,-0.355600,1.733820,1.820779,-1.290655,0.000000,0.000000
0.020000,1.769590,-0.355600,1.769720,1.794966,-1.290655,-0.000000,0.000000
0.020000,1.804974,-0.355600,1.805103,1.769153,-1.290655,0.000000,0.000000
0.020000,1.839840,-0.355600,1.839969,1.743340,-1.290655,-0.000000,0.000000
0.020000,1.874191,-0.355600,1.874320,1.717527,-1.290655,0.000000,0.000000
0.020000,1.908025,-0.355600,1.908154,1.691714,-1.290655,0.000000,0.000000
0.020000,1.941343,-0.355600,1.941472,1.665901,-1.290655,-0.000000,0.000000
0.020000,1.974145,-0.355600,1.974274,1.640088,-1.290655,0.000000,0.000000
0.020000,2.006430,-0.355600,2.006559,1.614274,-1.290655,-0.000000,0.000000
