dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000963,0.096316,4.815789,240.789474,0.000000
0.020000,0.001816,0.000000,0.004816,0.288947,9.631579,240.789474,0.000000
0.020000,0.009521,0.000000,0.012521,0.481579,9.631579,0.000000,0.000000
0.020000,0.021079,0.000000,0.024079,0.674211,9.631579,0.000000,0.000000
0.020000,0.036489,0.000000,0.039489,0.866842,9.631579,-0.000000,0.000000
0.020000,0.055753,0.000000,0.058753,1.059474,9.631579,0.000000,0.000000
0.020000,0.078868,0.000000,0.081868,1.252105,9.631579,0.000000,0.000000
0.020000,0.105837,0.000000,0.108837,1.444737,9.631579,0.000000,0.000000
0.020000,0.136658,0.000000,0.139658,1.637368,9.631579,-0.000000,0.000000
0.020000,0.171332,0.000000,0.174332,1.830000,9.631579,0.000000,0.000000
0.020000,0.209858,0.000000,0.212858,2.022632,9.631579,0.000000,0.000000
0.020000,0.252237,0.000000,0.255237,2.215263,9.631579,-0.000000,0.000000
0.020000,0.298468,0.000000,0.301468,2.407895,9.631579,0.000000,0.000000
0.020000,0.348553,0.000000,0.351553,2.600526,9.631579,0.000000,0.000000
0.020000,0.402489,0.000000,0.405489,2.793158,9.631579,0.000000,0.000000
0.020000,0.460279,0.000000,0.463279,2.985789,9.631579,-0.000000,0.000000
0.020000,0.521921,0.000000,0.524921,3.178421,9.631579,0.000000,0.000000
0.020000,0.587416,0.000000,0.590416,3.371053,9.631579,-0.000000,0.000000
0.020000,0.656763,0.000000,0.659763,3.563684,9.631579,0.000000,0.000000
0.020000,0.729000,0.000000,0.732000,3.660000,4.815789,-240.789474,0.000000
0.020000,0.802200,0.000000,0.805200,3.660000,0.000000,-240.789474,0.000000
0.020000,0.875400,0.000000,0.878400,3.660000,0.000000,0.000000,0.000000
0.020000,0.948600,0.000000,0.951600,3.660000,0.000000,0.000000,0.000000
0.020000,1.021800,0.000000,1.024800,3.660000,0.000000,0.000000,0.000000
0.020000,1.095000,0.000000,1.098000,3.660000,0.000000,0.000000,0.000000
0.020000,1.168200,0.000000,1.171200,3.660000,0.000000,0.000000,0.000000
0.020000,1.241400,0.000000,1.244400,3.660000,0.000000,0.000000,0.000000
0.020000,1.314600,0.000000,1.317600,3.660000,0.000000,0.000000,0.000000
0.020000,1.387800,0.000000,1.390800,3.660000,0.000000,0.000000,0.000000
0.020000,1.461000,0.000000,1.464000,3.660000,0.000000,0.000000,0.000000
0.020000,1.534200,0.000000,1.537200,3.660000,0.000000,0.000000,0.000000
0.020000,1.607400,0.000000,1.610400,3.660000,0.000000,0.000000,0.000000
0.020000,1.680600,0.000000,1.683600,3.660000,0.000000,0.000000,0.000000
0.020000,1.753800,0.000000,1.756800,3.660000,0.000000,0.000000,0.000000
0.020000,1.827000,0.000000,1.830000,3.660000,0.000000,0.000000,0.000000
0.020000,1.900200,0.000000,1.903200,3.660000,0.000000,0.000000,0.000000
0.020000,1.973400,0.000000,1.976400,3.660000,0.000000,0.000000,0.000000
0.020000,2.046600,0.000000,2.049600,3.660000,0.000000,0.000000,0.000000
0.020000,2.119800,0.000000,2.122800,3.660000,0.000000,0.000000,0.000000
0.020000,2.193000,0.000000,2.196000,3.660000,0.000000,0.000000,0.000000
0.020000,2.266200,0.000000,2.269200,3.660000,0.000000,0.000000,0.000000
0.020000,2.338461,0.000000,2.341461,3.566053,-4.697368,-234.868421,0.000000
0.020000,2.407879,0.000000,2.410879,3.375789,-9.513158,-240.789474,0.000000
0.020000,2.473468,0.000000,2.476468,3.183158,-9.631579,-5.921053,0.000000
0.020000,2.535205,0.000000,2.538205,2.990526,-9.631579,-0.000000,0.000000
0.020000,2.593089,0.000000,2.596089,2.797895,-9.631579,0.000000,0.000000
0.020000,2.647121,0.000000,2.650121,2.605263,-9.631579,0.000000,0.000000
0.020000,2.697300,0.000000,2.700300,2.412632,-9.631579,0.000000,0.000000
0.020000,2.743626,0.000000,2.746626,2.220000,-9.631579,-0.000000,0.000000
0.020000,2.786100,0.000000,2.789100,2.027368,-9.631579,0.000000,0.000000
0.020000,2.824721,0.000000,2.827721,1.834737,-9.631579,-0.000000,0.000000
0.020000,2.859489,0.000000,2.862489,1.642105,-9.631579,0.000000,0.000000
0.020000,2.890405,0.000000,2.893405,1.449474,-9.631579,0.000000,0.000000
0.020000,2.917468,0.000000,2.920468,1.256842,-9.631579,0.000000,0.000000
0.020000,2.940679,0.000000,2.943679,1.064211,-9.631579,0.000000,0.000000
0.020000,2.960037,0.000000,2.963037,0.871579,-9.631579,-0.000000,0.000000
0.020000,2.975542,0.000000,2.978542,0.678947,-9.631579,-0.000000,0.000000
0.020000,2.987195,0.000000,2.990195,0.486316,-9.631579,0.000000,0.000000
0.020000,2.994995,0.000000,2.997995,0.293684,-9.631579,0.000000,0.000000
0.020000,2.998942,0.000000,3.001942,0.101053,-9.631579,0.000000,0.000000
0.020000,2.999976,0.000000,3.002976,0.002368,-4.934211,234.868421,0.000000
0.020000,3.000000,0.000000,3.003000,0.000000,-0.118421,240.789474,0.000000
0.020000,3.000000,0.000000,3.003000,0.000000,0.000000,5.921053,0.000000
