dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.716575,1.744940,0.000079,0.007937,0.396825,19.841270,6.227341
0.020000,1.716575,1.744940,0.000397,0.023810,0.793651,19.841270,6.227369
0.020000,1.716575,1.744940,0.001111,0.047619,1.190476,19.841270,6.227434
0.020000,1.716575,1.744940,0.002302,0.071429,1.190476,0.000000,6.227541
0.020000,1.716639,1.744936,0.003968,0.095238,1.190476,0.000000,6.227693
0.020000,1.718779,1.744817,0.006111,0.119048,1.190476,0.000000,6.227887
0.020000,1.721394,1.744673,0.008730,0.142857,1.190476,-0.000000,6.228126
0.020000,1.724484,1.744503,0.011825,0.166667,1.190476,0.000000,6.228410
0.020000,1.728050,1.744308,0.015397,0.190476,1.190476,0.000000,6.228739
0.020000,1.732092,1.744089,0.019444,0.214286,1.190476,0.000000,6.229115
0.020000,1.736609,1.743845,0.023968,0.238095,1.190476,-0.000000,6.229537
0.020000,1.741602,1.743578,0.028968,0.261905,1.190476,0.000000,6.230007
0.020000,1.747071,1.743289,0.034444,0.285714,1.190476,-0.000000,6.230526
0.020000,1.753015,1.742977,0.040397,0.309524,1.190476,0.000000,6.231095
0.020000,1.759435,1.742644,0.046825,0.333333,1.190476,-0.000000,6.231716
0.020000,1.766331,1.742291,0.053730,0.357143,1.190476,0.000000,6.232389
0.020000,1.773702,1.741919,0.061111,0.380952,1.190476,-0.000000,6.233117
0.020000,1.781550,1.741529,0.068968,0.404762,1.190476,0.000000,6.233901
0.020000,1.789873,1.741122,0.077302,0.428571,1.190476,0.000000,6.234742
0.020000,1.798672,1.740699,0.086111,0.452381,1.190476,-0.000000,6.235643
0.020000,1.807948,1.740263,0.095397,0.476190,1.190476,0.000000,6.236606
0.020000,1.817699,1.739813,0.105159,0.500000,1.190476,-0.000000,6.237632
0.020000,1.827927,1.739352,0.115397,0.523810,1.190476,0.000000,6.238724
0.020000,1.838631,1.738882,0.126111,0.547619,1.190476,-0.000000,6.239884
0.020000,1.849811,1.738405,0.137302,0.571429,1.190476,0.000000,6.241116
0.020000,1.861468,1.737922,0.148968,0.595238,1.190476,0.000000,6.242420
0.020000,1.873601,1.737435,0.161111,0.619048,1.190476,0.000000,6.243802
