dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.779595,5.259719,0.000079,0.007937,0.396825,19.841270,6.282945
0.020000,1.779595,5.259719,0.000397,0.023810,0.793651,19.841270,6.283025
0.020000,1.779674,5.259719,0.001111,0.047619,1.190476,19.841270,0.000020
0.020000,1.780865,5.259719,0.002302,0.071429,1.190476,0.000000,0.000320
0.020000,1.782531,5.259720,0.003968,0.095238,1.190476,0.000000,0.000739
0.020000,1.784674,5.259722,0.006111,0.119048,1.190476,0.000000,0.001275
0.020000,1.787293,5.259726,0.008730,0.142857,1.190476,-0.000000,0.001928
0.020000,1.790388,5.259733,0.011825,0.166667,1.190476,0.000000,0.002695
0.020000,1.793960,5.259745,0.015397,0.190476,1.190476,0.000000,0.003575
0.020000,1.798007,5.259761,0.019444,0.214286,1.190476,0.000000,0.004564
0.020000,1.802531,5.259784,0.023968,0.238095,1.190476,-0.000000,0.005660
0.020000,1.807531,5.259815,0.028968,0.261905,1.190476,0.000000,0.006860
0.020000,1.813007,5.259857,0.034444,0.285714,1.190476,-0.000000,0.008161
0.020000,1.818959,5.259909,0.040397,0.309524,1.190476,0.000000,0.009559
0.020000,1.825387,5.259976,0.046825,0.333333,1.190476,-0.000000,0.011048
0.020000,1.832292,5.260057,0.053730,0.357143,1.190476,0.000000,0.012626
0.020000,1.839672,5.260157,0.061111,0.380952,1.190476,-0.000000,0.014287
0.020000,1.847528,5.260276,0.068968,0.404762,1.190476,0.000000,0.016027
0.020000,1.855860,5.260417,0.077302,0.428571,1.190476,0.000000,0.017838
0.020000,1.864668,5.260582,0.086111,0.452381,1.190476,-0.000000,0.019717
0.020000,1.873952,5.260774,0.095397,0.476190,1.190476,0.000000,0.021656
0.020000,1.883712,5.260996,0.105159,0.500000,1.190476,-0.000000,0.023650
0.020000,1.893946,5.261248,0.115397,0.523810,1.190476,0.000000,0.025690
0.020000,1.904657,5.261535,0.126111,0.547619,1.190476,-0.000000,0.027771
0.020000,1.915843,5.261857,0.137302,0.571429,1.190476,0.000000,0.029885
0.020000,1.927504,5.262218,0.148968,0.595238,1.190476,0.000000,0.032023
0.020000,1.939640,5.262620,0.161111,0.619048,1.190476,0.000000,0.034177
0.020000,1.952251,5.263065,0.173730,0.642857,1.190476,0.000000,0.036340
0.020000,1.965337,5.263555,0.186825,0.666667,1.190476,-0.000000,0.038501
0.020000,1.978898,5.264092,0.200397,0.690476,1.190476,0.000000,0.040653
0.020000,1.992933,5.264678,0.214444,0.714286,1.190476,-0.000000,0.042784
0.020000,2.007443,5.265315,0.228968,0.738095,1.190476,0.000000,0.044886
0.020000,2.022428,5.266003,0.243968,0.761905,1.190476,-0.000000,0.046949
0.020000,2.037886,5.266745,0.259444,0.785714,1.190476,0.000000,0.048961
0.020000,2.053818,5.267542,0.275397,0.809524,1.190476,-0.000000,0.050912
0.020000,2.070225,5.268394,0.291825,0.833333,1.190476,0.000000,0.052790
0.020000,2.087105,5.269301,0.308730,0.857143,1.190476,-0.000000,0.054585
0.020000,2.104460,5.270264,0.326111,0.880952,1.190476,-0.000000,0.056284
0.020000,2.122288,5.271283,0.343968,0.904762,1.190476,0.000000,0.057875
0.020000,2.140589,5.272357,0.362302,0.928571,1.190476,-0.000000,0.059345
0.020000,2.159365,5.273486,0.381111,0.952381,1.190476,0.000000,0.060682
0.020000,2.178615,5.274667,0.400397,0.976190,1.190476,-0.000000,0.061873
0.020000,2.198338,5.275899,0.420159,1.000000,1.190476,0.000000,0.062904
0.020000,2.218535,5.277181,0.440397,1.023810,1.190476,0.000000,0.063761
0.020000,2.239207,5.278508,0.461111,1.047619,1.190476,-0.000000,0.064431
0.020000,2.260353,5.279877,0.482302,1.071429,1.190476,0.000000,0.064897
0.020000,2.281974,5.281286,0.503968,1.095238,1.190476,0.000000,0.065147
0.020000,2.304070,5.282728,0.526111,1.119048,1.190476,0.000000,0.065165
0.020000,2.326641,5.284199,0.548730,1.142857,1.190476,-0.000000,0.064934
0.020000,2.349688,5.285692,0.571825,1.166667,1.190476,0.000000,0.064440
0.020000,2.373211,5.287201,0.595397,1.190476,1.190476,-0.000000,0.063666
0.020000,2.397211,5.288719,0.619444,1.214286,1.190476,0.000000,0.062595
0.020000,2.421688,5.290237,0.643968,1.238095,1.190476,0.000000,0.061211
0.020000,2.446642,5.291745,0.668968,1.261905,1.190476,-0.000000,0.059497
0.020000,2.472075,5.293235,0.694444,1.285714,1.190476,0.000000,0.057434
