dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.532254,3.126997,0.000079,0.007937,0.396825,19.841270,6.232884
0.020000,1.532254,3.126997,0.000397,0.023810,0.793651,19.841270,6.232980
0.020000,1.532254,3.126997,0.001111,0.047619,1.190476,19.841270,6.233196
0.020000,1.533341,3.126943,0.002302,0.071429,1.190476,0.000000,6.233555
0.020000,1.535006,3.126861,0.003968,0.095238,1.190476,0.000000,6.234056
0.020000,1.537146,3.126756,0.006111,0.119048,1.190476,0.000000,6.234695
0.020000,1.539762,3.126630,0.008730,0.142857,1.190476,-0.000000,6.235469
0.020000,1.542854,3.126484,0.011825,0.166667,1.190476,0.000000,6.236375
0.020000,1.546422,3.126319,0.015397,0.190476,1.190476,0.000000,6.237407
0.020000,1.550465,3.126136,0.019444,0.214286,1.190476,0.000000,6.238560
0.020000,1.554985,3.125937,0.023968,0.238095,1.190476,-0.000000,6.239828
0.020000,1.559980,3.125724,0.028968,0.261905,1.190476,0.000000,6.241205
0.020000,1.565452,3.125498,0.034444,0.285714,1.190476,-0.000000,6.242682
0.020000,1.571399,3.125262,0.040397,0.309524,1.190476,0.000000,6.244251
0.020000,1.577823,3.125017,0.046825,0.333333,1.190476,-0.000000,6.245903
0.020000,1.584723,3.124765,0.053730,0.357143,1.190476,0.000000,6.247629
0.020000,1.592100,3.124510,0.061111,0.380952,1.190476,-0.000000,6.249417
0.020000,1.599953,3.124252,0.068968,0.404762,1.190476,0.000000,6.251258
0.020000,1.608282,3.123994,0.077302,0.428571,1.190476,0.000000,6.253139
0.020000,1.617088,3.123737,0.086111,0.452381,1.190476,-0.000000,6.255047
0.020000,1.626370,3.123485,0.095397,0.476190,1.190476,0.000000,6.256970
0.020000,1.636129,3.123239,0.105159,0.500000,1.190476,-0.000000,6.258894
0.020000,1.646364,3.123000,0.115397,0.523810,1.190476,0.000000,6.260804
0.020000,1.657076,3.122770,0.126111,0.547619,1.190476,-0.000000,6.262684
0.020000,1.668265,3.122551,0.137302,0.571429,1.190476,0.000000,6.264520
0.020000,1.679929,3.122344,0.148968,0.595238,1.190476,0.000000,6.266294
0.020000,1.692071,3.122149,0.161111,0.619048,1.190476,0.000000,6.267990
0.020000,1.704688,3.121968,0.173730,0.642857,1.190476,0.000000,6.269589
0.020000,1.717783,3.121800,0.186825,0.666667,1.190476,-0.000000,6.271074
0.020000,1.731353,3.121645,0.200397,0.690476,1.190476,0.000000,6.272424
