dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000030,3.861200,0.000061,0.006096,0.304800,15.240000,6.283183
0.020000,0.000280,3.861200,0.000311,0.012493,0.319839,0.751974,6.283167
0.020000,0.000842,3.861200,0.000873,0.028110,0.780846,23.050347,6.283129
0.020000,0.001842,3.861200,0.001873,0.049976,1.093317,15.623517,6.283062
0.020000,0.003404,3.861200,0.003434,0.078096,1.405989,15.633633,6.282957
0.020000,0.005591,3.861199,0.005621,0.109351,1.562763,7.838703,6.282809
0.020000,0.008403,3.861198,0.008434,0.140623,1.563612,0.042409,6.282618
0.020000,0.011842,3.861195,0.011872,0.171917,1.564704,0.054639,6.282381
0.020000,0.015907,3.861191,0.015937,0.203238,1.566044,0.066957,6.282097
0.020000,0.020598,3.861186,0.020629,0.234591,1.567631,0.079381,6.281766
0.020000,0.025918,3.861177,0.025948,0.265980,1.569470,0.091943,6.281384
0.020000,0.031866,3.861165,0.031897,0.297412,1.571563,0.104658,6.280949
0.020000,0.038444,3.861149,0.038475,0.328890,1.573914,0.117560,6.280459
0.020000,0.045652,3.861127,0.045683,0.360420,1.576528,0.130683,6.279911
0.020000,0.053492,3.861099,0.053523,0.392009,1.579409,0.144050,6.279301
0.020000,0.061966,3.861063,0.061996,0.423660,1.582563,0.157709,6.278627
0.020000,0.071073,3.861018,0.071104,0.455380,1.585997,0.171691,6.277883
0.020000,0.080816,3.860963,0.080847,0.487174,1.589718,0.186047,6.277068
0.020000,0.091197,3.860895,0.091228,0.519049,1.593735,0.200825,6.276175
0.020000,0.102217,3.860812,0.102249,0.551010,1.598056,0.216072,6.275199
0.020000,0.113878,3.860713,0.113910,0.583064,1.602693,0.231861,6.274137
0.020000,0.126182,3.860594,0.126214,0.615217,1.607658,0.248248,6.272982
0.020000,0.139130,3.860454,0.139164,0.647476,1.612964,0.265309,6.271729
0.020000,0.152726,3.860289,0.152761,0.679849,1.618627,0.283122,6.270371
0.020000,0.166972,3.860096,0.167008,0.712342,1.624662,0.301779,6.268901
0.020000,0.181870,3.859872,0.181907,0.744964,1.631090,0.321377,6.267313
0.020000,0.197422,3.859611,0.197461,0.777723,1.637930,0.342022,6.265598
0.020000,0.213632,3.859311,0.213674,0.810627,1.645207,0.363833,6.263750
0.020000,0.230502,3.858967,0.230547,0.843686,1.652946,0.386933,6.261758
0.020000,0.248035,3.858572,0.248086,0.876909,1.661175,0.411485,6.259615
0.020000,0.266236,3.858122,0.266292,0.910308,1.669928,0.437618,6.257310
0.020000,0.285107,3.857611,0.285170,0.943892,1.679238,0.465533,6.254833
0.020000,0.304652,3.857031,0.304723,0.977675,1.689146,0.495403,6.252173
0.020000,0.324875,3.856375,0.324957,1.011669,1.699695,0.527446,6.249319
0.020000,0.345779,3.855635,0.345874,1.045888,1.710933,0.561888,6.246258
0.020000,0.367370,3.854802,0.367481,1.080346,1.722913,0.598991,6.242976
0.020000,0.389652,3.853866,0.389782,1.115060,1.735693,0.639019,6.239460
0.020000,0.412629,3.852818,0.412783,1.150047,1.749339,0.682290,6.235694
0.020000,0.436306,3.851645,0.436490,1.185325,1.763922,0.729136,6.231663
0.020000,0.460689,3.850335,0.460908,1.220916,1.779520,0.779913,6.227349
0.020000,0.485784,3.848875,0.486045,1.256840,1.796221,0.835034,6.222733
0.020000,0.511595,3.847249,0.511907,1.293122,1.814119,0.894919,6.217796
0.020000,0.538129,3.845442,0.538503,1.329789,1.833320,0.960051,6.212516
0.020000,0.565393,3.843435,0.565841,1.366868,1.853938,1.030916,6.206871
0.020000,0.593392,3.841209,0.593928,1.404390,1.876100,1.108082,6.200836
0.020000,0.622135,3.838744,0.622776,1.442388,1.899942,1.192107,6.194385
0.020000,0.651627,3.836017,0.652394,1.480901,1.925614,1.283605,6.187489
0.020000,0.681876,3.833001,0.682793,1.519966,1.953278,1.383189,6.180117
0.020000,0.712890,3.829671,0.713986,1.559628,1.983108,1.491518,6.172237
0.020000,0.744677,3.825995,0.745985,1.599934,2.015293,1.609206,6.163813
0.020000,0.777245,3.821941,0.778803,1.640935,2.050029,1.736831,6.154806
0.020000,0.810600,3.817473,0.812457,1.682685,2.087528,1.874943,6.145176
0.020000,0.844753,3.812551,0.846962,1.725246,2.128006,2.023892,6.134876
0.020000,0.879709,3.807133,0.882336,1.768679,2.171684,2.183894,6.123859
0.020000,0.915476,3.801170,0.918597,1.813055,2.218781,2.354840,6.112072
0.020000,0.952062,3.794612,0.955766,1.858445,2.269504,2.536187,6.099460
0.020000,0.989472,3.787401,0.993864,1.904926,2.324040,2.726805,6.085962
0.020000,1.027710,3.779474,1.032916,1.952576,2.382535,2.924754,6.071512
0.020000,1.066781,3.770764,1.072945,2.001478,2.445075,3.126967,6.056043
0.020000,1.106684,3.761195,1.113979,2.051711,2.511654,3.328938,6.039480
0.020000,1.147417,3.750685,1.156047,2.103354,2.582138,3.524238,6.021744
0.020000,1.188974,3.739145,1.199176,2.156478,2.656219,3.704046,6.002755
0.020000,1.231344,3.726477,1.243399,2.211145,2.733349,3.856503,5.982426
0.020000,1.274508,3.712576,1.288747,2.267399,2.812671,3.966071,5.960669
0.020000,1.318442,3.697327,1.335252,2.325257,2.892929,4.012915,5.937396
0.020000,1.363110,3.680609,1.382946,2.384705,2.972376,3.972367,5.912519
0.020000,1.408464,3.662291,1.431860,2.445678,3.048670,3.814685,5.885952
0.020000,1.454442,3.642236,1.482021,2.508054,3.118777,3.505342,5.857619
0.020000,1.500963,3.620303,1.533453,2.571632,3.178902,3.006255,5.827452
0.020000,1.547929,3.596347,1.586176,2.636121,3.224467,2.278226,5.795402
0.020000,1.595217,3.570226,1.640198,2.701124,3.250169,1.285128,5.761439
0.020000,1.642679,3.541802,1.695521,2.766128,3.250170,0.000055,5.725563
0.020000,1.690142,3.510948,1.752131,2.830497,3.218439,-1.586583,5.687810
0.020000,1.737406,3.477556,1.810000,2.893482,3.149281,-3.457857,5.648255
