dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000029,3.138800,0.000061,0.006096,0.304800,15.240000,6.283183
0.020000,0.000267,3.138800,0.000299,0.011891,0.289761,-0.751973,6.283167
0.020000,0.000802,3.138800,0.000834,0.026754,0.743154,22.669651,6.283129
0.020000,0.001753,3.138800,0.001785,0.047560,1.040283,14.856484,6.283062
0.020000,0.003239,3.138800,0.003271,0.074304,1.337211,14.846367,6.282957
0.020000,0.005319,3.138799,0.005351,0.104009,1.485237,7.401298,6.282809
0.020000,0.007993,3.138798,0.008025,0.133697,1.484388,-0.042410,6.282618
0.020000,0.011261,3.138796,0.011293,0.163363,1.483296,-0.054640,6.282381
0.020000,0.015121,3.138792,0.015153,0.193002,1.481956,-0.066956,6.282097
0.020000,0.019573,3.138786,0.019605,0.222609,1.480369,-0.079384,6.281766
0.020000,0.024616,3.138778,0.024648,0.252180,1.478530,-0.091941,6.281384
0.020000,0.030250,3.138767,0.030282,0.281708,1.476437,-0.104659,6.280949
0.020000,0.036474,3.138751,0.036506,0.311190,1.474085,-0.117564,6.280459
0.020000,0.043287,3.138731,0.043319,0.340620,1.471472,-0.130681,6.279911
0.020000,0.050686,3.138704,0.050719,0.369991,1.468591,-0.144054,6.279301
0.020000,0.058672,3.138671,0.058705,0.399300,1.465437,-0.157709,6.278627
0.020000,0.067243,3.138628,0.067275,0.428540,1.462003,-0.171695,6.277883
0.020000,0.076397,3.138576,0.076429,0.457706,1.458282,-0.186050,6.277068
0.020000,0.086133,3.138512,0.086165,0.486791,1.454265,-0.200825,6.276175
0.020000,0.096448,3.138435,0.096481,0.515790,1.449944,-0.216080,6.275199
0.020000,0.107342,3.138342,0.107375,0.544696,1.445306,-0.231865,6.274137
0.020000,0.118811,3.138232,0.118845,0.573503,1.440341,-0.248253,6.272982
0.020000,0.130855,3.138102,0.130889,0.602204,1.435035,-0.265314,6.271729
0.020000,0.143469,3.137948,0.143505,0.630791,1.429372,-0.283131,6.270371
0.020000,0.156653,3.137770,0.156690,0.659258,1.423337,-0.301790,6.268901
0.020000,0.170404,3.137563,0.170442,0.687596,1.416909,-0.321388,6.267313
0.020000,0.184718,3.137323,0.184758,0.715797,1.410068,-0.342034,6.265598
0.020000,0.199592,3.137048,0.199635,0.743853,1.402791,-0.363845,6.263750
0.020000,0.215024,3.136733,0.215070,0.771754,1.395052,-0.386957,6.261758
0.020000,0.231010,3.136373,0.231060,0.799491,1.386822,-0.411498,6.259615
0.020000,0.247546,3.135964,0.247601,0.827052,1.378069,-0.437649,6.257310
0.020000,0.264628,3.135501,0.264689,0.854427,1.368758,-0.465559,6.254833
0.020000,0.282252,3.134978,0.282322,0.881604,1.358849,-0.495436,6.252173
0.020000,0.300414,3.134389,0.300493,0.908570,1.348300,-0.527484,6.249319
0.020000,0.319109,3.133727,0.319199,0.935311,1.337061,-0.561936,6.246258
0.020000,0.338331,3.132985,0.338435,0.961813,1.325080,-0.599039,6.242976
0.020000,0.358075,3.132157,0.358197,0.988059,1.312298,-0.639082,6.239460
0.020000,0.378334,3.131232,0.378477,1.014032,1.298651,-0.682362,6.235694
0.020000,0.399103,3.130204,0.399272,1.039713,1.284067,-0.729214,6.231663
0.020000,0.420374,3.129061,0.420573,1.065083,1.268467,-0.780012,6.227349
0.020000,0.442139,3.127794,0.442376,1.090118,1.251764,-0.835142,6.222733
0.020000,0.464391,3.126393,0.464671,1.114795,1.233863,-0.895050,6.217796
0.020000,0.487120,3.124845,0.487453,1.139088,1.214659,-0.960194,6.212516
0.020000,0.510317,3.123137,0.510713,1.162969,1.194037,-1.031097,6.206871
0.020000,0.533970,3.121257,0.534441,1.186406,1.171871,-1.108283,6.200836
0.020000,0.558069,3.119191,0.558628,1.209367,1.148024,-1.192342,6.194385
0.020000,0.582601,3.116922,0.583264,1.231814,1.122347,-1.283873,6.187489
0.020000,0.607551,3.114435,0.608338,1.253707,1.094677,-1.383517,6.180117
0.020000,0.632906,3.111712,0.633839,1.275004,1.064839,-1.491890,6.172237
0.020000,0.658647,3.108736,0.659752,1.295657,1.032646,-1.609635,6.163813
0.020000,0.684758,3.105486,0.686064,1.315615,0.997899,-1.737349,6.154806
0.020000,0.711218,3.101941,0.712760,1.334823,0.960389,-1.875526,6.145176
0.020000,0.738006,3.098081,0.739825,1.353221,0.919897,-2.024588,6.134876
0.020000,0.765098,3.093882,0.767240,1.370745,0.876203,-2.184708,6.123859
0.020000,0.792466,3.089320,0.794986,1.387327,0.829087,-2.355783,6.112072
0.020000,0.820084,3.084370,0.823044,1.402893,0.778341,-2.537290,6.099460
0.020000,0.847919,3.079005,0.851392,1.417369,0.723779,-2.728100,6.085962
0.020000,0.875937,3.073198,0.880005,1.430674,0.665254,-2.926258,6.071512
0.020000,0.904100,3.066920,0.908860,1.442728,0.602680,-3.128722,6.056043
0.020000,0.932368,3.060142,0.937929,1.453449,0.536060,-3.330970,6.039480
0.020000,0.960696,3.052833,0.967184,1.462759,0.465528,-3.526603,6.021744
0.020000,0.989035,3.044965,0.996596,1.470587,0.391393,-3.706773,6.002755
0.020000,1.017335,3.036505,1.026133,1.476871,0.314200,-3.859625,5.982426
0.020000,1.045541,3.027422,1.055764,1.481567,0.234808,-3.969631,5.960669
0.020000,1.073593,3.017688,1.085457,1.484657,0.154469,-4.016939,5.937396
0.020000,1.101430,3.007270,1.115181,1.486155,0.074932,-3.976856,5.912519
0.020000,1.128990,2.996140,1.144903,1.486126,-0.001460,-3.819608,5.885952
0.020000,1.156208,2.984270,1.174597,1.484693,-0.071673,-3.510650,5.857619
0.020000,1.183020,2.971632,1.204238,1.482055,-0.131910,-3.011825,5.827452
0.020000,1.209362,2.958198,1.233808,1.478503,-0.177587,-2.283861,5.795402
0.020000,1.235176,2.943942,1.263297,1.474435,-0.203398,-1.290547,5.761439
0.020000,1.260406,2.928834,1.292704,1.470365,-0.203496,-0.004897,5.725563
0.020000,1.285005,2.912846,1.322043,1.466928,-0.171840,1.582793,5.687810
0.020000,1.308935,2.895942,1.351340,1.464874,-0.102727,3.455648,5.648255
0.020000,1.332164,2.878084,1.380641,1.465044,0.008500,5.561352,5.607023
0.020000,1.354674,2.859223,1.410008,1.468336,0.164623,7.806167,5.564286
0.020000,1.376452,2.839305,1.439521,1.475651,0.365723,10.054983,5.520267
0.020000,1.397493,2.818264,1.469277,1.487821,0.608525,12.140117,5.475234
0.020000,1.417795,2.796027,1.499388,1.505544,0.886124,13.879929,5.429495
0.020000,1.437359,2.772516,1.529974,1.529308,1.188230,15.105319,5.383384
0.020000,1.456179,2.747647,1.561161,1.559348,1.502006,15.688808,5.337250
0.020000,1.474246,2.721342,1.593073,1.595616,1.813381,15.568752,5.291435
0.020000,1.491542,2.693525,1.625829,1.637788,2.108612,14.761534,5.246269
0.020000,1.508043,2.664134,1.659535,1.685304,2.375773,13.358066,5.202045
0.020000,1.523715,2.633121,1.694284,1.737421,2.605883,11.505499,5.159019
0.020000,1.538523,2.600454,1.730150,1.793291,2.793487,9.380166,5.117399
0.020000,1.552425,2.566122,1.767190,1.852024,2.936664,7.158875,5.077343
0.020000,1.565381,2.530127,1.805445,1.912756,3.036577,4.995660,5.038962
0.020000,1.577354,2.492492,1.844939,1.974690,3.096730,3.007614,5.002322
0.020000,1.588310,2.453250,1.885682,2.037133,3.122131,1.270070,4.967451
0.020000,1.598211,2.412493,1.927624,2.097110,2.998843,-6.164382,4.934382
0.020000,1.607019,2.370374,1.970655,2.151556,2.722316,-13.826373,4.903146
0.020000,1.614716,2.327056,2.014651,2.199816,2.413003,-15.465645,4.873738
0.020000,1.621298,2.282714,2.059479,2.241381,2.078220,-16.739150,4.846124
0.020000,1.626775,2.237527,2.104996,2.275873,1.724637,-17.679156,4.820251
0.020000,1.631177,2.191626,2.151109,2.305611,1.486878,-11.887957,4.796025
0.020000,1.634540,2.145084,2.197772,2.333152,1.377042,-5.491795,4.773323
0.020000,1.636905,2.097971,2.244944,2.358608,1.272833,-5.210463,4.752030
0.020000,1.638311,2.050350,2.292586,2.382110,1.175054,-4.888944,4.732038
0.020000,1.638799,2.002276,2.340662,2.403791,1.084061,-4.549616,4.713247
0.020000,1.639310,1.941420,2.401520,3.042907,31.955817,1543.587776,4.729967
0.020000,1.641008,1.879414,2.463550,3.101480,2.928648,-1451.358452,4.749808
0.020000,1.644012,1.816892,2.526144,3.129704,1.411196,-75.872593,4.771213
0.020000,1.648450,1.753827,2.589365,3.161052,1.567383,7.809336,4.794354
0.020000,1.654467,1.690242,2.653233,3.193434,1.619127,2.587206,4.819404
0.020000,1.662211,1.626239,2.717703,3.223502,1.503383,-5.787215,4.846522
0.020000,1.671837,1.561953,2.782706,3.250152,1.332492,-8.544550,4.875855
0.020000,1.683501,1.497535,2.848171,3.273243,1.154579,-8.895635,4.907544
0.020000,1.697359,1.433161,2.914020,3.292462,0.960917,-9.683102,4.941713
0.020000,1.713577,1.368980,2.980219,3.309908,0.872334,-4.429121,4.978484
0.020000,1.732336,1.305100,3.046796,3.328849,0.947039,3.735230,5.017993
0.020000,1.753828,1.241644,3.113793,3.349847,1.049917,5.143924,5.060354
0.020000,1.778240,1.178778,3.181232,3.371978,1.106542,2.831245,5.105631
0.020000,1.805739,1.116719,3.249111,3.393930,1.097611,-0.446561,5.153813
0.020000,1.836462,1.055742,3.317390,3.413983,1.002607,-4.750206,5.204796
0.020000,1.870489,0.996175,3.385991,3.430036,0.802687,-9.995995,5.258357
0.020000,1.907827,0.938395,3.454786,3.439732,0.484802,-15.894243,5.314145
0.020000,1.948390,0.882808,3.523599,3.440661,0.046420,-21.919133,5.371673
0.020000,1.991986,0.829826,3.592212,3.430651,-0.500509,-27.346423,5.430336
0.020000,2.038321,0.779834,3.660374,3.408089,-1.128063,-31.377728,5.489438
0.020000,2.087004,0.733158,3.727818,3.372194,-1.794758,-33.334720,5.548239
0.020000,2.137579,0.690036,3.794281,3.323156,-2.451899,-32.857035,5.606012
0.020000,2.189554,0.650601,3.859523,3.262111,-3.052265,-30.018307,5.662090
0.020000,2.242438,0.614878,3.923342,3.190944,-3.558340,-25.303771,5.715913
0.020000,2.295771,0.582795,3.985582,3.111993,-3.947542,-19.460076,5.767049
0.020000,2.349146,0.554194,4.046136,3.027727,-4.213308,-13.288322,5.815205
0.020000,2.402220,0.528862,4.104946,2.940475,-4.362611,-7.465134,5.860214
0.020000,2.454719,0.506547,4.161991,2.852245,-4.411497,-2.444312,5.902024
0.020000,2.506435,0.486982,4.217283,2.764637,-4.380372,1.556242,5.940668
0.020000,2.557214,0.469896,4.270860,2.678834,-4.290171,4.510081,5.976248
0.020000,2.606952,0.455029,4.322773,2.595637,-4.159862,6.515447,6.008907
0.020000,2.655582,0.442135,4.373084,2.515533,-4.005208,7.732696,6.038817
0.020000,2.703067,0.430989,4.421859,2.438764,-3.838450,8.337908,6.066163
0.020000,2.749390,0.421386,4.469167,2.365393,-3.668551,8.494937,6.091134
0.020000,2.794551,0.413142,4.515074,2.295358,-3.501711,8.341971,6.113913
