dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000030,3.500000,0.000061,0.006096,0.304800,15.240000,6.283183
0.020000,0.000274,3.500000,0.000305,0.018288,0.609600,15.240000,6.283167
0.020000,0.000822,3.500000,0.000853,0.036576,0.914400,15.240000,6.283129
0.020000,0.001798,3.500000,0.001829,0.060960,1.219200,15.240000,6.283062
0.020000,0.003322,3.500000,0.003353,0.091440,1.524000,15.240000,6.282957
0.020000,0.005455,3.499999,0.005486,0.121920,1.524000,-0.000000,6.282809
0.020000,0.008198,3.499998,0.008230,0.152400,1.524000,0.000000,6.282618
0.020000,0.011551,3.499995,0.011582,0.182880,1.524000,-0.000000,6.282381
0.020000,0.015514,3.499992,0.015545,0.213360,1.524000,0.000000,6.282097
0.020000,0.020086,3.499986,0.020117,0.243840,1.524000,-0.000000,6.281766
0.020000,0.025267,3.499978,0.025298,0.274320,1.524000,0.000000,6.281384
0.020000,0.031058,3.499966,0.031090,0.304800,1.524000,-0.000000,6.280949
0.020000,0.037459,3.499950,0.037490,0.335280,1.524000,0.000000,6.280459
0.020000,0.044469,3.499929,0.044501,0.365760,1.524000,-0.000000,6.279911
0.020000,0.052089,3.499902,0.052121,0.396240,1.524000,0.000000,6.279301
0.020000,0.060319,3.499867,0.060350,0.426720,1.524000,0.000000,6.278627
0.020000,0.069158,3.499823,0.069190,0.457200,1.524000,0.000000,6.277883
0.020000,0.078607,3.499769,0.078638,0.487680,1.524000,-0.000000,6.277068
0.020000,0.088665,3.499703,0.088697,0.518160,1.524000,0.000000,6.276175
0.020000,0.099333,3.499624,0.099365,0.548640,1.524000,0.000000,6.275199
0.020000,0.110610,3.499527,0.110642,0.579120,1.524000,-0.000000,6.274137
0.020000,0.122496,3.499413,0.122530,0.609600,1.524000,0.000000,6.272982
0.020000,0.134992,3.499278,0.135026,0.640080,1.524000,-0.000000,6.271729
0.020000,0.148098,3.499119,0.148133,0.670560,1.524000,0.000000,6.270371
0.020000,0.161813,3.498933,0.161849,0.701040,1.524000,-0.000000,6.268901
0.020000,0.176137,3.498717,0.176174,0.731520,1.524000,0.000000,6.267313
0.020000,0.191070,3.498467,0.191110,0.762000,1.524000,0.000000,6.265598
0.020000,0.206612,3.498180,0.206654,0.792480,1.524000,-0.000000,6.263750
0.020000,0.222763,3.497850,0.222809,0.822960,1.524000,0.000000,6.261758
0.020000,0.239523,3.497473,0.239573,0.853440,1.524000,0.000000,6.259615
0.020000,0.256891,3.497043,0.256946,0.883920,1.524000,0.000000,6.257310
0.020000,0.274868,3.496556,0.274930,0.914400,1.524000,0.000000,6.254833
0.020000,0.293452,3.496004,0.293522,0.944880,1.524000,-0.000000,6.252173
0.020000,0.312644,3.495382,0.312725,0.975360,1.524000,0.000000,6.249319
0.020000,0.332444,3.494681,0.332537,1.005840,1.524000,0.000000,6.246258
0.020000,0.352850,3.493894,0.352958,1.036320,1.524000,0.000000,6.242976
0.020000,0.373863,3.493011,0.373990,1.066800,1.524000,0.000000,6.239460
0.020000,0.395481,3.492025,0.395630,1.097280,1.524000,0.000000,6.235694
0.020000,0.417705,3.490924,0.417881,1.127760,1.524000,-0.000000,6.231663
0.020000,0.440532,3.489698,0.440741,1.158240,1.524000,0.000000,6.227349
0.020000,0.463962,3.488335,0.464210,1.188720,1.524000,-0.000000,6.222733
0.020000,0.487993,3.486821,0.488290,1.219200,1.524000,0.000000,6.217796
0.020000,0.512625,3.485143,0.512978,1.249680,1.524000,-0.000000,6.212516
0.020000,0.537855,3.483286,0.538277,1.280160,1.524000,0.000000,6.206871
0.020000,0.563681,3.481233,0.564185,1.310640,1.524000,-0.000000,6.200836
0.020000,0.590102,3.478968,0.590702,1.341120,1.524000,0.000000,6.194385
0.020000,0.617114,3.476469,0.617830,1.371600,1.524000,-0.000000,6.187489
0.020000,0.644714,3.473718,0.645566,1.402080,1.524000,0.000000,6.180117
0.020000,0.672898,3.470691,0.673913,1.432560,1.524000,0.000000,6.172237
0.020000,0.701662,3.467365,0.702869,1.463040,1.524000,-0.000000,6.163813
0.020000,0.731001,3.463713,0.732434,1.493520,1.524000,0.000000,6.154806
0.020000,0.760909,3.459707,0.762610,1.524000,1.524000,-0.000000,6.145176
0.020000,0.791379,3.455316,0.793394,1.554480,1.524000,0.000000,6.134876
0.020000,0.822403,3.450508,0.824789,1.584960,1.524000,0.000000,6.123859
0.020000,0.853971,3.445245,0.856793,1.615440,1.524000,0.000000,6.112072
0.020000,0.886073,3.439491,0.889406,1.645920,1.524000,-0.000000,6.099460
0.020000,0.918696,3.433203,0.922630,1.676400,1.524000,0.000000,6.085962
0.020000,0.951824,3.426336,0.956462,1.706880,1.524000,0.000000,6.071512
0.020000,0.985441,3.418842,0.990905,1.737360,1.524000,-0.000000,6.056043
0.020000,1.019526,3.410668,1.025957,1.767840,1.524000,0.000000,6.039480
0.020000,1.054056,3.401759,1.061618,1.798320,1.524000,-0.000000,6.021744
0.020000,1.089005,3.392055,1.097890,1.828800,1.524000,0.000000,6.002755
0.020000,1.124339,3.381491,1.134770,1.859280,1.524000,-0.000000,5.982426
0.020000,1.160024,3.369999,1.172261,1.889760,1.524000,0.000000,5.960669
0.020000,1.196017,3.357508,1.210361,1.920240,1.524000,0.000000,5.937396
0.020000,1.232270,3.343940,1.249070,1.950720,1.524000,0.000000,5.912519
0.020000,1.268727,3.329216,1.288390,1.981200,1.524000,0.000000,5.885952
0.020000,1.305325,3.313253,1.328318,2.011680,1.524000,-0.000000,5.857619
0.020000,1.341992,3.295967,1.368857,2.042160,1.524000,0.000000,5.827452
0.020000,1.378646,3.277273,1.410005,2.072640,1.524000,-0.000000,5.795402
0.020000,1.415196,3.257084,1.451762,2.103120,1.524000,0.000000,5.761439
0.020000,1.451542,3.235318,1.494130,2.133600,1.524000,-0.000000,5.725563
0.020000,1.487574,3.211897,1.537106,2.164080,1.524000,0.000000,5.687810
0.020000,1.523170,3.186749,1.580693,2.194560,1.524000,-0.000000,5.648255
0.020000,1.558205,3.159813,1.624889,2.225040,1.524000,0.000000,5.607023
0.020000,1.592545,3.131037,1.669694,2.255520,1.524000,0.000000,5.564286
0.020000,1.626053,3.100388,1.715110,2.286000,1.524000,0.000000,5.520267
0.020000,1.658594,3.067846,1.761134,2.316480,1.524000,-0.000000,5.475234
0.020000,1.690036,3.033410,1.807769,2.346960,1.524000,0.000000,5.429495
0.020000,1.720252,2.997098,1.855013,2.377440,1.524000,0.000000,5.383384
0.020000,1.749128,2.958944,1.902866,2.407920,1.524000,0.000000,5.337250
0.020000,1.776565,2.919000,1.951330,2.438400,1.524000,-0.000000,5.291435
0.020000,1.802477,2.877331,2.000402,2.468880,1.524000,0.000000,5.246269
0.020000,1.826800,2.834015,2.050085,2.499360,1.524000,0.000000,5.202045
0.020000,1.849485,2.789134,2.100377,2.529840,1.524000,0.000000,5.159019
0.020000,1.870501,2.742777,2.151278,2.560320,1.524000,0.000000,5.117399
0.020000,1.889836,2.695036,2.202790,2.590800,1.524000,-0.000000,5.077343
0.020000,1.907491,2.646000,2.254910,2.621280,1.524000,0.000000,5.038962
0.020000,1.923479,2.595755,2.307641,2.651760,1.524000,0.000000,5.002322
0.020000,1.937825,2.544383,2.360981,2.682240,1.524000,0.000000,4.967451
0.020000,1.950547,2.492020,2.414869,2.706624,1.219200,-15.240000,4.934382
0.020000,1.961667,2.438858,2.469185,2.724912,0.914400,-15.240000,4.903146
0.020000,1.971225,2.385082,2.523805,2.737104,0.609600,-15.240000,4.873738
0.020000,1.979273,2.330875,2.578608,2.743200,0.304800,-15.240000,4.846124
0.020000,1.985876,2.276412,2.633472,2.743200,0.000000,-15.240000,4.820251
0.020000,1.991114,2.221800,2.688336,2.743200,0.000000,0.000000,4.796025
0.020000,1.995070,2.167079,2.743200,2.743200,0.000000,0.000000,4.773323
0.020000,1.997821,2.112286,2.798064,2.743200,0.000000,0.000000,4.752030
0.020000,1.999442,2.057446,2.852928,2.743200,0.000000,0.000000,4.732038
0.020000,1.999999,2.002586,2.907792,2.743200,0.000000,0.000000,4.713247
0.020000,2.000454,1.947769,2.962656,2.743200,0.000000,0.000000,4.729967
0.020000,2.001955,1.892927,3.017520,2.743200,0.000000,0.000000,4.749808
0.020000,2.004587,1.838127,3.072384,2.743200,0.000000,0.000000,4.771213
0.020000,2.008438,1.783399,3.127248,2.743200,0.000000,0.000000,4.794354
0.020000,2.013601,1.728822,3.182070,2.739002,-0.209907,-10.495326,4.819404
0.020000,2.020167,1.674543,3.236747,2.728708,-0.514707,-15.240000,4.846522
0.020000,2.028222,1.620734,3.291157,2.712318,-0.819507,-15.240000,4.875855
0.020000,2.037844,1.567579,3.345179,2.689831,-1.124307,-15.240000,4.907544
0.020000,2.049103,1.515268,3.398690,2.661249,-1.429107,-15.240000,4.941713
0.020000,2.062065,1.463963,3.451610,2.630769,-1.524000,-4.744674,4.978484
0.020000,2.076800,1.413774,3.503920,2.600289,-1.524000,0.000000,5.017993
0.020000,2.093381,1.364808,3.555621,2.569809,-1.524000,-0.000000,5.060354
0.020000,2.111870,1.317184,3.606713,2.539329,-1.524000,0.000000,5.105631
0.020000,2.132316,1.271034,3.657195,2.508849,-1.524000,0.000000,5.153813
0.020000,2.154750,1.226499,3.707067,2.478369,-1.524000,0.000000,5.204796
0.020000,2.179179,1.183726,3.756329,2.447889,-1.524000,0.000000,5.258357
0.020000,2.205579,1.142867,3.804982,2.417409,-1.524000,-0.000000,5.314145
0.020000,2.233893,1.104061,3.853026,2.386929,-1.524000,0.000000,5.371673
0.020000,2.264027,1.067438,3.900460,2.356449,-1.524000,0.000000,5.430336
0.020000,2.295851,1.033100,3.947284,2.325969,-1.524000,0.000000,5.489438
0.020000,2.329205,1.001121,3.993498,2.295489,-1.524000,-0.000000,5.548239
0.020000,2.363904,0.971536,4.039103,2.265009,-1.524000,0.000000,5.606012
0.020000,2.399746,0.944344,4.084099,2.234529,-1.524000,-0.000000,5.662090
0.020000,2.436523,0.919504,4.128484,2.204049,-1.524000,0.000000,5.715913
0.020000,2.474032,0.896942,4.172261,2.173569,-1.524000,0.000000,5.767049
0.020000,2.512078,0.876558,4.215427,2.143089,-1.524000,0.000000,5.815205
0.020000,2.550482,0.858230,4.257984,2.112609,-1.524000,-0.000000,5.860214
0.020000,2.589085,0.841825,4.299932,2.082129,-1.524000,0.000000,5.902024
0.020000,2.627747,0.827201,4.341269,2.051649,-1.524000,-0.000000,5.940668
0.020000,2.666347,0.814215,4.381998,2.021169,-1.524000,0.000000,5.976248
0.020000,2.704784,0.802728,4.422116,1.990689,-1.524000,-0.000000,6.008907
0.020000,2.742972,0.792604,4.461625,1.960209,-1.524000,0.000000,6.038817
0.020000,2.780842,0.783716,4.500525,1.929729,-1.524000,-0.000000,6.066163
0.020000,2.818333,0.775945,4.538814,1.899249,-1.524000,0.000000,6.091134
0.020000,2.855401,0.769180,4.576495,1.868769,-1.524000,0.000000,6.113913
0.020000,2.892004,0.763320,4.613565,1.838289,-1.524000,-0.000000,6.134679
0.020000,2.928113,0.758271,4.650026,1.807809,-1.524000,0.000000,6.153598
0.020000,2.963703,0.753948,4.685877,1.777329,-1.524000,-0.000000,6.170824
0.020000,2.998752,0.750275,4.721119,1.746849,-1.524000,0.000000,6.186500
0.020000,3.033246,0.747180,4.755751,1.716369,-1.524000,0.000000,6.200756
0.020000,3.067170,0.744602,4.789774,1.685889,-1.524000,0.000000,6.213711
0.020000,3.100516,0.742481,4.823187,1.655409,-1.524000,-0.000000,6.225473
0.020000,3.133274,0.740766,4.855990,1.624929,-1.524000,0.000000,6.236140
0.020000,3.165439,0.739409,4.888184,1.594449,-1.524000,0.000000,6.245800
0.020000,3.197006,0.738368,4.919768,1.563969,-1.524000,-0.000000,6.254533
0.020000,3.227971,0.737605,4.950743,1.533489,-1.524000,0.000000,6.262413
