dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.914410,7.010400,0.000068,0.006773,0.338667,16.933333,0.000000
0.020000,0.914681,7.010400,0.000339,0.020320,0.677333,16.933333,0.000000
0.020000,0.915290,7.010400,0.000948,0.040640,1.016000,16.933333,0.000000
0.020000,0.916374,7.010400,0.002032,0.067733,1.354667,16.933333,0.000000
0.020000,0.918067,7.010400,0.003725,0.101600,1.693333,16.933333,0.000000
0.020000,0.920506,7.010400,0.006164,0.142240,2.032000,16.933333,0.000000
0.020000,0.923825,7.010400,0.009483,0.189653,2.370667,16.933333,0.000000
0.020000,0.928160,7.010400,0.013818,0.243840,2.709333,16.933333,0.000000
0.020000,0.933646,7.010400,0.019304,0.304800,3.048000,16.933333,0.000000
0.020000,0.940352,7.010400,0.026010,0.365760,3.048000,-0.000000,0.000000
0.020000,0.948276,7.010400,0.033934,0.426720,3.048000,0.000000,0.000000
0.020000,0.957420,7.010400,0.043078,0.487680,3.048000,-0.000000,0.000000
0.020000,0.967784,7.010400,0.053442,0.548640,3.048000,0.000000,0.000000
0.020000,0.979366,7.010400,0.065024,0.609600,3.048000,0.000000,0.000000
0.020000,0.992168,7.010400,0.077826,0.670560,3.048000,-0.000000,0.000000
0.020000,1.006188,7.010400,0.091846,0.731520,3.048000,-0.000000,0.000000
0.020000,1.021428,7.010400,0.107086,0.792480,3.048000,0.000000,0.000000
0.020000,1.037888,7.010400,0.123546,0.853440,3.048000,-0.000000,0.000000
0.020000,1.055566,7.010400,0.141224,0.914400,3.048000,-0.000000,0.000000
0.020000,1.074464,7.010400,0.160122,0.975360,3.048000,0.000000,0.000000
0.020000,1.094580,7.010400,0.180238,1.036320,3.048000,0.000000,0.000000
0.020000,1.115916,7.010400,0.201574,1.097280,3.048000,-0.000000,0.000000
0.020000,1.138472,7.010400,0.224130,1.158240,3.048000,0.000000,0.000000
0.020000,1.162246,7.010400,0.247904,1.219200,3.048000,0.000000,0.000000
0.020000,1.187240,7.010400,0.272898,1.280160,3.048000,-0.000000,0.000000
0.020000,1.213452,7.010400,0.299110,1.341120,3.048000,0.000000,0.000000
0.020000,1.240884,7.010400,0.326542,1.402080,3.048000,-0.000000,0.000000
0.020000,1.269536,7.010400,0.355194,1.463040,3.048000,0.000000,0.000000
0.020000,1.299406,7.010400,0.385064,1.524000,3.048000,0.000000,0.000000
0.020000,1.330496,7.010400,0.416154,1.584960,3.048000,0.000000,0.000000
0.020000,1.362804,7.010400,0.448462,1.645920,3.048000,-0.000000,0.000000
0.020000,1.396332,7.010400,0.481990,1.706880,3.048000,0.000000,0.000000
0.020000,1.431080,7.010400,0.516738,1.767840,3.048000,-0.000000,0.000000
0.020000,1.467046,7.010400,0.552704,1.828800,3.048000,0.000000,0.000000
0.020000,1.504232,7.010400,0.589890,1.889760,3.048000,-0.000000,0.000000
0.020000,1.542636,7.010400,0.628294,1.950720,3.048000,0.000000,0.000000
0.020000,1.582260,7.010400,0.667918,2.011680,3.048000,0.000000,0.000000
0.020000,1.623104,7.010400,0.708762,2.072640,3.048000,-0.000000,0.000000
0.020000,1.665166,7.010400,0.750824,2.133600,3.048000,0.000000,0.000000
0.020000,1.708448,7.010400,0.794106,2.194560,3.048000,-0.000000,0.000000
0.020000,1.752948,7.010400,0.838606,2.255520,3.048000,0.000000,0.000000
0.020000,1.798668,7.010400,0.884326,2.316480,3.048000,0.000000,0.000000
0.020000,1.845608,7.010400,0.931266,2.377440,3.048000,0.000000,0.000000
0.020000,1.893766,7.010400,0.979424,2.438400,3.048000,0.000000,0.000000
0.020000,1.943144,7.010400,1.028802,2.499360,3.048000,-0.000000,0.000000
0.020000,1.993740,7.010400,1.079398,2.560320,3.048000,0.000000,0.000000
0.020000,2.045556,7.010400,1.131214,2.621280,3.048000,-0.000000,0.000000
0.020000,2.098592,7.010400,1.184250,2.682240,3.048000,0.000000,0.000000
0.020000,2.152846,7.010400,1.238504,2.743200,3.048000,-0.000000,0.000000
0.020000,2.208320,7.010400,1.293978,2.804160,3.048000,0.000000,0.000000
0.020000,2.265012,7.010400,1.350670,2.865120,3.048000,-0.000000,0.000000
0.020000,2.322924,7.010400,1.408582,2.926080,3.048000,0.000000,0.000000
0.020000,2.382056,7.010400,1.467714,2.987040,3.048000,-0.000000,0.000000
0.020000,2.442406,7.010400,1.528064,3.048000,3.048000,0.000000,0.000000
0.020000,2.503976,7.010400,1.589634,3.108960,3.048000,0.000000,0.000000
0.020000,2.566697,7.010400,1.652355,3.163147,2.709333,-16.933333,0.000000
0.020000,2.630434,7.010400,1.716092,3.210560,2.370667,-16.933333,0.000000
0.020000,2.695051,7.010400,1.780709,3.251200,2.032000,-16.933333,0.000000
0.020000,2.760414,7.010400,1.846072,3.285067,1.693333,-16.933333,0.000000
0.020000,2.826386,7.010400,1.912044,3.312160,1.354667,-16.933333,0.000000
0.020000,2.892833,7.010400,1.978491,3.332480,1.016000,-16.933333,0.000000
0.020000,2.959618,7.010400,2.045276,3.346027,0.677333,-16.933333,0.000000
0.020000,3.026606,7.010400,2.112264,3.352800,0.338667,-16.933333,0.000000
0.020000,3.093662,7.010400,2.179320,3.352800,0.000000,-16.933333,0.000000
0.020000,3.160718,7.010400,2.246376,3.352800,0.000000,0.000000,0.000000
0.020000,3.227774,7.010400,2.313432,3.352800,0.000000,0.000000,0.000000
0.020000,3.294830,7.010400,2.380488,3.352800,0.000000,0.000000,0.000000
0.020000,3.361886,7.010400,2.447544,3.352800,0.000000,0.000000,0.000000
0.020000,3.428942,7.010400,2.514600,3.352800,0.000000,0.000000,0.000000
0.020000,3.495998,7.010400,2.581656,3.352800,0.000000,0.000000,0.000000
0.020000,3.563054,7.010400,2.648712,3.352800,0.000000,0.000000,0.000000
0.020000,3.630110,7.010400,2.715768,3.352800,0.000000,0.000000,0.000000
0.020000,3.697166,7.010400,2.782824,3.352800,0.000000,0.000000,0.000000
0.020000,3.764222,7.010400,2.849880,3.352800,0.000000,0.000000,0.000000
0.020000,3.831278,7.010400,2.916936,3.352800,0.000000,0.000000,0.000000
0.020000,3.898334,7.010400,2.983992,3.352800,0.000000,0.000000,0.000000
0.020000,3.965390,7.010400,3.051048,3.352800,0.000000,0.000000,0.000000
0.020000,4.032446,7.010400,3.118104,3.352800,0.000000,0.000000,0.000000
0.020000,4.099502,7.010400,3.185160,3.352800,0.000000,0.000000,0.000000
0.020000,4.166558,7.010400,3.252216,3.352800,0.000000,0.000000,0.000000
0.020000,4.233614,7.010400,3.319272,3.352800,0.000000,0.000000,0.000000
0.020000,4.300670,7.010400,3.386328,3.352800,0.000000,0.000000,0.000000
0.020000,4.367726,7.010400,3.453384,3.352800,0.000000,0.000000,0.000000
0.020000,4.434782,7.010400,3.520440,3.352800,0.000000,0.000000,0.000000
0.020000,4.501838,7.010400,3.587496,3.352800,0.000000,0.000000,0.000000
0.020000,4.568894,7.010400,3.654552,3.352800,0.000000,0.000000,0.000000
0.020000,4.635950,7.010400,3.721608,3.352800,0.000000,0.000000,0.000000
0.020000,4.703006,7.010400,3.788664,3.352800,0.000000,0.000000,0.000000
0.020000,4.770062,7.010400,3.855720,3.352800,0.000000,0.000000,0.000000
0.020000,4.837118,7.010400,3.922776,3.352800,0.000000,0.000000,0.000000
0.020000,4.904174,7.010400,3.989832,3.352800,0.000000,0.000000,0.000000
0.020000,4.971230,7.010400,4.056888,3.352800,0.000000,0.000000,0.000000
0.020000,5.038286,7.010400,4.123944,3.352800,0.000000,0.000000,0.000000
0.020000,5.105342,7.010400,4.191000,3.352800,0.000000,0.000000,0.000000
0.020000,5.172398,7.010400,4.258056,3.352800,0.000000,0.000000,0.000000
0.020000,5.239454,7.010400,4.325112,3.352800,0.000000,0.000000,0.000000
0.020000,5.306510,7.010400,4.392168,3.352800,0.000000,0.000000,0.000000
0.020000,5.373566,7.010400,4.459224,3.352800,0.000000,0.000000,0.000000
0.020000,5.440622,7.010400,4.526280,3.352800,0.000000,0.000000,0.000000
0.020000,5.507678,7.010400,4.593336,3.352800,0.000000,0.000000,0.000000
0.020000,5.574734,7.010400,4.660392,3.352800,0.000000,0.000000,0.000000
0.020000,5.641790,7.010400,4.727448,3.352800,0.000000,0.000000,0.000000
0.020000,5.708788,7.010400,4.794446,3.347034,-0.288289,-14.414472,0.000000
0.020000,5.775604,7.010400,4.861262,3.334495,-0.626956,-16.933333,0.000000
0.020000,5.842101,7.010400,4.927758,3.315183,-0.965623,-16.933333,0.000000
0.020000,5.908143,7.010400,4.993801,3.289097,-1.304289,-16.933333,0.000000
0.020000,5.973597,7.010400,5.059255,3.256238,-1.642956,-16.933333,0.000000
0.020000,6.038325,7.010400,5.123983,3.216605,-1.981623,-16.933333,0.000000
0.020000,6.102193,7.010400,5.187851,3.170199,-2.320289,-16.933333,0.000000
0.020000,6.165065,7.010400,5.250723,3.117020,-2.658956,-16.933333,0.000000
0.020000,6.226806,7.010400,5.312464,3.057068,-2.997623,-16.933333,0.000000
0.020000,6.287338,7.010400,5.372996,2.996108,-3.048000,-2.518861,0.000000
0.020000,6.346651,7.010400,5.432308,2.935148,-3.048000,0.000000,0.000000
0.020000,6.404744,7.010400,5.490402,2.874188,-3.048000,-0.000000,0.000000
0.020000,6.461618,7.010400,5.547276,2.813228,-3.048000,0.000000,0.000000
0.020000,6.517273,7.010400,5.602931,2.752268,-3.048000,-0.000000,0.000000
0.020000,6.571709,7.010400,5.657367,2.691308,-3.048000,0.000000,0.000000
0.020000,6.624925,7.010400,5.710583,2.630348,-3.048000,0.000000,0.000000
0.020000,6.676923,7.010400,5.762581,2.569388,-3.048000,-0.000000,0.000000
0.020000,6.727688,7.010205,5.813359,2.508428,-3.048000,0.000000,6.265498
0.020000,6.777208,7.008323,5.862918,2.447468,-3.048000,0.000000,6.224615
0.020000,6.825393,7.004501,5.911257,2.386508,-3.048000,0.000000,6.183231
0.020000,6.872168,6.998830,5.958378,2.325548,-3.048000,-0.000000,6.141603
0.020000,6.917462,6.991413,6.004279,2.264588,-3.048000,0.000000,6.099998
0.020000,6.961217,6.982371,6.048962,2.203628,-3.048000,-0.000000,6.058690
0.020000,7.003381,6.971836,6.092424,2.142668,-3.048000,0.000000,6.017943
0.020000,7.043915,6.959952,6.134668,2.081708,-3.048000,-0.000000,5.978008
0.020000,7.082795,6.946868,6.175693,2.020748,-3.048000,0.000000,5.939109
0.020000,7.120005,6.932738,6.215498,1.959788,-3.048000,0.000000,5.901440
0.020000,7.155545,6.917716,6.254084,1.898828,-3.048000,-0.000000,5.865161
0.020000,7.189423,6.901955,6.291451,1.837868,-3.048000,0.000000,5.830395
0.020000,7.221659,6.885603,6.327599,1.776908,-3.048000,-0.000000,5.797232
0.020000,7.252281,6.868805,6.362528,1.715948,-3.048000,-0.000000,5.765728
0.020000,7.281324,6.851694,6.396237,1.654988,-3.048000,-0.000000,5.735911
0.020000,7.308826,6.834398,6.428727,1.594028,-3.048000,0.000000,5.707783
0.020000,7.334833,6.817035,6.459998,1.533068,-3.048000,0.000000,5.681326
0.020000,7.359389,6.799713,6.490050,1.472108,-3.048000,0.000000,5.656507
0.020000,7.382544,6.782533,6.518882,1.411148,-3.048000,-0.000000,5.633280
0.020000,7.404344,6.765586,6.546496,1.350188,-3.048000,0.000000,5.611592
0.020000,7.424838,6.748954,6.572890,1.289228,-3.048000,-0.000000,5.591381
0.020000,7.444073,6.732712,6.598065,1.228268,-3.048000,0.000000,5.572585
0.020000,7.462093,6.716928,6.622021,1.167308,-3.048000,0.000000,5.555140
0.020000,7.478942,6.701662,6.644757,1.106348,-3.048000,0.000000,5.538981
0.020000,7.494661,6.686968,6.666275,1.045388,-3.048000,-0.000000,5.524047
0.020000,7.509288,6.672896,6.686573,0.984428,-3.048000,-0.000000,5.510277
0.020000,7.522862,6.659488,6.705652,0.923468,-3.048000,0.000000,5.497615
0.020000,7.535414,6.646784,6.723511,0.862508,-3.048000,-0.000000,5.486006
0.020000,7.546978,6.634818,6.740152,0.801548,-3.048000,0.000000,5.475400
0.020000,7.557582,6.623620,6.755573,0.740588,-3.048000,0.000000,5.465751
0.020000,7.567252,6.613219,6.769775,0.679628,-3.048000,0.000000,5.457018
0.020000,7.576013,6.603638,6.782758,0.618668,-3.048000,0.000000,5.449160
0.020000,7.583886,6.594897,6.794522,0.557708,-3.048000,0.000000,5.442143
0.020000,7.590891,6.587016,6.805067,0.496748,-3.048000,0.000000,5.435936
0.020000,7.597046,6.580010,6.814392,0.435788,-3.048000,-0.000000,5.430511
0.020000,7.602366,6.573894,6.822498,0.374828,-3.048000,-0.000000,5.425845
0.020000,7.606863,6.568677,6.829385,0.313868,-3.048000,0.000000,5.421916
0.020000,7.610548,6.564372,6.835053,0.252908,-3.048000,0.000000,5.418706
0.020000,7.613468,6.560940,6.839559,0.197714,-2.759711,14.414472,5.416170
0.020000,7.615711,6.558292,6.843029,0.149293,-2.421044,16.933333,5.414227
0.020000,7.617369,6.556329,6.845599,0.107645,-2.082377,16.933333,5.412793
0.020000,7.618531,6.554949,6.847403,0.072771,-1.743711,16.933333,5.411789
