dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.505144,2.743200,0.000061,0.006051,0.302549,15.127456,3.141593
0.020000,3.504902,2.743200,0.000303,0.018153,0.605098,15.127456,3.141593
0.020000,3.504357,2.743200,0.000847,0.036306,0.907647,15.127456,3.141593
0.020000,3.503389,2.743200,0.001815,0.060510,1.210196,15.127456,3.141593
0.020000,3.501877,2.743200,0.003328,0.090765,1.512746,15.127456,3.141593
0.020000,3.499759,2.743200,0.005446,0.121020,1.512746,-0.000000,3.141593
0.020000,3.497036,2.743200,0.008169,0.151275,1.512746,0.000000,3.141593
0.020000,3.493708,2.743200,0.011497,0.181529,1.512746,-0.000000,3.141593
0.020000,3.489775,2.743200,0.015430,0.211784,1.512746,0.000000,3.141593
0.020000,3.485236,2.743200,0.019968,0.242039,1.512746,-0.000000,3.141593
0.020000,3.480093,2.743200,0.025112,0.272294,1.512746,0.000000,3.141593
0.020000,3.474345,2.743200,0.030860,0.302549,1.512746,0.000000,3.141593
0.020000,3.467991,2.743200,0.037214,0.332804,1.512746,-0.000000,3.141593
0.020000,3.461032,2.743200,0.044172,0.363059,1.512746,0.000000,3.141593
0.020000,3.453469,2.743200,0.051736,0.393314,1.512746,0.000000,3.141593
0.020000,3.445300,2.743200,0.059905,0.423569,1.512746,0.000000,3.141593
0.020000,3.436526,2.743200,0.068679,0.453824,1.512746,-0.000000,3.141593
0.020000,3.427147,2.743200,0.078058,0.484079,1.512746,0.000000,3.141593
0.020000,3.417163,2.743200,0.088042,0.514333,1.512746,0.000000,3.141593
0.020000,3.406574,2.743200,0.098631,0.544588,1.512746,-0.000000,3.141593
0.020000,3.395379,2.743200,0.109825,0.574843,1.512746,0.000000,3.141593
0.020000,3.383580,2.743200,0.121625,0.605098,1.512746,-0.000000,3.141593
0.020000,3.371175,2.743200,0.134029,0.635353,1.512746,0.000000,3.141593
0.020000,3.358166,2.743200,0.147039,0.665608,1.512746,0.000000,3.141593
0.020000,3.344551,2.743200,0.160654,0.695863,1.512746,-0.000000,3.141593
0.020000,3.330331,2.743200,0.174873,0.726118,1.512746,0.000000,3.141593
0.020000,3.315506,2.743200,0.189698,0.756373,1.512746,0.000000,3.141593
0.020000,3.300076,2.743200,0.205128,0.786628,1.512746,-0.000000,3.141593
