dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.048042,1.631200,0.000061,0.006056,0.302819,15.140950,0.000000
0.020000,3.048285,1.631200,0.000303,0.012113,0.302819,0.000000,0.000000
0.020000,3.048830,1.631200,0.000848,0.027254,0.757048,22.711425,0.000000
0.020000,3.049799,1.631200,0.001817,0.048451,1.059867,15.140950,0.000000
0.020000,3.051313,1.631200,0.003331,0.075705,1.362686,15.140950,0.000000
0.020000,3.053432,1.631200,0.005451,0.105987,1.514095,7.570475,0.000000
0.020000,3.056158,1.631200,0.008176,0.136269,1.514095,-0.000000,0.000000
0.020000,3.059489,1.631200,0.011507,0.166550,1.514095,0.000000,0.000000
0.020000,3.063425,1.631200,0.015444,0.196832,1.514095,0.000000,0.000000
0.020000,3.067968,1.631200,0.019986,0.227114,1.514095,-0.000000,0.000000
0.020000,3.073116,1.631200,0.025134,0.257396,1.514095,0.000000,0.000000
0.020000,3.078869,1.631200,0.030888,0.287678,1.514095,-0.000000,0.000000
0.020000,3.085228,1.631200,0.037247,0.317960,1.514095,0.000000,0.000000
0.020000,3.092193,1.631200,0.044212,0.348242,1.514095,-0.000000,0.000000
0.020000,3.099764,1.631200,0.051782,0.378524,1.514095,0.000000,0.000000
0.020000,3.107940,1.631200,0.059958,0.408806,1.514095,-0.000000,0.000000
0.020000,3.116722,1.631200,0.068740,0.439088,1.514095,-0.000000,0.000000
0.020000,3.126109,1.631200,0.078127,0.469369,1.514095,0.000000,0.000000
0.020000,3.136102,1.631200,0.088120,0.499651,1.514095,0.000000,0.000000
0.020000,3.146701,1.631200,0.098719,0.529933,1.514095,-0.000000,0.000000
0.020000,3.157905,1.631200,0.109923,0.560215,1.514095,0.000000,0.000000
0.020000,3.169715,1.631200,0.121733,0.590497,1.514095,0.000000,0.000000
0.020000,3.182131,1.631200,0.134149,0.620779,1.514095,-0.000000,0.000000
0.020000,3.195152,1.631200,0.147170,0.651061,1.514095,-0.000000,0.000000
0.020000,3.208779,1.631200,0.160797,0.681343,1.514095,0.000000,0.000000
0.020000,3.223011,1.631200,0.175029,0.711625,1.514095,0.000000,0.000000
0.020000,3.237849,1.631200,0.189868,0.741907,1.514095,0.000000,0.000000
0.020000,3.253293,1.631200,0.205311,0.772188,1.514095,-0.000000,0.000000
