dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.048042,1.270000,0.000061,0.006056,0.302819,15.140950,0.000000
0.020000,3.048285,1.270000,0.000303,0.018169,0.605638,15.140950,0.000000
0.020000,3.048830,1.270000,0.000848,0.036338,0.908457,15.140950,0.000000
0.020000,3.049799,1.270000,0.001817,0.060564,1.211276,15.140950,0.000000
0.020000,3.051313,1.270000,0.003331,0.090846,1.514095,15.140950,0.000000
0.020000,3.053432,1.270000,0.005451,0.121128,1.514095,0.000000,0.000000
0.020000,3.056158,1.270000,0.008176,0.151410,1.514095,0.000000,0.000000
0.020000,3.059489,1.270000,0.011507,0.181691,1.514095,-0.000000,0.000000
0.020000,3.063425,1.270000,0.015444,0.211973,1.514095,0.000000,0.000000
0.020000,3.067968,1.270000,0.019986,0.242255,1.514095,-0.000000,0.000000
0.020000,3.073116,1.270000,0.025134,0.272537,1.514095,0.000000,0.000000
0.020000,3.078869,1.270000,0.030888,0.302819,1.514095,0.000000,0.000000
0.020000,3.085228,1.270000,0.037247,0.333101,1.514095,0.000000,0.000000
0.020000,3.092193,1.270000,0.044212,0.363383,1.514095,-0.000000,0.000000
0.020000,3.099764,1.270000,0.051782,0.393665,1.514095,0.000000,0.000000
0.020000,3.107940,1.270000,0.059958,0.423947,1.514095,0.000000,0.000000
0.020000,3.116722,1.270000,0.068740,0.454229,1.514095,-0.000000,0.000000
0.020000,3.126109,1.270000,0.078127,0.484510,1.514095,0.000000,0.000000
0.020000,3.136102,1.270000,0.088120,0.514792,1.514095,0.000000,0.000000
0.020000,3.146701,1.270000,0.098719,0.545074,1.514095,-0.000000,0.000000
0.020000,3.157905,1.270000,0.109923,0.575356,1.514095,0.000000,0.000000
0.020000,3.169715,1.270000,0.121733,0.605638,1.514095,0.000000,0.000000
0.020000,3.182131,1.270000,0.134149,0.635920,1.514095,0.000000,0.000000
0.020000,3.195152,1.270000,0.147170,0.666202,1.514095,0.000000,0.000000
0.020000,3.208779,1.270000,0.160797,0.696484,1.514095,0.000000,0.000000
0.020000,3.223011,1.270000,0.175029,0.726766,1.514095,-0.000000,0.000000
0.020000,3.237849,1.270000,0.189868,0.757048,1.514095,0.000000,0.000000
0.020000,3.253293,1.270000,0.205311,0.787329,1.514095,-0.000000,0.000000
0.020000,3.269342,1.270000,0.221361,0.817611,1.514095,0.000000,0.000000
0.020000,3.285997,1.270000,0.238016,0.847893,1.514095,0.000000,0.000000
0.020000,3.303258,1.270000,0.255276,0.878175,1.514095,-0.000000,0.000000
0.020000,3.321124,1.270000,0.273143,0.908457,1.514095,-0.000000,0.000000
0.020000,3.339596,1.270000,0.291615,0.938739,1.514095,0.000000,0.000000
0.020000,3.358674,1.270000,0.310692,0.969021,1.514095,0.000000,0.000000
0.020000,3.378357,1.270000,0.330376,0.999303,1.514095,0.000000,0.000000
0.020000,3.398646,1.270000,0.350664,1.029585,1.514095,0.000000,0.000000
0.020000,3.419541,1.270000,0.371559,1.059867,1.514095,-0.000000,0.000000
0.020000,3.441041,1.270000,0.393059,1.090148,1.514095,0.000000,0.000000
0.020000,3.463147,1.270000,0.415165,1.120430,1.514095,0.000000,0.000000
0.020000,3.485858,1.270000,0.437876,1.150712,1.514095,0.000000,0.000000
0.020000,3.509175,1.270000,0.461193,1.180994,1.514095,-0.000000,0.000000
0.020000,3.533098,1.270000,0.485116,1.211276,1.514095,0.000000,0.000000
0.020000,3.557626,1.270000,0.509644,1.241558,1.514095,-0.000000,0.000000
0.020000,3.582760,1.270000,0.534778,1.271840,1.514095,0.000000,0.000000
0.020000,3.608500,1.270000,0.560518,1.302122,1.514095,-0.000000,0.000000
0.020000,3.634845,1.270000,0.586863,1.332404,1.514095,0.000000,0.000000
0.020000,3.661796,1.270000,0.613814,1.362686,1.514095,-0.000000,0.000000
0.020000,3.689352,1.270000,0.641371,1.392967,1.514095,0.000000,0.000000
0.020000,3.717515,1.270000,0.669533,1.423249,1.514095,-0.000000,0.000000
0.020000,3.746282,1.270000,0.698301,1.453531,1.514095,0.000000,0.000000
0.020000,3.775656,1.270000,0.727674,1.483813,1.514095,0.000000,0.000000
0.020000,3.805635,1.270000,0.757653,1.514095,1.514095,0.000000,0.000000
0.020000,3.836220,1.270000,0.788238,1.544377,1.514095,-0.000000,0.000000
0.020000,3.867410,1.270000,0.819428,1.574659,1.514095,0.000000,0.000000
0.020000,3.899206,1.270000,0.851224,1.604941,1.514095,0.000000,0.000000
0.020000,3.931608,1.270000,0.883626,1.635223,1.514095,-0.000000,0.000000
0.020000,3.964615,1.270000,0.916633,1.665505,1.514095,0.000000,0.000000
0.020000,3.998228,1.270000,0.950246,1.695786,1.514095,-0.000000,0.000000
0.020000,4.032446,1.270000,0.984465,1.726068,1.514095,0.000000,0.000000
0.020000,4.067270,1.270000,1.019289,1.756350,1.514095,-0.000000,0.000000
0.020000,4.102700,1.270000,1.054719,1.786632,1.514095,0.000000,0.000000
0.020000,4.138736,1.270000,1.090754,1.816914,1.514095,0.000000,0.000000
0.020000,4.175377,1.270000,1.127395,1.847196,1.514095,0.000000,0.000000
0.020000,4.212624,1.270000,1.164642,1.877478,1.514095,-0.000000,0.000000
0.020000,4.250476,1.270000,1.202494,1.907760,1.514095,0.000000,0.000000
0.020000,4.288934,1.270000,1.240952,1.938042,1.514095,-0.000000,0.000000
0.020000,4.327998,1.270000,1.280016,1.968324,1.514095,0.000000,0.000000
0.020000,4.367667,1.270000,1.319685,1.998605,1.514095,-0.000000,0.000000
0.020000,4.407942,1.270000,1.359960,2.028887,1.514095,0.000000,0.000000
0.020000,4.448822,1.270000,1.400841,2.059169,1.514095,-0.000000,0.000000
0.020000,4.490309,1.270000,1.442327,2.089451,1.514095,0.000000,0.000000
0.020000,4.532400,1.270000,1.484419,2.119733,1.514095,0.000000,0.000000
0.020000,4.575098,1.270000,1.527116,2.150015,1.514095,0.000000,0.000000
0.020000,4.618401,1.270000,1.570419,2.180297,1.514095,0.000000,0.000000
0.020000,4.662310,1.270000,1.614328,2.210579,1.514095,0.000000,0.000000
0.020000,4.706824,1.270000,1.658842,2.240861,1.514095,0.000000,0.000000
0.020000,4.751944,1.270000,1.703963,2.271143,1.514095,0.000000,0.000000
0.020000,4.797670,1.270000,1.749688,2.301424,1.514095,-0.000000,0.000000
0.020000,4.844001,1.270000,1.796020,2.331706,1.514095,0.000000,0.000000
0.020000,4.890915,1.270050,1.842956,2.361988,1.514095,0.000000,0.007059
0.020000,4.938447,1.270970,1.890499,2.392270,1.514095,0.000000,0.031933
0.020000,4.986544,1.273149,1.938647,2.422552,1.514095,-0.000000,0.058972
