dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000036,1.000000,0.000067,0.006667,0.333333,16.666667,0.000000
0.020000,0.000303,1.000000,0.000333,0.020000,0.666667,16.666667,0.000000
0.020000,0.000903,1.000000,0.000933,0.040000,1.000000,16.666667,0.000000
0.020000,0.001903,1.000000,0.001933,0.060000,1.000000,0.000000,0.000000
0.020000,0.003303,1.000000,0.003333,0.080000,1.000000,-0.000000,0.000000
0.020000,0.005103,1.000000,0.005133,0.100000,1.000000,0.000000,0.000000
0.020000,0.007303,1.000000,0.007333,0.120000,1.000000,0.000000,0.000000
0.020000,0.009903,1.000000,0.009933,0.140000,1.000000,0.000000,0.000000
0.020000,0.012903,1.000000,0.012933,0.160000,1.000000,-0.000000,0.000000
0.020000,0.016303,1.000000,0.016333,0.180000,1.000000,0.000000,0.000000
0.020000,0.020103,1.000000,0.020133,0.200000,1.000000,-0.000000,0.000000
0.020000,0.024303,1.000000,0.024333,0.220000,1.000000,0.000000,0.000000
0.020000,0.028903,1.000000,0.028933,0.240000,1.000000,0.000000,0.000000
0.020000,0.033903,1.000000,0.033933,0.260000,1.000000,-0.000000,0.000000
0.020000,0.039303,1.000000,0.039333,0.280000,1.000000,0.000000,0.000000
0.020000,0.045103,1.000000,0.045133,0.300000,1.000000,-0.000000,0.000000
0.020000,0.051303,1.000000,0.051333,0.320000,1.000000,0.000000,0.000000
0.020000,0.057903,1.000000,0.057933,0.340000,1.000000,-0.000000,0.000000
0.020000,0.064903,1.000000,0.064933,0.360000,1.000000,0.000000,0.000000
0.020000,0.072303,1.000000,0.072333,0.380000,1.000000,-0.000000,0.000000
0.020000,0.080103,1.000000,0.080133,0.400000,1.000000,-0.000000,0.000000
0.020000,0.088303,1.000000,0.088333,0.420000,1.000000,0.000000,0.000000
0.020000,0.096903,1.000000,0.096933,0.440000,1.000000,-0.000000,0.000000
0.020000,0.105903,1.000000,0.105933,0.460000,1.000000,0.000000,0.000000
0.020000,0.115303,1.000000,0.115333,0.480000,1.000000,0.000000,0.000000
0.020000,0.125103,1.000000,0.125133,0.500000,1.000000,0.000000,0.000000
0.020000,0.135303,1.000000,0.135333,0.520000,1.000000,-0.000000,0.000000
0.020000,0.145903,1.000000,0.145933,0.540000,1.000000,0.000000,0.000000
0.020000,0.156903,1.000000,0.156933,0.560000,1.000000,-0.000000,0.000000
0.020000,0.168303,1.000000,0.168333,0.580000,1.000000,0.000000,0.000000
0.020000,0.180103,1.000000,0.180133,0.600000,1.000000,-0.000000,0.000000
0.020000,0.192303,1.000000,0.192333,0.620000,1.000000,0.000000,0.000000
0.020000,0.204903,1.000000,0.204933,0.640000,1.000000,0.000000,0.000000
0.020000,0.217903,1.000000,0.217933,0.660000,1.000000,0.000000,0.000000
0.020000,0.231303,1.000000,0.231333,0.680000,1.000000,-0.000000,0.000000
0.020000,0.245103,1.000000,0.245133,0.700000,1.000000,0.000000,0.000000
0.020000,0.259303,1.000000,0.259333,0.720000,1.000000,0.000000,0.000000
0.020000,0.273903,1.000000,0.273933,0.740000,1.000000,-0.000000,0.000000
0.020000,0.288903,1.000000,0.288933,0.760000,1.000000,0.000000,0.000000
0.020000,0.304303,1.000000,0.304333,0.780000,1.000000,0.000000,0.000000
0.020000,0.320103,1.000000,0.320133,0.800000,1.000000,-0.000000,0.000000
0.020000,0.336303,1.000000,0.336333,0.820000,1.000000,0.000000,0.000000
0.020000,0.352903,1.000000,0.352933,0.840000,1.000000,0.000000,0.000000
0.020000,0.369903,1.000000,0.369933,0.860000,1.000000,0.000000,0.000000
0.020000,0.387303,1.000000,0.387333,0.880000,1.000000,-0.000000,0.000000
0.020000,0.405103,1.000000,0.405133,0.900000,1.000000,0.000000,0.000000
0.020000,0.423303,1.000000,0.423333,0.920000,1.000000,0.000000,0.000000
0.020000,0.441903,1.000000,0.441933,0.940000,1.000000,0.000000,0.000000
0.020000,0.460903,1.000000,0.460933,0.960000,1.000000,0.000000,0.000000
0.020000,0.480303,1.000000,0.480333,0.980000,1.000000,-0.000000,0.000000
0.020000,0.500103,1.000000,0.500133,1.000000,1.000000,0.000000,0.000000
0.020000,0.520303,1.000000,0.520333,1.020000,1.000000,-0.000000,0.000000
0.020000,0.540903,1.000000,0.540933,1.040000,1.000000,0.000000,0.000000
0.020000,0.561903,1.000000,0.561933,1.060000,1.000000,0.000000,0.000000
0.020000,0.583303,1.000000,0.583333,1.080000,1.000000,-0.000000,0.000000
0.020000,0.605103,1.000000,0.605133,1.100000,1.000000,0.000000,0.000000
0.020000,0.627303,1.000000,0.627333,1.120000,1.000000,0.000000,0.000000
0.020000,0.649903,1.000000,0.649933,1.140000,1.000000,0.000000,0.000000
0.020000,0.672903,1.000000,0.672933,1.160000,1.000000,0.000000,0.000000
0.020000,0.696303,1.000000,0.696333,1.180000,1.000000,0.000000,0.000000
0.020000,0.720103,1.000000,0.720133,1.200000,1.000000,-0.000000,0.000000
0.020000,0.744303,1.000000,0.744333,1.220000,1.000000,0.000000,0.000000
0.020000,0.768903,1.000000,0.768933,1.240000,1.000000,-0.000000,0.000000
0.020000,0.793903,1.000000,0.793933,1.260000,1.000000,0.000000,0.000000
0.020000,0.819303,1.000000,0.819333,1.280000,1.000000,0.000000,0.000000
0.020000,0.845103,1.000000,0.845133,1.300000,1.000000,0.000000,0.000000
0.020000,0.871303,1.000000,0.871333,1.320000,1.000000,0.000000,0.000000
0.020000,0.897903,1.000000,0.897933,1.340000,1.000000,0.000000,0.000000
0.020000,0.924903,1.000000,0.924933,1.360000,1.000000,-0.000000,0.000000
0.020000,0.952303,1.000000,0.952333,1.380000,1.000000,0.000000,0.000000
0.020000,0.980103,1.000000,0.980133,1.400000,1.000000,-0.000000,0.000000
0.020000,1.008303,1.000000,1.008333,1.420000,1.000000,0.000000,0.000000
0.020000,1.036903,1.000000,1.036933,1.440000,1.000000,-0.000000,0.000000
0.020000,1.065903,1.000000,1.065933,1.460000,1.000000,0.000000,0.000000
0.020000,1.095303,1.000000,1.095333,1.480000,1.000000,0.000000,0.000000
0.020000,1.125103,1.000000,1.125133,1.500000,1.000000,0.000000,0.000000
0.020000,1.155303,1.000000,1.155333,1.520000,1.000000,0.000000,0.000000
0.020000,1.185903,1.000000,1.185933,1.540000,1.000000,-0.000000,0.000000
0.020000,1.216903,1.000000,1.216933,1.560000,1.000000,0.000000,0.000000
0.020000,1.248303,1.000000,1.248333,1.580000,1.000000,-0.000000,0.000000
0.020000,1.280103,1.000000,1.280133,1.600000,1.000000,0.000000,0.000000
0.020000,1.312303,1.000000,1.312333,1.620000,1.000000,0.000000,0.000000
0.020000,1.344903,1.000000,1.344933,1.640000,1.000000,0.000000,0.000000
0.020000,1.377903,1.000000,1.377933,1.660000,1.000000,0.000000,0.000000
0.020000,1.411303,1.000000,1.411333,1.680000,1.000000,0.000000,0.000000
0.020000,1.445103,1.000000,1.445133,1.700000,1.000000,0.000000,0.000000
0.020000,1.479303,1.000000,1.479333,1.720000,1.000000,0.000000,0.000000
0.020000,1.513903,1.000000,1.513933,1.740000,1.000000,0.000000,0.000000
