dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000036,0.680000,0.000067,0.006654,0.332695,16.634756,0.000000
0.020000,0.000302,0.680000,0.000333,0.013308,0.332695,-0.000000,0.000000
0.020000,0.000901,0.680000,0.000932,0.029943,0.831738,24.952134,0.000000
0.020000,0.001899,0.680000,0.001930,0.049904,0.998085,8.317378,0.000000
0.020000,0.003296,0.680000,0.003327,0.069866,0.998085,0.000000,0.000000
0.020000,0.005093,0.680000,0.005124,0.089828,0.998085,0.000000,0.000000
0.020000,0.007289,0.680000,0.007319,0.109789,0.998085,-0.000000,0.000000
0.020000,0.009884,0.680000,0.009914,0.129751,0.998085,0.000000,0.000000
0.020000,0.012878,0.680000,0.012909,0.149713,0.998085,0.000000,0.000000
0.020000,0.016272,0.680000,0.016302,0.169675,0.998085,0.000000,0.000000
0.020000,0.020064,0.680000,0.020095,0.189636,0.998085,-0.000000,0.000000
0.020000,0.024256,0.680000,0.024287,0.209598,0.998085,-0.000000,0.000000
0.020000,0.028847,0.680000,0.028878,0.229560,0.998085,0.000000,0.000000
0.020000,0.033838,0.680000,0.033868,0.249521,0.998085,0.000000,0.000000
0.020000,0.039228,0.680000,0.039258,0.269483,0.998085,-0.000000,0.000000
0.020000,0.045016,0.680000,0.045047,0.289445,0.998085,0.000000,0.000000
0.020000,0.051205,0.680000,0.051235,0.309406,0.998085,-0.000000,0.000000
0.020000,0.057792,0.680000,0.057822,0.329368,0.998085,0.000000,0.000000
0.020000,0.064779,0.680000,0.064809,0.349330,0.998085,-0.000000,0.000000
0.020000,0.072164,0.680000,0.072195,0.369292,0.998085,0.000000,0.000000
0.020000,0.079949,0.680000,0.079980,0.389253,0.998085,0.000000,0.000000
0.020000,0.088134,0.680000,0.088164,0.409215,0.998085,-0.000000,0.000000
0.020000,0.096717,0.680000,0.096748,0.429177,0.998085,-0.000000,0.000000
0.020000,0.105700,0.680000,0.105731,0.449138,0.998085,-0.000000,0.000000
0.020000,0.115082,0.680000,0.115113,0.469100,0.998085,0.000000,0.000000
0.020000,0.124863,0.680000,0.124894,0.489062,0.998085,-0.000000,0.000000
0.020000,0.135044,0.680000,0.135074,0.509024,0.998085,0.000000,0.000000
0.020000,0.145623,0.680000,0.145654,0.528985,0.998085,-0.000000,0.000000
0.020000,0.156602,0.680000,0.156633,0.548947,0.998085,0.000000,0.000000
0.020000,0.167981,0.680000,0.168011,0.568909,0.998085,0.000000,0.000000
0.020000,0.179758,0.680000,0.179788,0.588870,0.998085,0.000000,0.000000
0.020000,0.191935,0.680000,0.191965,0.608832,0.998085,0.000000,0.000000
0.020000,0.204510,0.680000,0.204541,0.628794,0.998085,0.000000,0.000000
0.020000,0.217486,0.680000,0.217516,0.648755,0.998085,-0.000000,0.000000
0.020000,0.230860,0.680000,0.230890,0.668717,0.998085,0.000000,0.000000
0.020000,0.244634,0.680000,0.244664,0.688679,0.998085,-0.000000,0.000000
0.020000,0.258806,0.680000,0.258837,0.708641,0.998085,-0.000000,0.000000
0.020000,0.273378,0.680000,0.273409,0.728602,0.998085,0.000000,0.000000
0.020000,0.288350,0.680000,0.288380,0.748564,0.998085,-0.000000,0.000000
0.020000,0.303720,0.680000,0.303751,0.768526,0.998085,-0.000000,0.000000
0.020000,0.319490,0.680000,0.319520,0.788487,0.998085,0.000000,0.000000
