dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000036,1.000000,0.000067,0.006654,0.332695,16.634756,0.000000
0.020000,0.000302,1.000000,0.000333,0.019962,0.665390,16.634756,0.000000
0.020000,0.000901,1.000000,0.000932,0.039923,0.998085,16.634756,0.000000
0.020000,0.001899,1.000000,0.001930,0.059885,0.998085,0.000000,0.000000
0.020000,0.003296,1.000000,0.003327,0.079847,0.998085,-0.000000,0.000000
0.020000,0.005093,1.000000,0.005124,0.099809,0.998085,0.000000,0.000000
0.020000,0.007289,1.000000,0.007319,0.119770,0.998085,0.000000,0.000000
0.020000,0.009884,1.000000,0.009914,0.139732,0.998085,-0.000000,0.000000
0.020000,0.012878,1.000000,0.012909,0.159694,0.998085,-0.000000,0.000000
0.020000,0.016272,1.000000,0.016302,0.179655,0.998085,0.000000,0.000000
0.020000,0.020064,1.000000,0.020095,0.199617,0.998085,-0.000000,0.000000
0.020000,0.024256,1.000000,0.024287,0.219579,0.998085,0.000000,0.000000
0.020000,0.028847,1.000000,0.028878,0.239540,0.998085,0.000000,0.000000
0.020000,0.033838,1.000000,0.033868,0.259502,0.998085,-0.000000,0.000000
0.020000,0.039228,1.000000,0.039258,0.279464,0.998085,0.000000,0.000000
0.020000,0.045016,1.000000,0.045047,0.299426,0.998085,0.000000,0.000000
0.020000,0.051205,1.000000,0.051235,0.319387,0.998085,-0.000000,0.000000
0.020000,0.057792,1.000000,0.057822,0.339349,0.998085,0.000000,0.000000
0.020000,0.064779,1.000000,0.064809,0.359311,0.998085,0.000000,0.000000
0.020000,0.072164,1.000000,0.072195,0.379272,0.998085,-0.000000,0.000000
0.020000,0.079949,1.000000,0.079980,0.399234,0.998085,0.000000,0.000000
0.020000,0.088134,1.000000,0.088164,0.419196,0.998085,-0.000000,0.000000
0.020000,0.096717,1.000000,0.096748,0.439158,0.998085,0.000000,0.000000
0.020000,0.105700,1.000000,0.105731,0.459119,0.998085,0.000000,0.000000
0.020000,0.115082,1.000000,0.115113,0.479081,0.998085,-0.000000,0.000000
0.020000,0.124863,1.000000,0.124894,0.499043,0.998085,0.000000,0.000000
0.020000,0.135044,1.000000,0.135074,0.519004,0.998085,0.000000,0.000000
0.020000,0.145623,1.000000,0.145654,0.538966,0.998085,0.000000,0.000000
0.020000,0.156602,1.000000,0.156633,0.558928,0.998085,-0.000000,0.000000
0.020000,0.167981,1.000000,0.168011,0.578889,0.998085,0.000000,0.000000
0.020000,0.179758,1.000000,0.179788,0.598851,0.998085,-0.000000,0.000000
0.020000,0.191935,1.000000,0.191965,0.618813,0.998085,0.000000,0.000000
0.020000,0.204510,1.000000,0.204541,0.638775,0.998085,-0.000000,0.000000
0.020000,0.217486,1.000000,0.217516,0.658736,0.998085,0.000000,0.000000
0.020000,0.230860,1.000000,0.230890,0.678698,0.998085,-0.000000,0.000000
0.020000,0.244634,1.000000,0.244664,0.698660,0.998085,0.000000,0.000000
0.020000,0.258806,1.000000,0.258837,0.718621,0.998085,0.000000,0.000000
0.020000,0.273378,1.000000,0.273409,0.738583,0.998085,-0.000000,0.000000
0.020000,0.288350,1.000000,0.288380,0.758545,0.998085,-0.000000,0.000000
0.020000,0.303720,1.000000,0.303751,0.778507,0.998085,0.000000,0.000000
0.020000,0.319490,1.000000,0.319520,0.798468,0.998085,-0.000000,0.000000
0.020000,0.335659,1.000000,0.335689,0.818430,0.998085,0.000000,0.000000
0.020000,0.352227,1.000000,0.352258,0.838392,0.998085,-0.000000,0.000000
0.020000,0.369195,1.000000,0.369225,0.858353,0.998085,0.000000,0.000000
0.020000,0.386561,1.000000,0.386592,0.878315,0.998085,0.000000,0.000000
0.020000,0.404327,1.000000,0.404358,0.898277,0.998085,-0.000000,0.000000
0.020000,0.422492,1.000000,0.422523,0.918239,0.998085,0.000000,0.000000
0.020000,0.441057,1.000000,0.441087,0.938200,0.998085,-0.000000,0.000000
0.020000,0.460020,1.000000,0.460051,0.958162,0.998085,0.000000,0.000000
0.020000,0.479383,1.000000,0.479414,0.978124,0.998085,-0.000000,0.000000
0.020000,0.499145,1.000000,0.499176,0.998085,0.998085,0.000000,0.000000
0.020000,0.519307,1.000000,0.519337,1.018047,0.998085,0.000000,0.000000
0.020000,0.539867,1.000000,0.539898,1.038009,0.998085,-0.000000,0.000000
0.020000,0.560827,1.000000,0.560857,1.057970,0.998085,0.000000,0.000000
0.020000,0.582186,1.000000,0.582216,1.077932,0.998085,-0.000000,0.000000
0.020000,0.603944,1.000000,0.603975,1.097894,0.998085,0.000000,0.000000
0.020000,0.626102,1.000000,0.626132,1.117856,0.998085,0.000000,0.000000
0.020000,0.648658,1.000000,0.648689,1.137817,0.998085,0.000000,0.000000
0.020000,0.671614,1.000000,0.671645,1.157779,0.998085,0.000000,0.000000
0.020000,0.694970,1.000000,0.695000,1.177741,0.998085,-0.000000,0.000000
0.020000,0.718724,1.000000,0.718755,1.197702,0.998085,0.000000,0.000000
0.020000,0.742878,1.000000,0.742908,1.217664,0.998085,0.000000,0.000000
0.020000,0.767431,1.000000,0.767461,1.237626,0.998085,0.000000,0.000000
0.020000,0.792383,1.000000,0.792413,1.257588,0.998085,-0.000000,0.000000
0.020000,0.817734,1.000000,0.817765,1.277549,0.998085,-0.000000,0.000000
0.020000,0.843485,1.000000,0.843515,1.297511,0.998085,0.000000,0.000000
0.020000,0.869635,1.000000,0.869665,1.317473,0.998085,-0.000000,0.000000
0.020000,0.896184,1.000000,0.896214,1.337434,0.998085,0.000000,0.000000
0.020000,0.923132,1.000000,0.923162,1.357396,0.998085,0.000000,0.000000
0.020000,0.950479,1.000000,0.950510,1.377358,0.998085,0.000000,0.000000
0.020000,0.978226,1.000000,0.978257,1.397319,0.998085,-0.000000,0.000000
0.020000,1.006372,1.000000,1.006403,1.417281,0.998085,0.000000,0.000000
0.020000,1.034917,1.000000,1.034948,1.437243,0.998085,0.000000,0.000000
0.020000,1.063862,1.000000,1.063892,1.457205,0.998085,-0.000000,0.000000
0.020000,1.093206,1.000000,1.093236,1.477166,0.998085,0.000000,0.000000
0.020000,1.122949,1.000000,1.122979,1.497128,0.998085,0.000000,0.000000
0.020000,1.153091,1.000000,1.153121,1.517090,0.998085,-0.000000,0.000000
0.020000,1.183632,1.000000,1.183663,1.537051,0.998085,0.000000,0.000000
0.020000,1.214573,1.000000,1.214603,1.557013,0.998085,0.000000,0.000000
0.020000,1.245913,1.000000,1.245943,1.576975,0.998085,-0.000000,0.000000
0.020000,1.277652,1.000000,1.277682,1.596937,0.998085,0.000000,0.000000
0.020000,1.309790,1.000000,1.309821,1.616898,0.998085,-0.000000,0.000000
0.020000,1.342328,1.000000,1.342358,1.636860,0.998085,0.000000,0.000000
0.020000,1.375265,1.000000,1.375295,1.656822,0.998085,-0.000000,0.000000
0.020000,1.408601,1.000000,1.408631,1.676783,0.998085,0.000000,0.000000
0.020000,1.442336,1.000000,1.442366,1.696745,0.998085,0.000000,0.000000
0.020000,1.476470,1.000000,1.476501,1.716707,0.998085,-0.000000,0.000000
0.020000,1.511004,1.000000,1.511035,1.736668,0.998085,0.000000,0.000000
0.020000,1.545937,1.000000,1.545968,1.756630,0.998085,-0.000000,0.000000
0.020000,1.581269,1.000000,1.581300,1.776592,0.998085,0.000000,0.000000
0.020000,1.617001,1.000000,1.617031,1.796554,0.998085,-0.000000,0.000000
0.020000,1.653132,1.000000,1.653162,1.816515,0.998085,0.000000,0.000000
0.020000,1.689661,1.000000,1.689692,1.836477,0.998085,-0.000000,0.000000
0.020000,1.726591,1.000000,1.726621,1.856439,0.998085,-0.000000,0.000000
0.020000,1.763919,1.000000,1.763949,1.876400,0.998085,0.000000,0.000000
0.020000,1.801647,1.000000,1.801677,1.896362,0.998085,-0.000000,0.000000
0.020000,1.839773,1.000000,1.839804,1.916324,0.998085,0.000000,0.000000
0.020000,1.878300,1.000000,1.878330,1.936286,0.998085,-0.000000,0.000000
0.020000,1.917225,1.000000,1.917255,1.956247,0.998085,0.000000,0.000000
0.020000,1.956549,1.000000,1.956580,1.976209,0.998085,0.000000,0.000000
0.020000,1.996273,1.000000,1.996304,1.996171,0.998085,-0.000000,0.000000
0.020000,2.036396,1.000000,2.036427,2.016132,0.998085,0.000000,0.000000
0.020000,2.076919,1.000000,2.076949,2.036094,0.998085,-0.000000,0.000000
0.020000,2.117840,1.000000,2.117871,2.056056,0.998085,0.000000,0.000000
0.020000,2.159161,1.000000,2.159191,2.076018,0.998085,0.000000,0.000000
0.020000,2.200881,1.000000,2.200911,2.095979,0.998085,0.000000,0.000000
0.020000,2.243000,1.000000,2.243030,2.115941,0.998085,0.000000,0.000000
0.020000,2.285518,1.000000,2.285549,2.135903,0.998085,-0.000000,0.000000
0.020000,2.328436,1.000000,2.328467,2.155864,0.998085,0.000000,0.000000
0.020000,2.371753,1.000000,2.371783,2.175826,0.998085,-0.000000,0.000000
0.020000,2.415469,1.000000,2.415500,2.195788,0.998085,0.000000,0.000000
0.020000,2.459584,1.000000,2.459615,2.215749,0.998085,-0.000000,0.000000
0.020000,2.504033,1.000000,2.504063,2.229057,0.665390,-16.634756,0.000000
0.020000,2.548680,1.000000,2.548711,2.235711,0.332695,-16.634756,0.000000
0.020000,2.593362,1.000000,2.593393,2.232503,-0.160426,-24.656058,0.000000
0.020000,2.637914,1.000000,2.637944,2.222640,-0.493121,-16.634756,0.000000
0.020000,2.682201,1.000000,2.682232,2.206124,-0.825816,-16.634756,0.000000
0.020000,2.726124,1.000000,2.726155,2.186162,-0.998085,-8.613453,0.000000
0.020000,2.769648,1.000000,2.769678,2.166200,-0.998085,-0.000000,0.000000
0.020000,2.812772,1.000000,2.812803,2.146239,-0.998085,0.000000,0.000000
0.020000,2.855497,1.000000,2.855528,2.126277,-0.998085,-0.000000,0.000000
0.020000,2.897823,1.000000,2.897854,2.106315,-0.998085,0.000000,0.000000
0.020000,2.939750,1.000000,2.939781,2.086354,-0.998085,0.000000,0.000000
0.020000,2.981278,1.000000,2.981308,2.066392,-0.998085,0.000000,0.000000
0.020000,3.022406,1.000000,3.022436,2.046430,-0.998085,-0.000000,0.000000
0.020000,3.063113,0.999995,3.063165,2.026469,-0.998085,0.000000,6.282549
0.020000,3.103443,0.999947,3.103495,2.006507,-0.998085,0.000000,6.281609
0.020000,3.143374,0.999883,3.143426,1.986545,-0.998085,-0.000000,6.281760
0.020000,3.182905,0.999847,3.182957,1.966583,-0.998085,0.000000,6.282972
0.020000,3.222037,0.999880,3.222089,1.946622,-0.998085,-0.000000,0.002037
0.020000,3.260769,1.000018,3.260822,1.926660,-0.998085,0.000000,0.005307
0.020000,3.299102,1.000301,3.299155,1.906698,-0.998085,-0.000000,0.009589
0.020000,3.337033,1.000761,3.337090,1.886737,-0.998085,0.000000,0.014880
0.020000,3.374562,1.001435,3.374625,1.866775,-0.998085,0.000000,0.021183
0.020000,3.411687,1.002354,3.411761,1.846813,-0.998085,-0.000000,0.028504
0.020000,3.448404,1.003551,3.448497,1.826851,-0.998085,0.000000,0.036859
0.020000,3.484710,1.005057,3.484835,1.806890,-0.998085,-0.000000,0.046265
0.020000,3.520600,1.006904,3.520773,1.786928,-0.998085,0.000000,0.056746
0.020000,3.556070,1.009121,3.556312,1.766966,-0.998085,-0.000000,0.068328
0.020000,3.591112,1.011739,3.591451,1.747005,-0.998085,0.000000,0.081044
0.020000,3.625718,1.014788,3.626192,1.727043,-0.998085,0.000000,0.094929
0.020000,3.659879,1.018297,3.660533,1.707081,-0.998085,-0.000000,0.110021
