dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000036,0.325200,0.000067,0.006662,0.333092,16.654577,0.000000
0.020000,0.000303,0.325200,0.000333,0.019985,0.666183,16.654577,0.000000
0.020000,0.000902,0.325200,0.000933,0.039971,0.999275,16.654577,0.000000
0.020000,0.001901,0.325200,0.001932,0.059956,0.999275,0.000000,0.000000
0.020000,0.003300,0.325200,0.003331,0.079942,0.999275,0.000000,0.000000
0.020000,0.005099,0.325200,0.005130,0.099927,0.999275,0.000000,0.000000
0.020000,0.007298,0.325200,0.007328,0.119913,0.999275,0.000000,0.000000
0.020000,0.009896,0.325200,0.009926,0.139898,0.999275,0.000000,0.000000
0.020000,0.012893,0.325200,0.012924,0.159884,0.999275,0.000000,0.000000
0.020000,0.016291,0.325200,0.016321,0.179869,0.999275,0.000000,0.000000
0.020000,0.020088,0.325200,0.020119,0.199855,0.999275,-0.000000,0.000000
0.020000,0.024285,0.325200,0.024316,0.219840,0.999275,0.000000,0.000000
0.020000,0.028882,0.325200,0.028912,0.239826,0.999275,-0.000000,0.000000
0.020000,0.033878,0.325200,0.033909,0.259811,0.999275,0.000000,0.000000
0.020000,0.039274,0.325200,0.039305,0.279797,0.999275,0.000000,0.000000
0.020000,0.045070,0.325200,0.045101,0.299782,0.999275,0.000000,0.000000
0.020000,0.051266,0.325200,0.051296,0.319768,0.999275,-0.000000,0.000000
0.020000,0.057861,0.325200,0.057891,0.339753,0.999275,0.000000,0.000000
0.020000,0.064856,0.325200,0.064886,0.359739,0.999275,0.000000,0.000000
0.020000,0.072250,0.325200,0.072281,0.379724,0.999275,-0.000000,0.000000
0.020000,0.080045,0.325200,0.080075,0.399710,0.999275,0.000000,0.000000
0.020000,0.088239,0.325200,0.088269,0.419695,0.999275,-0.000000,0.000000
0.020000,0.096833,0.325200,0.096863,0.439681,0.999275,0.000000,0.000000
0.020000,0.105826,0.325200,0.105856,0.459666,0.999275,-0.000000,0.000000
0.020000,0.115219,0.325200,0.115250,0.479652,0.999275,0.000000,0.000000
0.020000,0.125012,0.325200,0.125043,0.499637,0.999275,0.000000,0.000000
0.020000,0.135205,0.325200,0.135235,0.519623,0.999275,-0.000000,0.000000
0.020000,0.145797,0.325200,0.145827,0.539608,0.999275,0.000000,0.000000
0.020000,0.156789,0.325200,0.156819,0.559594,0.999275,-0.000000,0.000000
0.020000,0.168181,0.325200,0.168211,0.579579,0.999275,0.000000,0.000000
0.020000,0.179972,0.325200,0.180003,0.599565,0.999275,0.000000,0.000000
0.020000,0.192163,0.325200,0.192194,0.619550,0.999275,-0.000000,0.000000
0.020000,0.204754,0.325200,0.204785,0.639536,0.999275,0.000000,0.000000
0.020000,0.217745,0.325200,0.217775,0.659521,0.999275,0.000000,0.000000
0.020000,0.231135,0.325200,0.231166,0.679507,0.999275,-0.000000,0.000000
0.020000,0.244925,0.325200,0.244956,0.699492,0.999275,0.000000,0.000000
0.020000,0.259115,0.325200,0.259145,0.719478,0.999275,0.000000,0.000000
0.020000,0.273704,0.325200,0.273735,0.739463,0.999275,-0.000000,0.000000
0.020000,0.288693,0.325200,0.288724,0.759449,0.999275,-0.000000,0.000000
0.020000,0.304082,0.325200,0.304113,0.779434,0.999275,0.000000,0.000000
0.020000,0.319871,0.325200,0.319901,0.799420,0.999275,-0.000000,0.000000
0.020000,0.336059,0.325200,0.336089,0.819405,0.999275,0.000000,0.000000
0.020000,0.352647,0.325200,0.352677,0.839391,0.999275,-0.000000,0.000000
0.020000,0.369635,0.325200,0.369665,0.859376,0.999275,0.000000,0.000000
0.020000,0.387022,0.325200,0.387052,0.879362,0.999275,0.000000,0.000000
0.020000,0.404809,0.325200,0.404839,0.899347,0.999275,-0.000000,0.000000
0.020000,0.422996,0.325200,0.423026,0.919333,0.999275,0.000000,0.000000
0.020000,0.441582,0.325200,0.441613,0.939318,0.999275,0.000000,0.000000
0.020000,0.460568,0.325200,0.460599,0.959304,0.999275,-0.000000,0.000000
0.020000,0.479954,0.325200,0.479985,0.979289,0.999275,0.000000,0.000000
0.020000,0.499740,0.325200,0.499771,0.999275,0.999275,-0.000000,0.000000
0.020000,0.519925,0.325200,0.519956,1.019260,0.999275,0.000000,0.000000
0.020000,0.540510,0.325200,0.540541,1.039246,0.999275,-0.000000,0.000000
0.020000,0.561495,0.325200,0.561526,1.059231,0.999275,0.000000,0.000000
0.020000,0.582880,0.325200,0.582910,1.079217,0.999275,-0.000000,0.000000
0.020000,0.604664,0.325200,0.604694,1.099202,0.999275,0.000000,0.000000
0.020000,0.626848,0.325200,0.626878,1.119188,0.999275,0.000000,0.000000
0.020000,0.649431,0.325200,0.649462,1.139173,0.999275,0.000000,0.000000
0.020000,0.672415,0.325200,0.672445,1.159159,0.999275,0.000000,0.000000
0.020000,0.695798,0.325200,0.695828,1.179144,0.999275,0.000000,0.000000
0.020000,0.719580,0.325200,0.719611,1.199130,0.999275,-0.000000,0.000000
0.020000,0.743763,0.325200,0.743793,1.219115,0.999275,-0.000000,0.000000
0.020000,0.768345,0.325200,0.768376,1.239101,0.999275,0.000000,0.000000
0.020000,0.793327,0.325200,0.793357,1.259086,0.999275,-0.000000,0.000000
0.020000,0.818709,0.325200,0.818739,1.279072,0.999275,0.000000,0.000000
0.020000,0.844490,0.325200,0.844520,1.299057,0.999275,0.000000,0.000000
0.020000,0.870671,0.325200,0.870701,1.319042,0.999275,0.000000,0.000000
0.020000,0.897252,0.325200,0.897282,1.339028,0.999275,-0.000000,0.000000
0.020000,0.924232,0.325200,0.924262,1.359013,0.999275,0.000000,0.000000
0.020000,0.951612,0.325200,0.951643,1.378999,0.999275,0.000000,0.000000
0.020000,0.979392,0.325200,0.979422,1.398984,0.999275,0.000000,0.000000
0.020000,1.007571,0.325200,1.007602,1.418970,0.999275,0.000000,0.000000
0.020000,1.036151,0.325200,1.036181,1.438955,0.999275,0.000000,0.000000
0.020000,1.065130,0.325200,1.065160,1.458941,0.999275,-0.000000,0.000000
0.020000,1.094508,0.325200,1.094539,1.478926,0.999275,0.000000,0.000000
0.020000,1.124287,0.325200,1.124317,1.498912,0.999275,0.000000,0.000000
0.020000,1.154465,0.325200,1.154495,1.518897,0.999275,-0.000000,0.000000
0.020000,1.185043,0.325200,1.185073,1.538883,0.999275,0.000000,0.000000
0.020000,1.216020,0.325200,1.216051,1.558868,0.999275,0.000000,0.000000
0.020000,1.247397,0.325200,1.247428,1.578854,0.999275,-0.000000,0.000000
0.020000,1.279174,0.325200,1.279205,1.598839,0.999275,0.000000,0.000000
0.020000,1.311351,0.325200,1.311381,1.618825,0.999275,0.000000,0.000000
0.020000,1.343927,0.325200,1.343958,1.638810,0.999275,0.000000,0.000000
0.020000,1.376903,0.325200,1.376934,1.658796,0.999275,-0.000000,0.000000
0.020000,1.410279,0.325200,1.410310,1.678781,0.999275,0.000000,0.000000
0.020000,1.444055,0.325200,1.444085,1.698767,0.999275,0.000000,0.000000
0.020000,1.478163,0.325200,1.478194,1.712091,0.666183,-16.654577,0.000000
0.020000,1.512472,0.325200,1.512502,1.718752,0.333092,-16.654577,0.000000
0.020000,1.546825,0.325200,1.546855,1.716553,-0.109968,-22.152966,0.000000
0.020000,1.581067,0.325200,1.581098,1.707692,-0.443059,-16.654577,0.000000
0.020000,1.615066,0.325200,1.615096,1.692169,-0.776151,-16.654577,0.000000
0.020000,1.648709,0.325200,1.648740,1.672183,-0.999275,-11.156188,0.000000
0.020000,1.681953,0.325200,1.681983,1.652198,-0.999275,0.000000,0.000000
0.020000,1.714797,0.325200,1.714828,1.632212,-0.999275,0.000000,0.000000
0.020000,1.747242,0.325200,1.747272,1.612227,-0.999275,0.000000,0.000000
